operator,call_index,layer,head,discovery_mean_gain,validation_mean_gain,discovery_horizon_slope,validation_horizon_slope
landmark,0,0,0,-7.460002879842706,-7.293566715436767,-0.3124972590315744,-0.3140030921907642
landmark,0,0,1,-7.495534295750647,-7.442993939004918,0.5685668900474454,0.6069033321279133
landmark,0,0,2,-2.2431165796577455,-2.1550624763955804,0.26394632646365795,0.23356952931639532
landmark,0,0,3,-2.5531513920870172,-2.5018312152376327,0.22910941712501198,0.25415445941352655
landmark,0,0,4,-4.185194703965382,-4.1826825451176495,-1.1943990025218916,-1.1525423353285478
landmark,0,0,5,-5.790127441681811,-5.724803371154014,-1.923267087591716,-1.7431119905745245
landmark,0,0,6,-4.9266538859219695,-4.923160737475473,-1.0244142971421397,-0.9415663475363291
landmark,0,0,7,-6.737260977850368,-6.816083757602006,-1.0600500667174786,-1.0588912777339408
landmark,0,0,8,-2.5185095550769065,-2.38068225426656,0.22518528899105802,0.21905212466956303
landmark,0,0,9,-0.6975043587629143,-0.6981082318731566,0.6015558189187178,0.5921965613688202
landmark,0,0,10,6.700381999837507,6.610554940837183,0.8484682328463313,0.920709078003617
landmark,0,0,11,-5.212408947887666,-5.163369678190686,-1.2307390850157491,-1.189378624981505
landmark,0,1,0,-2.923392680941173,-2.888177362610229,0.29791076369010894,0.23174849755877105
landmark,0,1,1,-6.621265161731468,-6.513031612424299,-3.037242064338881,-2.814482914197331
landmark,0,1,2,-3.4510598866105595,-3.3549381807257213,-0.13182848443227432,-0.2264154594470021
landmark,0,1,3,-2.568728754240771,-2.4722010675429487,0.1216679584239131,0.0872141755053146
landmark,0,1,4,-3.6329224369112647,-3.8079301503136893,0.9637484448174352,0.9345209258010047
landmark,0,1,5,-1.6113851469121883,-1.5200202378393268,0.4564429706727573,0.4304658011878291
landmark,0,1,6,-0.1820189127611677,-0.3226241110783319,0.21906262874838128,0.21507876773799064
landmark,0,1,7,-2.1771820189415187,-2.0662769034268447,0.36564131228186714,0.5594452797816389
landmark,0,1,8,-3.889529574105589,-3.4283028618989912,-1.7883429749669153,-1.7258152497090926
landmark,0,1,9,-4.688861909166671,-4.671598665528717,0.22711366907216513,0.194713458117994
landmark,0,1,10,-0.28068595143016933,-0.1456112513175569,0.5898084954927232,0.6600929801026364
landmark,0,1,11,-3.636702771189102,-3.515707180773789,0.006257738051262535,0.06530013851118835
landmark,0,2,0,-2.527256263416355,-2.6039231418923583,0.12749707728953621,0.1321488058844147
landmark,0,2,1,-1.9407527081106337,-1.8866098374617442,0.2303468636261823,0.32003589405001714
landmark,0,2,2,-4.076497354397179,-3.624012761530602,1.0942322900450638,1.2233795553907583
landmark,0,2,3,-3.4641917422740334,-3.364692147232566,-0.9699124380611319,-0.8249843766238221
landmark,0,2,4,-13.168998936160635,-12.962197868655847,-3.227641918424581,-3.3171742900572414
landmark,0,2,5,-2.129576423899245,-1.9056085628918347,1.701219166832638,1.8229620647401292
landmark,0,2,6,-1.1821683823943303,-1.26041234865301,0.20514066007915768,0.2654897368585344
landmark,0,2,7,-2.3376855996436787,-2.193455515496533,-0.29780915258662516,-0.2534499258370779
landmark,0,2,8,-3.1045477071821073,-2.8307637736981146,-0.3448167860261589,-0.414597869251442
landmark,0,2,9,-0.8369803691802408,-0.6806455913584132,1.7820209977198234,1.8558073071823582
landmark,0,2,10,-1.0004658932623849,-0.9477501950143866,-0.4373406983362935,-0.40605590817874837
landmark,0,2,11,-2.141309503581691,-1.913846866703605,-0.10334206652076926,-0.027000677656944486
landmark,0,3,0,-6.168455095933329,-6.517878128286331,-2.1490385074608223,-1.9260595580485453
landmark,0,3,1,-3.1138296166898596,-3.1002235349955876,-0.2288464853829105,-0.13756790201226957
landmark,0,3,2,-4.44849148414837,-4.3178607837308585,-1.4378635252882994,-1.3619285731875643
landmark,0,3,3,-1.5589131556967537,-1.556441020183956,0.24925704555693057,0.3412931299177618
landmark,0,3,4,-2.6212073109330416,-2.5684007308954167,-2.0247143578104896,-1.9205153847854444
landmark,0,3,5,-3.1803651509608906,-3.2951756022412675,0.6440099042039232,0.636136826608434
landmark,0,3,6,-1.7620017367044367,-1.835684170607691,0.41998002856777833,0.34777729397567164
landmark,0,3,7,-0.5403646529253768,-0.6890591966862498,-0.2942816945890877,-0.29959999177893687
landmark,0,3,8,-2.471054676312713,-2.4114199937491247,0.22052128986975444,0.19426238518700367
landmark,0,3,9,-0.6972260142192578,-0.8705398933684831,0.5273286764539011,0.5264819728617142
landmark,0,3,10,-1.3469564345526752,-1.3948259607993698,0.620804757490264,0.6497056351071551
landmark,0,3,11,-2.463772408079652,-2.560448545619003,-0.24963758788024265,-0.18840362179713036
landmark,0,4,0,-2.8425637825428223,-2.6608940483920507,-0.5844366616275167,-0.47403402128925665
landmark,0,4,1,-3.322894480714398,-3.365353629672026,0.5294384261071295,0.5854431810002976
landmark,0,4,2,-3.3306581667152124,-3.124736679692035,0.23801861866065077,0.4014902471996388
landmark,0,4,3,-3.2414473894963485,-2.9299172474541133,1.1130839259426792,0.9536344928906054
