method,subject_consistency,background_consistency,temporal_flickering,motion_smoothness,dynamic_degree,aesthetic_quality,imaging_quality,object_class,multiple_objects,human_action,color,spatial_relationship,scene,appearance_style,temporal_style,overall_consistency
sf_native,0.9718292957599454,0.9637625314112351,0.9767157575483217,0.985668096098024,0.4328125,0.5926617165251324,0.6817180268308148,,,,,,,,,0.2347230177872916
deep_forcing,0.970897527017098,0.9634127028790844,0.9697302428365144,0.9826598724615813,0.5552083333333333,0.601511893266191,0.6836438327543438,,,,,,,,,0.23810523568524028
rolling_forcing,0.9805306073102642,0.968793094943456,0.9780863644855919,0.9880156686067848,0.3458333333333333,0.609024683587874,0.7105817152960227,,,,,,,,,0.24074266734338987
longlive,0.9781827512128078,0.9669278427870007,0.9750599699232455,0.9869445426006557,0.4197916666666667,0.6108999900209408,0.6931927392973255,,,,,,,,,0.2414122902040011
ours_prototype_retrieval_age24,0.9729760454396842,0.9638598916423535,0.9680364664927642,0.9837775776702518,0.6171875,0.6058169629580031,0.6912690859703967,,,,,,,,,0.23703482066096815
ours_confidence_recent,0.9730963479269891,0.9638970865819155,0.9681124714770495,0.9838907317993061,0.5958333333333333,0.6069011086753259,0.6918193130676324,,,,,,,,,0.2362209808849002
ours_prototype_retrieval_motion,0.9723051275383189,0.9633725508990304,0.9673716956271139,0.9831412489961934,0.5994791666666667,0.6081440419113885,0.690472538699396,,,,,,,,,0.2377480168962696
ours_confidence_motion,0.9720937123466167,0.9630611894822702,0.9668800135991634,0.983070881606603,0.621875,0.6065424965228885,0.6913735308156659,,,,,,,,,0.2369434945139801
