layer,head,calibration_best,calibration_margin,validation_budget_full_fraction,supported,assigned_policy,assigned_label,min_validation_advantage,min_bootstrap_lower,max_q_value
0,0,recent,4.309012181191018,1.0,True,recent,20,4.384730007989048,4.261714258170266,5.530711024294834e-13
0,1,recent,5.022724684623636,1.0,True,recent,20,5.0049902870084155,4.951331293177097,5.530711024294834e-13
0,2,coverage,0.1371852790815784,1.0,False,recent,20,0.07509792923494195,0.017112730856525957,0.17690140366432106
0,3,recent,0.008918941815201364,1.0,False,recent,20,0.13191074532293,0.05666648634537054,0.006004064209738989
0,4,recent,2.8390572882033656,1.0,True,recent,20,2.79443937280571,2.743931594858538,5.530711024294834e-13
0,5,recent,4.6527562105044495,1.0,True,recent,20,4.647734355915824,4.583927293057931,5.530711024294834e-13
0,6,recent,2.936108392794784,1.0,True,recent,20,2.922785327456131,2.820857523321352,5.530711024294834e-13
0,7,recent,3.9328273371206155,1.0,True,recent,20,3.910628557925006,3.842318209303334,5.530711024294834e-13
0,8,recent,0.05668019250267431,1.0,False,recent,20,0.05729494574631757,-0.03843707292703587,0.10760410076369437
0,9,coverage,0.32150669695833667,1.0,False,recent,20,0.2107558822315697,0.11854116466668672,0.006004064209738989
0,10,coverage,1.1198818954314227,1.0,True,coverage,21,0.8008214025434588,0.5781815894724275,5.553404737572025e-08
0,11,recent,3.4729391745392633,1.0,True,recent,20,3.499971396035058,3.4706826926374093,5.530711024294834e-13
1,0,recent,1.9112873969473876,1.0,True,recent,20,1.815536727256386,1.6986655373507118,5.530711024294834e-13
1,1,recent,5.218390222772914,1.0,True,recent,20,5.072031338201446,4.679995411950972,5.530711024294834e-13
1,2,recent,2.421749707148794,1.0,True,recent,20,2.566628403570444,2.3990665483024567,5.530711024294834e-13
1,3,recent,1.3565857687813052,1.0,True,recent,20,1.3500583883138666,1.1591732987245051,5.530711024294834e-13
1,4,recent,2.4284753873620737,1.0,True,recent,20,2.490233495071757,2.1913524493583143,5.530711024294834e-13
1,5,coverage,0.14062448878610478,1.0,True,coverage,21,0.13910112314201925,0.08826555876688456,0.0007679070074706996
1,6,recent,0.009157639743798462,1.0,False,recent,20,0.0034661260259833933,-0.0828968394976122,0.9862334220852063
1,7,recent,1.38691593042449,1.0,True,recent,20,1.1954092047766067,1.0079581903994281,2.1897388361157125e-11
1,8,recent,3.174037873366462,1.0,True,recent,20,3.0990698110573485,2.841357289797911,5.530711024294834e-13
1,9,recent,3.5888845183840505,1.0,True,recent,20,3.4905079400788073,3.382280048562126,5.530711024294834e-13
1,10,coverage,0.1289362100901572,1.0,False,recent,20,0.042285169467811926,-0.052379117766130974,0.626738018599067
1,11,recent,2.6484281075119567,1.0,True,recent,20,2.7113775732257976,2.535701733103144,5.530711024294834e-13
2,0,recent,0.8412272279980719,1.0,True,recent,20,0.8292672480729969,0.7553270232790591,5.530711024294834e-13
2,1,recent,0.7491056179941817,1.0,True,recent,20,0.6494825861081583,0.574654990041209,5.530711024294834e-13
2,2,recent,2.134141825467733,1.0,True,recent,20,1.9285118132025367,1.7516733235596138,5.530711024294834e-13
2,3,recent,2.501771142216807,1.0,True,recent,20,2.365318308534909,2.1961114975522595,5.530711024294834e-13
2,4,recent,12.23970516477813,1.0,True,recent,20,12.16376551765726,11.921405628733895,5.530711024294834e-13
2,5,recent,0.3926623550218018,1.0,False,recent,20,0.3217466864885747,0.17554738540232656,0.0305123750875031
2,6,coverage,0.1485902498225622,1.0,False,recent,20,0.09675808979723752,0.031812663896793686,0.17690140366432106
2,7,recent,0.7171361923298445,1.0,True,recent,20,0.6729018934565218,0.5465268789625067,5.750779364905434e-09
2,8,recent,1.5977622995609995,1.0,True,recent,20,1.4904962678589575,1.3973970146131869,5.530711024294834e-13
2,9,recent,0.09069034368869033,1.0,False,recent,20,0.15272511795624824,0.025640498716905356,0.381857186378746
2,10,recent,0.03490064525474246,1.0,False,recent,20,0.11257315166327216,0.03755139919548278,0.006004064209738989
2,11,recent,0.8813202727941638,1.0,True,recent,20,0.6977520894115499,0.5118063518843382,4.225997085206233e-07
3,0,recent,4.712676195500514,1.0,True,recent,20,4.457901623247008,4.036724678697448,5.530711024294834e-13
3,1,recent,2.0789992964194464,1.0,True,recent,20,2.070648309452029,1.9612087119200705,5.530711024294834e-13
3,2,recent,3.1057044132450127,1.0,True,recent,20,3.065902355319143,2.7277184853830496,5.530711024294834e-13
3,3,recent,0.10407138436250829,1.0,False,recent,20,0.16552112765549631,0.06865581993748304,0.0305123750875031
3,4,recent,1.8617737655817628,1.0,True,recent,20,1.7967615180390912,1.6218529169592708,5.530711024294834e-13
3,5,recent,2.153641192231276,1.0,True,recent,20,2.1652653587643607,2.0343378507089915,5.530711024294834e-13
3,6,recent,0.9471333464045846,1.0,True,recent,20,1.0079878636062287,0.9320836331856189,5.530711024294834e-13
3,7,coverage,0.057792439915004934,1.0,False,recent,20,0.08279202638593167,0.0367539019951089,0.0305123750875031
3,8,recent,1.6202844851561178,1.0,True,recent,20,1.6291647527983488,1.4593288876336081,5.530711024294834e-13
3,9,recent,0.37699586591480116,1.0,False,recent,20,0.4114345995735419,0.3302308393197421,2.1897388361157125e-11
3,10,recent,0.4860014280334677,1.0,True,recent,20,0.4451779867912174,0.4001233520134252,5.530711024294834e-13
3,11,recent,1.6021300784620465,1.0,True,recent,20,1.7009734371091907,1.5571710775035597,5.530711024294834e-13
4,0,recent,1.7937425677608996,1.0,True,recent,20,1.7848783561674908,1.621350681377798,5.530711024294834e-13
4,1,recent,2.457773056413088,1.0,True,recent,20,2.372541866502814,2.24201766785777,5.530711024294834e-13
4,2,recent,2.714100363157293,1.0,True,recent,20,2.4693031798220364,2.32309024425799,5.530711024294834e-13
4,3,recent,2.625850319330917,1.0,True,recent,20,2.5936821049031527,2.4008675124959447,5.530711024294834e-13
4,4,recent,1.9086941308799705,1.0,True,recent,20,1.9055302236284215,1.7095978909955918,5.530711024294834e-13
4,5,recent,1.0528044686324378,1.0,True,recent,20,0.9895092706677519,0.8697594296872609,5.530711024294834e-13
4,6,recent,1.4231355053892063,1.0,True,recent,20,1.468627135577848,1.365013741296265,5.530711024294834e-13
4,7,recent,1.5541201468063992,1.0,True,recent,20,1.581351642759011,1.4804686556141238,5.530711024294834e-13
4,8,coverage,0.19330367441678975,1.0,False,recent,20,0.14869860322759162,0.08468858416217975,0.014241287498062492
4,9,recent,0.3469024234126823,1.0,True,recent,20,0.36372629074364127,0.17549393440792166,0.0022724697465777233
4,10,recent,1.971414289940944,1.0,True,recent,20,1.869119476219894,1.7664922027426284,5.530711024294834e-13
4,11,recent,1.1046567693238458,1.0,True,recent,20,1.0257390002179387,0.9366061105283073,5.530711024294834e-13
5,0,recent,5.3273336927461115,1.0,True,recent,20,5.145042518931992,4.973515549624738,5.530711024294834e-13
5,1,recent,1.9711811295607422,1.0,True,recent,20,1.9987606735806462,1.7842497181434396,5.530711024294834e-13
5,2,recent,2.074807969879629,1.0,True,recent,20,1.9402008519829859,1.806541766696313,5.530711024294834e-13
