method,prompt_index,sample_index,video,decoded_frames,retained_frames,fps,duration_seconds,appearance_delta_mean,appearance_delta_median,appearance_delta_p95,appearance_delta_max,flow_speed_mean,flow_speed_median,flow_speed_p95,flow_speed_max,flow_accel_mean,flow_accel_median,flow_accel_p95,flow_accel_max,motion_floor,motion_coverage_fraction,low_motion_fraction,longest_low_motion_run_fraction,late_motion_median,earlier_motion_median,late_motion_ratio,luma_mean,luma_median,luma_p95,luma_max,luma_contrast_mean,luma_contrast_median,luma_contrast_p95,luma_contrast_max,edge_density_mean,edge_density_median,edge_density_p95,edge_density_max,dark_frame_fraction,bright_frame_fraction,low_contrast_frame_fraction,edge_density_outlier_fraction,appearance_jump_ratio,flow_jump_ratio,appearance_outlier_fraction,flow_accel_outlier_fraction,temporal_jump
pooled_correct,19,0,/apdcephfs_gy2/share_302533218/cedricnie/v219_runs/v219_38a06347_mechanism64/jobs/replicate64/pooled_correct/source_037/media/0-0_ema.mp4,477,60,16.0,29.8125,0.027555328494649114,0.024286752588608684,0.0620819454567105,0.0707399704877068,0.4188373386859894,0.3841404914855957,0.7234754681587218,0.8374674916267395,0.15179786394382344,0.12525096535682678,0.3442418172955513,0.504894345998764,0.03841404914855957,1.0,0.0,0.0,0.373590350151062,0.4013388454914093,0.9308601804882073,0.398087712597708,0.3968200392488076,0.4427788818229995,0.45312851914414415,0.17654219492881315,0.17501973286520614,0.20113666688165005,0.21317251565302223,0.11074526675112613,0.11343961148648649,0.13121700802364863,0.13252217060810811,0.0,0.0,0.0,0.0,2.5562061140207377,0.8961352029416547,0.1016949152542373,0.034482758620689655,1.7261706584811962
pooled_correct,20,0,/apdcephfs_gy2/share_302533218/cedricnie/v219_runs/v219_38a06347_mechanism64/jobs/replicate64/pooled_correct/source_041/media/0-0_ema.mp4,477,60,16.0,29.8125,0.03152256523821987,0.024486618415982115,0.07103960523418326,0.12423841439041437,0.6253384866956937,0.414725661277771,1.4743113398551806,4.824854850769043,0.26730425244775313,0.1506146639585495,0.8488020583987235,3.0969433784484863,0.041472566127777104,1.0,0.0,0.0,0.30372312664985657,0.4470691680908203,0.6793649581045509,0.33846663989357,0.3298541418256492,0.3925157274691971,0.39796676271860093,0.20944237795745907,0.20617175688233072,0.24692427410906861,0.24757293884945514,0.17801898578265765,0.17827544341216217,0.18666200380067566,0.18800147804054054,0.0,0.0,0.0,0.08333333333333333,2.9011603001832458,2.0466591234879505,0.15254237288135594,0.13793103448275862,2.4739097118355984
pooled_correct,21,0,/apdcephfs_gy2/share_302533218/cedricnie/v219_runs/v219_38a06347_mechanism64/jobs/replicate64/pooled_correct/source_042/media/0-0_ema.mp4,477,60,16.0,29.8125,0.04089847411298007,0.04022578445135378,0.0559420757667691,0.06903277378456266,1.057079833442882,0.990211546421051,1.7312911510467521,2.3079376220703125,0.42359631431513817,0.3296254575252533,1.0208426892757414,1.1063694953918457,0.0990211546421051,1.0,0.0,0.0,0.9112401008605957,1.008035957813263,0.9039757895515484,0.44623458476859207,0.4312886588334658,0.5461111956395733,0.5617257882882883,0.19658237957160088,0.19378553924863073,0.23110143354546964,0.23476036386812218,0.12158950943130632,0.12250580658783783,0.1363571579391892,0.13917335304054054,0.0,0.0,0.0,0.0,1.3907019224055528,1.0309339382734946,0.03389830508474576,0.06896551724137931,1.2108179303395237
pooled_correct,22,0,/apdcephfs_gy2/share_302533218/cedricnie/v219_runs/v219_38a06347_mechanism64/jobs/replicate64/pooled_correct/source_044/media/0-0_ema.mp4,477,60,16.0,29.8125,0.03994350884989988,0.03807951983283548,0.06940299688601026,0.08248118232278263,1.5665881770142054,1.4032399654388428,2.8909421682357785,3.491666793823242,0.3592669789133401,0.2581789493560791,1.1328740924596785,1.6946380138397217,0.14032399654388428,1.0,0.0,0.0,1.0009205341339111,1.6171603202819824,0.6189371094384641,0.3404030023819775,0.3210778103471118,0.41211264055875724,0.4191588417461579,0.18639090133124767,0.1939578471935204,0.22668124595448683,0.2339889729184925,0.0808765308277027,0.08662373310810811,0.1319533889358108,0.13302364864864866,0.0,0.0,0.0,0.0,1.8225806730410752,0.8073274139575898,0.0847457627118644,0.10344827586206896,1.3149540434993325
pooled_correct,23,0,/apdcephfs_gy2/share_302533218/cedricnie/v219_runs/v219_38a06347_mechanism64/jobs/replicate64/pooled_correct/source_045/media/0-0_ema.mp4,477,60,16.0,29.8125,0.05716313225520177,0.043961046256271064,0.12011162178189139,0.13596720975988053,0.8538643313666522,0.2795755863189697,3.49209005832672,4.195005416870117,0.34707368190946253,0.10751411691308022,1.442890632152557,2.2493019104003906,0.027957558631896973,1.0,0.0,0.0,0.18671441078186035,0.40883584320545197,0.4566977526186003,0.2945757223215863,0.28298033212440377,0.37757320854862214,0.39753100987016426,0.19530039825527792,0.19922621264371534,0.23579253112116622,0.23877729005784912,0.2038670995213964,0.20423353040540543,0.22630648226351352,0.23360958614864866,0.0,0.0,0.0,0.0,2.7322284615725545,5.161003688306149,0.06779661016949153,0.27586206896551724,3.9466160749393517
pooled_correct,24,0,/apdcephfs_gy2/share_302533218/cedricnie/v219_runs/v219_38a06347_mechanism64/jobs/replicate64/pooled_correct/source_049/media/0-0_ema.mp4,477,60,16.0,29.8125,0.01872914651970247,0.018033854166666665,0.03376764746273265,0.03839241476619945,0.4319039797883923,0.40264463424682617,0.8586682260036466,1.1056532859802246,0.23457707927144808,0.18123924732208252,0.5847885452210903,0.999451220035553,0.04026446342468262,1.0,0.0,0.0,0.35584503412246704,0.4265049248933792,0.8343280777154537,0.4057876517372152,0.4093695142753047,0.48906584318693697,0.4912543057763646,0.16947845300178793,0.15846435261574698,0.22726378701729233,0.22850403297157593,0.13374595298423425,0.13389463682432434,0.14084538640202704,0.14318517736486486,0.0,0.0,0.0,0.13333333333333333,1.8724587185110957,1.4523689017114967,0.03389830508474576,0.06896551724137931,1.6624138101112962
pooled_correct,25,0,/apdcephfs_gy2/share_302533218/cedricnie/v219_runs/v219_38a06347_mechanism64/jobs/replicate64/pooled_correct/source_050/media/0-0_ema.mp4,477,60,16.0,29.8125,0.09369115325532193,0.09180267184388403,0.1267804987290326,0.13173295563342524,1.5026509968911188,1.1581188440322876,3.4279571533203113,3.7741153240203857,0.42237662344143306,0.3497781753540039,1.122967872023582,1.7316022515296936,0.11581188440322876,1.0,0.0,0.0,0.7472082376480103,1.3121196031570435,0.5694665607084747,0.47612117517333513,0.4707735078828829,0.5469832292080683,0.5859980499801272,0.21675524048486466,0.2167615041311055,0.23390496968091726,0.241574701445578,0.14483785543355854,0.14028188344594594,0.18402000633445945,0.19789907094594594,0.0,0.0,0.0,0.016666666666666666,1.3810109900137817,0.9696482168562957,0.0,0.06896551724137931,1.1753296034350387
pooled_correct,26,0,/apdcephfs_gy2/share_302533218/cedricnie/v219_runs/v219_38a06347_mechanism64/jobs/replicate64/pooled_correct/source_052/media/0-0_ema.mp4,477,60,16.0,29.8125,0.0265934618417113,0.017032140844008503,0.08693763807708137,0.11678031472598806,0.35426675907130967,0.28222402930259705,0.7901080369949337,1.1966757774353027,0.18700016418407703,0.13155946135520935,0.47095530927181245,1.1299329921603203,0.028222402930259707,1.0,0.0,0.0,0.17147542536258698,0.3332008719444275,0.5146307822123175,0.46002042828674256,0.462392355590885,0.4916697407425808,0.4953639416070482,0.2288187464366507,0.2257130146984352,0.25977397088471427,0.2608010196762354,0.16899238105292796,0.15706820101351351,0.23007944467905406,0.23669763513513514,0.0,0.0,0.0,0.06666666666666667,5.104328274015179,1.6687285998842434,0.1864406779661017,0.1724137931034483,3.3865284369497113
pooled_correct,27,0,/apdcephfs_gy2/share_302533218/cedricnie/v219_runs/v219_38a06347_mechanism64/jobs/replicate64/pooled_correct/source_053/media/0-0_ema.mp4,477,60,16.0,29.8125,0.025075505523833773,0.02326071496103324,0.04587691924151252,0.06719484516218596,0.4203299539068998,0.382824182510376,0.8415940344333649,1.2120599746704102,0.16099613236969915,0.12978705763816833,0.42087256014347074,0.4684584438800812,0.0382824182510376,1.0,0.0,0.0,0.34398865699768066,0.3968587666749954,0.8667785264761145,0.3580300245098039,0.36608528335320617,0.42834535535075513,0.4335112571210917,0.2094833215985419,0.21203005158620597,0.25156692508777473,0.25408052146574356,0.1430035015484234,0.14685388513513514,0.15369510135135137,0.15487753378378377,0.0,0.0,0.0,0.0,1.9722918800374942,1.099388647246869,0.13559322033898305,0.08620689655172414,1.5358402636421817
pooled_correct,28,0,/apdcephfs_gy2/share_302533218/cedricnie/v219_runs/v219_38a06347_mechanism64/jobs/replicate64/pooled_correct/source_057/media/0-0_ema.mp4,477,60,16.0,29.8125,0.01971746982233435,0.019219185324276196,0.028067855460971007,0.03230191399069393,0.44683524978868033,0.41629523038864136,0.7844601094722743,0.9633238315582275,0.21611947309354257,0.18697623908519745,0.6079347267746924,0.821191281080246,0.041629523038864136,1.0,0.0,0.0,0.41409027576446533,0.4167171120643616,0.9936963560558307,0.3748527048417903,0.37916449307763644,0.41151770854034175,0.41844248890434554,0.2050085336722063,0.19445904563056413,0.2678868263673123,0.2717260966056346,0.09920071438626124,0.10286898226351351,0.11479888091216216,0.11821684966216216,0.0,0.0,0.0,0.0,1.4604081800240436,1.4603451646734984,0.06779661016949153,0.06896551724137931,1.460376672348771
