candidate,control,window,metric,mean_delta,median_delta,win_fraction,bootstrap_ci_lower,bootstrap_ci_upper,p_value,q_value,inferential_role
landmark_horizon_top10,sf_native,full,quality_without_dynamic_degree,-0.5646442103041744,-0.5817427272498534,0.3125,-0.8945736968375427,-0.226414076903007,0.9899691964965314,1.0,development_primary_sf_efficacy
landmark_horizon_top10,sf_native,full,official_quality_score,-0.5646442103041744,-0.5817427272498534,0.3125,-0.8925024689982269,-0.22491088483339736,0.9899691964965314,,descriptive_context
landmark_horizon_top10,sf_native,full,identity_background,0.000913887331652808,0.0007337430864406969,0.5625,-0.0010295117737550794,0.0029079043239730877,0.29830744792707264,0.7457686198176816,development_primary_sf_efficacy
landmark_horizon_top10,sf_native,full,temporal_mechanics,-0.008484850266018227,-0.0069300685452710065,0.09375,-0.011320882189724992,-0.006068923157592277,0.9999998768325895,1.0,development_primary_sf_efficacy
landmark_horizon_top10,sf_native,full,semantic_alignment,0.008447210285036515,0.0059795568386713654,0.78125,0.0008177753516550504,0.01666105656438352,0.0010512007866054773,0.010512007866054773,development_primary_sf_efficacy
landmark_horizon_top10,sf_native,full,visual_quality,0.005200895130634292,0.00472168920437499,0.53125,-0.0020675769034307736,0.013082024706481012,0.4300250329542905,0.9556111843428678,development_primary_sf_efficacy
landmark_horizon_top10,sf_native,full,dynamic_degree,0.0,0.0,0.0,0.0,0.0,1.0,,descriptive_context
landmark_horizon_top10,landmark_all_recent,full,quality_without_dynamic_degree,-0.4046869610599475,-0.24898386330328748,0.34375,-0.6558249624138441,-0.16464479361829837,0.9749487701337785,,descriptive_context
landmark_horizon_top10,landmark_all_recent,full,official_quality_score,-0.4046869610599475,-0.24898386330328748,0.34375,-0.6533152252264827,-0.16904691579905023,0.9749487701337785,,descriptive_context
landmark_horizon_top10,landmark_all_recent,full,identity_background,-0.0009619770751792128,-0.0008875930757138439,0.40625,-0.0021431403542650183,0.00011473657006524946,0.8923364251386374,,descriptive_context
landmark_horizon_top10,landmark_all_recent,full,temporal_mechanics,-0.002608394460179953,-0.0021285776398358713,0.21875,-0.004115502792646636,-0.0011461470616382647,0.9997324736323208,,descriptive_context
landmark_horizon_top10,landmark_all_recent,full,semantic_alignment,-0.0018148066670012975,0.0010408783952395168,0.5625,-0.007961515221395528,0.003159789097941639,0.29830744792707264,,descriptive_context
landmark_horizon_top10,landmark_all_recent,full,visual_quality,-0.004189903092260163,-0.0010243885119757268,0.46875,-0.008957942008382324,0.00018186926408671802,0.7016925520729274,,descriptive_context
landmark_horizon_top10,landmark_all_recent,full,dynamic_degree,0.0,0.0,0.0,0.0,0.0,1.0,,descriptive_context
landmark_horizon_top10,landmark_static_top10,full,quality_without_dynamic_degree,-0.07382055207592675,0.0022737376924979458,0.5,-0.46055264098278503,0.26434855681813435,0.5699749670457095,0.7861723683389097,development_secondary_mechanism
landmark_horizon_top10,landmark_static_top10,full,official_quality_score,-0.07382055207592675,0.0022737376924979458,0.5,-0.46174242236289326,0.2521630013426809,0.5699749670457095,,descriptive_context
landmark_horizon_top10,landmark_static_top10,full,identity_background,1.8867386368311145e-05,4.602003995768378e-05,0.5,-0.0011178296705625014,0.0011832988730018645,0.5699749670457095,0.7861723683389097,development_secondary_mechanism
landmark_horizon_top10,landmark_static_top10,full,temporal_mechanics,-0.0008862291902723869,-0.0004103607955477928,0.4375,-0.003237726669691829,0.0012310817798510038,0.8114572062622756,0.8772510337970547,development_secondary_mechanism
landmark_horizon_top10,landmark_static_top10,full,semantic_alignment,-0.003698340496824432,-0.0005484834313392722,0.46875,-0.009183424716757146,0.0011471909040119545,0.7016925520729274,0.8505364267550635,development_secondary_mechanism
landmark_horizon_top10,landmark_static_top10,full,visual_quality,1.7600215350591086e-05,0.00012901123364755795,0.5,-0.005564753313517795,0.005577152167912559,0.5699749670457095,0.7861723683389097,development_secondary_mechanism
landmark_horizon_top10,landmark_static_top10,full,dynamic_degree,0.0,0.0,0.0,0.0,0.0,1.0,,descriptive_context
landmark_horizon_top10,landmark_horizon_shift_top10,full,quality_without_dynamic_degree,-0.014138481912068457,0.006422641272706642,0.5,-0.39487225252356795,0.32973341800432,0.5699749670457095,0.7861723683389097,development_secondary_mechanism
landmark_horizon_top10,landmark_horizon_shift_top10,full,official_quality_score,-0.014138481912068457,0.006422641272706642,0.5,-0.39425366294132247,0.32599532082204047,0.5699749670457095,,descriptive_context
landmark_horizon_top10,landmark_horizon_shift_top10,full,identity_background,0.00014288281204736727,0.0004310592108787703,0.59375,-0.0012811962522165064,0.0014215438953414346,0.18854279373772442,0.7541711749508977,development_secondary_mechanism
landmark_horizon_top10,landmark_horizon_shift_top10,full,temporal_mechanics,0.00012988638923144488,9.357747217841883e-05,0.53125,-0.002028666232288022,0.0022348034804288686,0.4300250329542905,0.7861723683389097,development_secondary_mechanism
landmark_horizon_top10,landmark_horizon_shift_top10,full,semantic_alignment,-0.0004060436699849872,0.0011653179923693108,0.5,-0.007081722712900951,0.004783085200081885,0.5699749670457095,0.7861723683389097,development_secondary_mechanism
landmark_horizon_top10,landmark_horizon_shift_top10,full,visual_quality,-0.0011304103117436258,-0.00011357434590658633,0.5,-0.006799418135313332,0.003932840978881953,0.5699749670457095,0.7861723683389097,development_secondary_mechanism
landmark_horizon_top10,landmark_horizon_shift_top10,full,dynamic_degree,0.0,0.0,0.0,0.0,0.0,1.0,,descriptive_context
landmark_horizon_top10,landmark_all_coverage,full,quality_without_dynamic_degree,0.09423286399678776,0.15761636663129508,0.53125,-0.372763708589217,0.5645712402828565,0.4300250329542905,,descriptive_context
landmark_horizon_top10,landmark_all_coverage,full,official_quality_score,0.09423286399678776,0.15761636663129508,0.53125,-0.3711192818748112,0.5807834100423407,0.4300250329542905,,descriptive_context
landmark_horizon_top10,landmark_all_coverage,full,identity_background,0.0018173430462416172,0.000977943758668498,0.65625,7.956212612623045e-05,0.003708325449325991,0.055092082591727376,,descriptive_context
landmark_horizon_top10,landmark_all_coverage,full,temporal_mechanics,0.0006512541842943476,0.0008108921842024941,0.59375,-0.0021206433764592394,0.0034162702814465656,0.18854279373772442,,descriptive_context
landmark_horizon_top10,landmark_all_coverage,full,semantic_alignment,-0.0019522582995705274,-0.0018083507815996602,0.4375,-0.010231420503308369,0.006021553979759728,0.8114572062622756,,descriptive_context
landmark_horizon_top10,landmark_all_coverage,full,visual_quality,-0.0011119892764836683,0.001493033210436534,0.53125,-0.007956642460512642,0.005616623963477731,0.4300250329542905,,descriptive_context
landmark_horizon_top10,landmark_all_coverage,full,dynamic_degree,0.0,0.0,0.0,0.0,0.0,1.0,,descriptive_context
landmark_static_top10,landmark_all_recent,full,quality_without_dynamic_degree,-0.33086640898402075,-0.15891840912723865,0.375,-0.7379642796998983,0.048053345594304166,0.9449079174082726,,descriptive_context
landmark_static_top10,landmark_all_recent,full,official_quality_score,-0.33086640898402075,-0.15891840912723865,0.375,-0.7351405291609067,0.060003215069466036,0.9449079174082726,,descriptive_context
landmark_static_top10,landmark_all_recent,full,identity_background,-0.000980844461547524,-0.00031125409338594867,0.4375,-0.0024713863062860355,0.00019328710310414026,0.8114572062622756,,descriptive_context
landmark_static_top10,landmark_all_recent,full,temporal_mechanics,-0.0017221652699075662,-0.0013166566057373763,0.28125,-0.004111585629569216,0.000582821162436888,0.99649981665425,,descriptive_context
landmark_static_top10,landmark_all_recent,full,semantic_alignment,0.0018835338298231344,0.0005762164791425078,0.53125,-0.0013318504396981257,0.005252288306364787,0.4300250329542905,,descriptive_context
landmark_static_top10,landmark_all_recent,full,visual_quality,-0.004207503307610754,-0.0003489492932955418,0.5,-0.011737622213984516,0.0023060328265341757,0.5699749670457095,,descriptive_context
landmark_static_top10,landmark_all_recent,full,dynamic_degree,0.0,0.0,0.0,0.0,0.0,1.0,,descriptive_context
landmark_all_recent,sf_native,full,quality_without_dynamic_degree,-0.15995724924422694,-0.0069354823969689505,0.5,-0.4816693705700243,0.15694460987888695,0.5699749670457095,,descriptive_context
landmark_all_recent,sf_native,full,official_quality_score,-0.15995724924422694,-0.0069354823969689505,0.5,-0.4906996384911953,0.15627935273799032,0.5699749670457095,,descriptive_context
landmark_all_recent,sf_native,full,identity_background,0.0018758644068320209,0.0005875342837586839,0.5625,0.000342056056361838,0.003396189120645241,0.29830744792707264,,descriptive_context
landmark_all_recent,sf_native,full,temporal_mechanics,-0.005876455805838274,-0.004294927332636256,0.15625,-0.008292445477012784,-0.0038005905254716527,0.9999903494026512,,descriptive_context
landmark_all_recent,sf_native,full,semantic_alignment,0.010262016952037812,0.008272260427474976,0.75,0.003950575479539108,0.016886349927129535,0.0035001833457499743,,descriptive_context
landmark_all_recent,sf_native,full,visual_quality,0.009390798222894455,0.010216885149478827,0.59375,0.001984572533424923,0.01687878282450448,0.18854279373772442,,descriptive_context
landmark_all_recent,sf_native,full,dynamic_degree,0.0,0.0,0.0,0.0,0.0,1.0,,descriptive_context
retrieval_horizon_top10,sf_native,full,quality_without_dynamic_degree,-0.1821542932034057,-0.1521268306729553,0.4375,-0.7003004523206874,0.3385695505725559,0.8114572062622756,1.0,development_primary_sf_efficacy
retrieval_horizon_top10,sf_native,full,official_quality_score,-0.1821542932034057,-0.1521268306729553,0.4375,-0.704363903868735,0.32430192992777124,0.8114572062622756,,descriptive_context
retrieval_horizon_top10,sf_native,full,identity_background,0.0020344941843313917,0.0010789607907363274,0.5625,-2.5683123332428656e-05,0.004357911911045624,0.29830744792707264,0.7457686198176816,development_primary_sf_efficacy
retrieval_horizon_top10,sf_native,full,temporal_mechanics,-0.006141430328457254,-0.004048322684955363,0.125,-0.009687611499017198,-0.0028040821661452693,0.999998721992597,1.0,development_primary_sf_efficacy
retrieval_horizon_top10,sf_native,full,semantic_alignment,0.00834467331878841,0.004294588168462107,0.625,0.0021168298076372576,0.016211310253323362,0.10766357486136258,0.3588785828712086,development_primary_sf_efficacy
