candidate,control,window,prompt_count,metric,mean_delta,median_delta,win_fraction,tie_fraction,bootstrap_ci_lower,bootstrap_ci_upper,p_value,q_value,inferential_role
headwise_correct,sf_fifo21,full,48,quality_without_dynamic_degree,0.09542637318481557,0.027175198492685126,0.5625,0.0,-0.05553322257862811,0.26215446114112445,0.2354395068108559,,
headwise_correct,sf_fifo21,full,48,official_quality_score,-0.0007274729690358583,0.10461399699039475,0.625,0.0,-0.22914826971727686,0.21625212823320908,0.055701445530509375,0.145059489646453,
headwise_correct,sf_fifo21,full,48,identity_background,-0.00018613388517433696,-2.173076324629708e-05,0.4791666666666667,0.0,-0.0010478441363341593,0.0006269492935124256,0.6672670939616907,,
headwise_correct,sf_fifo21,full,48,temporal_mechanics,0.00038623556368948725,-1.25644356840926e-06,0.5,0.0,-0.00044956302317105166,0.0013641548126277425,0.5572832513567434,,
headwise_correct,sf_fifo21,full,48,semantic_alignment,0.0010838353424333005,0.00024151057004929977,0.5208333333333334,0.0,-0.0018238753836744307,0.004447343665524381,0.4427167486432566,,
headwise_correct,sf_fifo21,full,48,visual_quality,0.0022293242443766743,0.00045858079195015833,0.6041666666666666,0.0,-0.0021472771024641864,0.00669038010852204,0.09670632643096866,,
headwise_correct,sf_fifo21,full,48,dynamic_degree,-0.012500000000000004,0.0,0.20833333333333334,0.5833333333333334,-0.04722222222222223,0.01666666666666666,0.5880985260009766,,
headwise_correct,sf_fifo21,full,48,subject_consistency,0.0002300193610719689,-1.5818184650684408e-05,0.4791666666666667,0.0,-0.0010154572547115004,0.0014680956526857056,0.6672670939616907,,
headwise_correct,sf_fifo21,full,48,imaging_quality,0.0043578296328584355,-0.0004104282458622932,0.4791666666666667,0.0,-0.0025714499882111956,0.012182771025370397,0.6672670939616907,,
centered_correct,sf_fifo21,full,48,quality_without_dynamic_degree,-0.015094155296541048,-0.018231651862940623,0.4791666666666667,0.0,-0.2025436827502301,0.17754264091583513,0.6672670939616907,,
centered_correct,sf_fifo21,full,48,official_quality_score,-0.11124800145039011,-0.021217574414286844,0.4583333333333333,0.0,-0.3262652946733995,0.06869021352694313,0.7645604931891441,0.7645604931891441,
centered_correct,sf_fifo21,full,48,identity_background,-0.0003697762577145371,-0.00012898823840579166,0.4375,0.0,-0.001147349837701606,0.00039156738905088726,0.8438365962633654,,
centered_correct,sf_fifo21,full,48,temporal_mechanics,-0.00011040374732137805,-7.54133105595467e-05,0.4375,0.0,-0.0015655168414237702,0.0013391478038025234,0.8438365962633654,,
centered_correct,sf_fifo21,full,48,semantic_alignment,8.82213560139968e-05,-0.0013689875602722057,0.2916666666666667,0.0,-0.0026212032936099505,0.0030867316421871577,0.9989559463330018,,
centered_correct,sf_fifo21,full,48,visual_quality,0.00038316736846333413,-0.00019305358330418132,0.5,0.0,-0.003815435046625014,0.0048779288833650505,0.5572832513567434,,
centered_correct,sf_fifo21,full,48,dynamic_degree,-0.012500000000000004,0.0,0.10416666666666667,0.75,-0.04305555555555556,0.013888888888888881,0.80615234375,,
centered_correct,sf_fifo21,full,48,subject_consistency,-0.00014398715233937773,3.7206571987247194e-06,0.5,0.0,-0.001348836590642849,0.0009784578444836636,0.5572832513567434,,
centered_correct,sf_fifo21,full,48,imaging_quality,0.0012703058334688326,-0.0004858837922414594,0.5,0.0,-0.0062453844659030614,0.010087664909567685,0.5572832513567434,,
fifo_full_a002,sf_fifo21,full,48,quality_without_dynamic_degree,-0.06099561171807011,0.04903467178797882,0.5208333333333334,0.0,-0.2577111770822229,0.12256624801210218,0.4427167486432566,,
