layer,head,cfg_raw,semantic_raw,cfg_score,semantic_score,consensus_score,cfg_observation_count,semantic_observation_count,temporal_observation_count,positive_rate,mean_logit,mean_abs_logit,signed_logit_mass,sign_switch_rate,dominant_period,spectral_peak_ratio
0,0,0.0,0.041089845821261406,0.0,0.17146290439742312,0.08573145219871156,4160,2080,4160,0.6666666865348816,0.7557918727397919,1.1022360920906067,0.7279169857501984,0.5,4.0,0.9903239011764526
0,1,0.0,0.013071108609437943,0.0,-0.748574025006245,-0.3742870125031225,4160,2080,4160,1.0,2.4355088472366333,2.6238465309143066,1.0,0.0,4.0,0.991018682718277
0,2,0.0,0.2096255049109459,0.0,5.231447150173167,2.6157235750865837,4160,2080,4160,1.0,0.3220529556274414,0.33287791907787323,1.0,0.0,3.0,0.9455506205558777
0,3,0.0,0.3169112056493759,0.0,8.097219595997775,4.048609797998887,4160,2080,4160,1.0,0.17674805223941803,0.17701620608568192,1.0,0.0,3.0,0.9555802047252655
0,4,0.0,0.016717576421797276,0.0,-0.6274064934350184,-0.3137032467175092,4160,2080,4160,0.6666666865348816,1.82675701379776,3.5673896074295044,0.5240718722343445,0.5,3.0,0.9899222254753113
0,5,0.0,0.013882494065910578,0.0,-0.721575025518172,-0.360787512759086,4160,2080,4160,0.6666666865348816,1.7642411589622498,3.959642171859741,0.46203628182411194,0.5,3.0,0.9933003783226013
0,6,0.0,0.02796340361237526,0.0,-0.2564401887441642,-0.1282200943720821,4160,2080,4160,0.6666666865348816,2.071996808052063,3.082573413848877,0.7409773766994476,0.5,3.0,0.9912948906421661
0,7,0.0,0.036395203322172165,0.0,0.01904724322186527,0.009523621610932636,4160,2080,4160,0.6666666865348816,0.777899831533432,1.2132670283317566,0.608849823474884,0.5,3.0,0.9792058169841766
0,8,0.0,0.221277117729187,0.0,5.554732515008547,2.7773662575042737,4160,2080,4160,1.0,0.13988075405359268,0.13995129615068436,1.0,0.0,3.0,0.9341316521167755
0,9,0.0,0.0912792831659317,0.0,1.7592577721618146,0.8796288860809073,4160,2080,4160,1.0,0.42128048837184906,0.4775587171316147,1.0,0.0,3.0,0.9768013656139374
0,10,0.0,0.035225143656134605,0.0,-0.01904724322186527,-0.009523621610932636,4160,2080,4160,0.5,0.8515172898769379,2.0309791564941406,0.508802056312561,0.5,3.0,0.9788070321083069
0,11,0.0,0.020406396128237247,0.0,-0.5052730278222861,-0.25263651391114306,4160,2080,4160,0.6666666865348816,1.9602203965187073,3.483173370361328,0.6028733253479004,0.5,4.0,0.9873627722263336
1,0,0.06999490037560463,0.10099517926573753,0.5261151415527748,0.8820889978041286,0.7041020696784517,4160,2080,4160,0.6666666865348816,0.6427697837352753,1.4795308709144592,0.4222168028354645,0.5,3.0,0.9873247444629669
1,1,0.029883834533393383,0.049738069996237755,-1.6086007163525462,-0.587442025936748,-1.0980213711446472,4160,2080,4160,0.5,0.6888904273509979,4.834579944610596,0.1548434942960739,0.5,3.0,0.9847140610218048
1,2,0.05559352971613407,0.0691407285630703,-0.23097668360506712,-0.022900075567308643,-0.1269383795861879,4160,2080,4160,0.6666666865348816,1.1473754048347473,1.99195396900177,0.6462572813034058,0.5,4.0,0.9677143096923828
1,3,0.05345374159514904,0.07073046639561653,-0.3443476550171737,0.022900075567308643,-0.1607237897249325,4160,2080,4160,0.75,1.2836644649505615,1.7749953866004944,0.8363922238349915,0.5,4.0,0.9859485328197479
1,4,0.03604389168322086,0.03671642206609249,-1.275413626858244,-0.9722035402577899,-1.123808583558017,4160,2080,4160,0.800000011920929,3.44047749042511,4.170289754867554,0.904226690530777,0.25,4.0,0.9686764776706696
1,5,0.06435756757855415,0.09669780731201172,0.23097668360506712,0.7615394930164424,0.4962580883107548,4160,2080,4160,1.0,0.4933244287967682,0.5683079063892365,1.0,0.0,3.0,0.9279724359512329
1,6,0.040016330778598785,0.06853367015719414,-1.0616001426471062,-0.04040732369431957,-0.5510037331707129,4160,2080,4160,0.20000000298023224,-1.1294288635253906,1.3854985237121582,-0.937550812959671,0.25,3.0,0.988479733467102
1,7,0.09998678043484688,0.1073964461684227,2.0706315982275023,1.0607871305886538,1.565709364408078,4160,2080,4160,1.0,2.4015687704086304,2.4015687704086304,1.0,0.0,3.0,0.9523362219333649
1,8,0.07569314166903496,0.05076427571475506,0.8228663774004157,-0.5573230467519221,0.13277166532424678,4160,2080,4160,0.5,1.2242406606674194,3.4957234859466553,0.37713010609149933,0.5,3.0,0.9836404919624329
1,9,0.05222223699092865,0.10804929956793785,-0.40970009504504745,1.078954143200314,0.3346270240776333,4160,2080,4160,0.3333333432674408,-0.3994385749101639,0.839065283536911,-0.381001353263855,0.5,3.0,0.9389238655567169
1,10,0.15403760224580765,0.1401287317276001,4.750689745666607,1.9586942759515953,3.354692010809101,4160,2080,4160,0.75,0.5384907722473145,0.688102662563324,0.8978005647659302,0.3333333432674408,3.0,0.9467075169086456
1,11,0.0663633830845356,0.06496227160096169,0.3361684618979509,-0.1436064112624206,0.09628102531776515,4160,2080,4160,1.0,1.6631780862808228,1.7293736934661865,1.0,0.0,4.0,0.9838408529758453
2,0,0.03422205336391926,0.07961700111627579,-0.28602104065387696,0.3770493868505541,0.04551417309833858,4160,2080,4160,1.0,2.516560196876526,2.516560196876526,1.0,0.0,3.0,0.9399244785308838
2,1,0.06836879253387451,0.10260852426290512,1.1819423216543943,0.9974460933858775,1.089694207520136,4160,2080,4160,0.6666666865348816,0.62016960978508,0.8617858290672302,0.7483204901218414,0.5,4.0,0.9680010676383972
2,2,0.12999199330806732,0.13864469528198242,3.716146693990656,1.9442726776319192,2.8302096858112877,4160,2080,4160,0.800000011920929,0.7686720788478851,0.8667254745960236,0.9828488826751709,0.25,4.0,0.9857129156589508
2,3,0.021592515520751476,0.03719691000878811,-0.8412748484536072,-0.803087440002289,-0.8221811442279481,4160,2080,4160,0.6000000238418579,1.6683309674263,4.697372913360596,0.3888206332921982,0.5,3.0,0.9939770102500916
2,4,0.024884003214538097,0.042369067668914795,-0.695906985121352,-0.6566388319994623,-0.6762729085604071,4160,2080,4160,0.3333333432674408,-2.3165818452835083,4.448033809661865,-0.5630955398082733,0.5,3.0,0.9223063886165619
2,5,0.04100310057401657,0.07910507917404175,0.009314459567488581,0.36308595014538597,0.1862002048564373,4160,2080,4160,0.6000000238418579,0.32236967980861664,1.223257303237915,0.28301018476486206,0.5,3.0,0.991983026266098
2,6,0.06961305439472198,0.15933942794799805,1.234542884072705,2.4745582839812656,1.8545505840269854,4160,2080,4160,0.6666666865348816,0.4751303493976593,0.869244784116745,0.6014345288276672,0.0,3.0,0.9625408351421356
2,7,0.04057406075298786,0.041105734184384346,-0.009314459567488581,-0.6923426869537281,-0.35082857326060835,4160,2080,4160,0.6000000238418579,1.4316210746765137,3.423183560371399,0.4406203627586365,0.5,3.0,0.9943359196186066
2,8,0.07047810405492783,0.032361825928092,1.2710763902027935,-0.9406538379259263,0.16521127613843362,4160,2080,4160,0.6000000238418579,1.5216290950775146,3.3618698120117188,0.47307875752449036,0.5,3.0,0.9928143322467804
2,9,0.04690404422581196,0.06759252771735191,0.2647574597063626,0.047301909697734845,0.15602968470204873,4160,2080,4160,1.0,1.1256763935089111,1.1767191290855408,1.0,0.0,3.0,0.9870013296604156
2,10,0.02585585694760084,0.06416752189397812,-0.6530745338318384,-0.047301909697734436,-0.3501882217647864,4160,2080,4160,0.6666666865348816,1.6469289660453796,2.6999891996383667,0.6343993246555328,0.5,3.0,0.9900752902030945
2,11,0.02910228818655014,0.055091243237257004,-0.5102883613290887,-0.299482577034076,-0.40488546918158236,4160,2080,4160,0.6000000238418579,1.6131426095962524,3.9149876832962036,0.43350309133529663,0.5,3.0,0.9907228648662567
3,0,0.035563042387366295,0.059026360511779785,0.32963596257052113,-0.09975502815168866,0.11494046720941624,4160,2080,4160,0.4000000059604645,-0.6271173059940338,4.859814405441284,-0.1399337202310562,0.5,3.0,0.9934290945529938
3,1,0.042183611541986465,0.08895838633179665,0.8817910360857607,1.0818153726400381,0.9818032043628995,4160,2080,4160,0.6666666865348816,0.6168579459190369,1.2231891751289368,0.5275663733482361,0.5,3.0,0.9886330366134644
3,2,0.026635857298970222,0.049529097974300385,-0.4205061785789662,-0.48164910638128067,-0.45107764248012344,4160,2080,4160,0.6000000238418579,0.9513353407382965,3.4014915227890015,0.30312515795230865,0.5,3.0,0.9498384296894073
3,3,0.037998542189598083,0.08086485788226128,0.5331658640871682,0.7655569312365589,0.6493613976618635,4160,2080,4160,1.0,1.6694849133491516,1.6694849133491516,1.0,0.0,3.0,0.9640985131263733
3,4,0.02173619531095028,0.045029252767562866,-0.8349970492109756,-0.663800438125032,-0.7493987436680039,4160,2080,4160,0.5,0.7620156407356262,4.3954176902771,0.19045773148536682,0.5,3.0,0.9855571389198303
3,5,0.0219624200835824,0.04517695680260658,-0.8158156548660223,-0.657809017658759,-0.7368123362623906,4160,2080,4160,1.0,4.298656463623047,4.298656463623047,1.0,0.0,4.0,0.9804022908210754
3,6,0.02729456126689911,0.04450233466923237,-0.3649334871994368,-0.6851810808281585,-0.5250572840137977,4160,2080,4160,1.0,5.618228197097778,5.618228197097778,1.0,0.0,3.0,0.9270274639129639
3,7,0.027713162824511528,0.04854823090136051,-0.3296359625705208,-0.5212874290145545,-0.4254616957925377,4160,2080,4160,0.4000000059604645,0.16389954090118408,5.005667209625244,0.03959674388170242,0.5,3.0,0.9940599501132965
3,8,0.13471129536628723,0.14382165670394897,8.251542315071957,3.1655852215116047,5.70856376829178,4160,2080,4160,0.4000000059604645,-0.033035654574632645,1.067775309085846,-0.03705442696809769,0.5,4.0,0.9873908758163452
3,9,0.07443951070308685,0.11296658590435982,3.5227162455968575,2.0063024783854813,2.7645093619911694,4160,2080,4160,1.0,1.8266898393630981,1.8266898393630981,1.0,0.0,3.0,0.9590772092342377
3,10,0.027545437216758728,0.06402207165956497,-0.34377727650156786,0.09975502815168866,-0.1220111241749396,4160,2080,4160,1.0,1.7922284603118896,1.7922284603118896,1.0,0.0,3.0,0.9556473791599274
3,11,0.059619469568133354,0.12151271849870682,2.3193250350583816,2.3305838337063056,2.3249544343823434,4160,2080,4160,0.4000000059604645,-0.1375950574874878,0.8522668778896332,-0.17433498799800873,0.5,4.0,0.9699589908123016
4,0,0.03481495939195156,0.10549472644925117,-0.5332909831304251,0.35126262340326914,-0.09101417986357799,4160,2080,4160,0.5,0.4327520877122879,1.4122521877288818,0.333715558052063,0.5,3.0,0.9864281713962555
4,1,0.0435442216694355,0.09272835031151772,0.0008001483787277323,-0.09147944298457297,-0.04533964730292262,4160,2080,4160,1.0,2.8044931888580322,2.8044931888580322,1.0,0.0,3.0,0.9814453721046448
4,2,0.029567258432507515,0.0622663963586092,-0.8565389332632588,-1.1691611266054591,-1.012850029934359,4160,2080,4160,1.0,3.8825148344039917,3.8875892162323,1.0,0.0,3.0,0.9836678206920624
4,3,0.030757812783122063,0.04681573621928692,-0.7830588901956019,-1.727645914447073,-1.2553524023213374,4160,2080,4160,0.5,-0.49831047654151917,5.1765830516815186,-0.0960492454469204,0.5,3.0,0.8980109691619873
4,4,0.04062413051724434,0.09094089269638062,-0.17736377607142342,-0.15388151697392669,-0.16562264652267505,4160,2080,4160,0.6666666865348816,1.0876213312149048,1.594740092754364,0.6826811134815216,0.5,3.0,0.9643504619598389
4,5,0.05286085605621338,0.07069946825504303,0.5659226287575885,-0.8677535310664161,-0.1509154511544138,4160,2080,4160,0.4000000059604645,0.21728943288326263,3.7284436225891113,0.06297435238957405,0.5,3.0,0.9897712767124176
4,6,0.0605272501707077,0.10927049070596695,1.0272079792537818,0.4812279878867743,0.754217983570278,4160,2080,4160,1.0,0.6224837005138397,0.6550188064575195,1.0,0.0,4.0,0.9912329018115997
4,7,0.043517956510186195,0.10910520702600479,-0.0008001483787277323,0.47554803272577956,0.23737394217352592,4160,2080,4160,0.75,0.6529165506362915,0.8463027477264404,0.8135601282119751,0.5,4.0,0.9863332509994507
4,8,0.05808545649051666,0.13776274770498276,0.8806486530373261,1.4479256431579948,1.1642871480976604,4160,2080,4160,1.0,0.9092611372470856,0.9170762002468109,1.0,0.0,3.0,0.9463172852993011
