method,subject_consistency,background_consistency,temporal_flickering,motion_smoothness,overall_consistency,dynamic_degree,aesthetic_quality,imaging_quality,temporal_style
sf_native,0.9730907441199357,0.965508976314266,0.97926205112045,0.9858978861145384,0.22040557764315358,0.3645833333333333,0.5794833009286473,0.6932910897728677,0.22040557764315358
rccp_matched,0.9735872461581484,0.9644174509775201,0.9706084829969395,0.9828858522662692,0.22832467211798455,0.5135416666666667,0.5884274377487599,0.7120264875149975,0.22832467211798455
all_recent,0.9744002953566163,0.9652337852444989,0.9731457458462046,0.9852201991426793,0.22833274440102588,0.4796875,0.5926501937521,0.704076173294646,0.22833274440102588
