comparison,channel,axis,policy,control,matched_intervention,metric,effect_definition,context,unit_count,prompt_count,mean_effect,median_effect,positive_fraction,prompt_bootstrap_mean_ci_low,prompt_bootstrap_mean_ci_high,seed_replicate_spearman
leverage:k:matched>policy_contrast,leverage,k,key_shift,policy_contrast,1,top_bottom_log_effect,difference_of_log_ratios,noisy_t500,64,32,0.13375822114733923,0.13227312127692697,0.6875,0.0401495075768715,0.2336834180927185,0.5183284457478006
leverage:k:matched>policy_contrast,leverage,k,key_shift,policy_contrast,1,top_bottom_log_effect,difference_of_log_ratios,pooled,128,32,0.08277274011279451,0.06902633000973364,0.59375,-0.01650142406096572,0.18705747796237268,0.3775659824046921
leverage:v:matched>key_shift,leverage,v,value_shift,key_shift,1,top_bottom_log_effect,difference_of_log_ratios,noisy_t1000,64,32,0.10036120842504316,0.11960936211570176,0.640625,0.024318142998742322,0.17835513517071183,0.12390029325513194
leverage:v:matched>key_shift,leverage,v,value_shift,key_shift,1,top_bottom_log_effect,difference_of_log_ratios,noisy_t500,64,32,-0.010216728065218849,-0.01563508522913252,0.4375,-0.04969598231928553,0.029766473932041286,0.07331378299120234
leverage:v:matched>key_shift,leverage,v,value_shift,key_shift,1,top_bottom_log_effect,difference_of_log_ratios,pooled,128,32,0.045072240179912154,0.008343972015508877,0.5390625,-0.0029820349100179405,0.0938176734884735,0.0846774193548387
leverage:v:matched>policy_contrast,leverage,v,value_shift,policy_contrast,1,top_bottom_log_effect,difference_of_log_ratios,noisy_t1000,64,32,-0.09948357364906704,-0.13783712298842893,0.375,-0.2014506068050024,0.004257213944921691,0.13599706744868034
leverage:v:matched>policy_contrast,leverage,v,value_shift,policy_contrast,1,top_bottom_log_effect,difference_of_log_ratios,noisy_t500,64,32,-0.17367303220996108,-0.08830830022322422,0.359375,-0.2769941460267601,-0.08474102122570336,-0.08687683284457476
leverage:v:matched>policy_contrast,leverage,v,value_shift,policy_contrast,1,top_bottom_log_effect,difference_of_log_ratios,pooled,128,32,-0.13657830292951406,-0.10188268608819824,0.3671875,-0.2219414172195179,-0.05395692398958854,0.13196480938416422
leverage:policy:matched>key_shift,leverage,policy,policy_contrast,key_shift,1,top_bottom_log_effect,difference_of_log_ratios,noisy_t1000,64,32,-0.214131640261149,-0.22918896325002105,0.40625,-0.3458367471013034,-0.08117168755747246,-0.027126099706744865
leverage:policy:matched>key_shift,leverage,policy,policy_contrast,key_shift,1,top_bottom_log_effect,difference_of_log_ratios,noisy_t500,64,32,-0.21131324185060757,-0.15618228496824382,0.21875,-0.3244845750776142,-0.11798583232425536,0.1312316715542522
leverage:policy:matched>key_shift,leverage,policy,policy_contrast,key_shift,1,top_bottom_log_effect,difference_of_log_ratios,pooled,128,32,-0.2127224410558783,-0.1620798441553562,0.3125,-0.31120169239512935,-0.11535492769727021,0.022360703812316713
leverage:policy:matched>value_shift,leverage,policy,policy_contrast,value_shift,1,top_bottom_log_effect,difference_of_log_ratios,noisy_t1000,64,32,-0.19246498090409958,-0.19463794487996353,0.390625,-0.32223546128279906,-0.05604714023853422,0.20601173020527858
leverage:policy:matched>value_shift,leverage,policy,policy_contrast,value_shift,1,top_bottom_log_effect,difference_of_log_ratios,noisy_t500,64,32,-0.2310679510083148,-0.14238074484576196,0.265625,-0.35502747443255467,-0.12671267697857622,0.29325513196480935
leverage:policy:matched>value_shift,leverage,policy,policy_contrast,value_shift,1,top_bottom_log_effect,difference_of_log_ratios,pooled,128,32,-0.21176646595620718,-0.15634658144636768,0.328125,-0.3194662414770114,-0.11124887092996673,0.3673020527859237
