probe_name,context,unit_count,selected_head_count,mean_x0_relative_rms,median_x0_relative_rms,mean_flow_relative_rms,mean_local_replacement_relative_rms
k_bottom1_key_shift,noisy_t1000,32,30,0.04386039776727557,0.03126820269972086,0.03044096936355345,0.048776739490032625
k_bottom1_key_shift,noisy_t500,32,30,0.023406107764458284,0.019335912540555,0.019419932941673324,0.05158803235218748
k_bottom2_key_shift,noisy_t1000,32,60,0.0841940917307511,0.06781012192368507,0.05829628178616986,0.06239943046227078
k_bottom2_key_shift,noisy_t500,32,60,0.03829621593467891,0.03245812840759754,0.03194348837132566,0.06644227737882222
k_bottom3_key_shift,noisy_t1000,32,90,0.10235832410398871,0.07952096685767174,0.07140656874980778,0.07194515915374117
k_bottom3_key_shift,noisy_t500,32,90,0.056324297562241554,0.04792344756424427,0.046877776738256216,0.0761656033705852
k_bottom4_key_shift,noisy_t1000,32,120,0.13732279289979488,0.1160077266395092,0.09580813767388463,0.07400370058385307
k_bottom4_key_shift,noisy_t500,32,120,0.07317678409162909,0.05786983296275139,0.06097861606394872,0.07748296623370456
k_top1_key_shift,noisy_t1000,32,30,0.09693569428054616,0.0599297471344471,0.06736948632169515,0.19899666499501717
k_top1_key_shift,noisy_t500,32,30,0.04047526343492791,0.03359696455299854,0.03373927521170117,0.199264130370769
k_top2_key_shift,noisy_t1000,32,60,0.14887492265552282,0.10374170541763306,0.10341343790059909,0.16336215931951303
k_top2_key_shift,noisy_t500,32,60,0.06411648285575211,0.052448833361268044,0.05339342541992664,0.16344586775521747
k_top3_key_shift,noisy_t1000,32,90,0.18286117259413004,0.14621470868587494,0.1271529282676056,0.15152615805127426
k_top3_key_shift,noisy_t500,32,90,0.08261962502729148,0.06952323019504547,0.06880355003522709,0.1507562675299899
k_top4_key_shift,noisy_t1000,32,120,0.206823333282955,0.1754792332649231,0.1435553397750482,0.14756152148765977
k_top4_key_shift,noisy_t500,32,120,0.09599466063082218,0.08085836470127106,0.0799415364745073,0.14595271179908498
native_replay,noisy_t1000,32,0,0.0,0.0,0.0,0.0
native_replay,noisy_t500,32,0,0.0,0.0,0.0,0.0
policy_bottom1_recent4,noisy_t1000,32,30,0.1738513798918575,0.1618325114250183,0.12032552564051002,0.2558647327214809
policy_bottom1_recent4,noisy_t500,32,30,0.07391365768853575,0.06922253221273422,0.061394028016366065,0.20892027952898692
policy_bottom2_recent4,noisy_t1000,32,60,0.20452552591450512,0.1745077222585678,0.14138465956784785,0.27150873973150735
policy_bottom2_recent4,noisy_t500,32,60,0.08878773730248213,0.08519899472594261,0.07375780772417784,0.21996610252729928
policy_bottom3_recent4,noisy_t1000,32,90,0.23445621179416776,0.2054905742406845,0.16214912896975875,0.27341503273734513
policy_bottom3_recent4,noisy_t500,32,90,0.10596626775804907,0.10016254335641861,0.08801098878029734,0.22652660224509114
policy_bottom4_recent4,noisy_t1000,32,120,0.23880446888506413,0.22312215715646744,0.16532585420645773,0.26772338935018825
policy_bottom4_recent4,noisy_t500,32,120,0.11939429782796651,0.11691242456436157,0.09907388954889029,0.22456429290080754
policy_top1_recent4,noisy_t1000,32,30,0.15864932863041759,0.129994235932827,0.10875480913091451,0.18114973573538007
policy_top1_recent4,noisy_t500,32,30,0.061151388799771667,0.057752251625061035,0.05024453497026116,0.16543768535145015
policy_top2_recent4,noisy_t1000,32,60,0.22543462133035064,0.2087274119257927,0.15577678242698312,0.1825557888466089
policy_top2_recent4,noisy_t500,32,60,0.08948253199923784,0.08429940044879913,0.07376564270816743,0.1706649250869911
policy_top3_recent4,noisy_t1000,32,90,0.28257528971880674,0.262168288230896,0.19592605414800346,0.1921884348858536
policy_top3_recent4,noisy_t500,32,90,0.11245003482326865,0.10725786909461021,0.09299160912632942,0.1821429420010342
policy_top4_recent4,noisy_t1000,32,120,0.36182469921186566,0.3526529371738434,0.25015013897791505,0.19669297117798124
policy_top4_recent4,noisy_t500,32,120,0.14126591733656824,0.13489972054958344,0.11698617320507765,0.18506175646228562
v_bottom1_value_shift,noisy_t1000,32,30,0.11399144236929715,0.07279523834586143,0.07903598475968465,0.10648390298180553
v_bottom1_value_shift,noisy_t500,32,30,0.04503217147430405,0.03132335003465414,0.03722623872454278,0.11892998222950457
v_bottom2_value_shift,noisy_t1000,32,60,0.11756156029878184,0.08444953709840775,0.08142211480299011,0.09616479575245951
v_bottom2_value_shift,noisy_t500,32,60,0.05141259857919067,0.03949614241719246,0.042522686009760946,0.09880440657094974
v_bottom3_value_shift,noisy_t1000,32,90,0.14139779028482735,0.10744018852710724,0.09838821191806346,0.0937673600114067
v_bottom3_value_shift,noisy_t500,32,90,0.05966576311038807,0.048497775569558144,0.049481385736726224,0.09688738621819842
v_bottom4_value_shift,noisy_t1000,32,120,0.15064729552250355,0.11435895785689354,0.1049243975430727,0.10020782346643198
v_bottom4_value_shift,noisy_t500,32,120,0.0648206818732433,0.05194070748984814,0.05383992841234431,0.10198214939106644
