comparison,axis,policy,control,matched_intervention,dose,metric,effect_definition,context,unit_count,prompt_count,mean_effect,median_effect,positive_fraction,prompt_bootstrap_mean_ci_low,prompt_bootstrap_mean_ci_high,seed_replicate_spearman
policy:recent4:top>bottom:dose1,policy,recent4,bottom,1,1,x0_relative_rms,paired_log_ratio,noisy_t1000,32,16,-0.1263025165270325,-0.11787325379242326,0.34375,-0.22479595166394772,-0.02076807291358983,-0.17352941176470588
policy:recent4:top>bottom:dose1,policy,recent4,bottom,1,1,x0_relative_rms,paired_log_ratio,noisy_t500,32,16,-0.2410980676211317,-0.27250405539104416,0.15625,-0.3319699594272346,-0.13965862125825676,-0.12058823529411765
policy:recent4:top>bottom:dose1,policy,recent4,bottom,1,1,x0_relative_rms,paired_log_ratio,pooled,64,16,-0.18370029207408212,-0.18228417260393437,0.25,-0.2684106236740908,-0.09906286934820369,-0.044117647058823525
policy:recent4:top>bottom:dose2,policy,recent4,bottom,1,2,x0_relative_rms,paired_log_ratio,noisy_t1000,32,16,0.12919009716205196,0.07296461656550281,0.59375,-0.022163871482073987,0.30040206730172625,0.4852941176470588
policy:recent4:top>bottom:dose2,policy,recent4,bottom,1,2,x0_relative_rms,paired_log_ratio,noisy_t500,32,16,-0.024297365037615173,-0.012852470661983735,0.46875,-0.09840581723263303,0.05426191544424751,0.03529411764705882
policy:recent4:top>bottom:dose2,policy,recent4,bottom,1,2,x0_relative_rms,paired_log_ratio,pooled,64,16,0.052446366062218384,0.012648635464449928,0.53125,-0.04241233905313952,0.1526421594871107,0.5029411764705883
policy:recent4:top>bottom:dose3,policy,recent4,bottom,1,3,x0_relative_rms,paired_log_ratio,noisy_t1000,32,16,0.21877779206384645,0.20197655489005895,0.65625,0.051794950410136126,0.4100627098721863,0.5411764705882353
policy:recent4:top>bottom:dose3,policy,recent4,bottom,1,3,x0_relative_rms,paired_log_ratio,noisy_t500,32,16,0.05629454032377187,0.06653316717684543,0.59375,-0.0322575830283134,0.14308268639431473,0.3941176470588235
policy:recent4:top>bottom:dose3,policy,recent4,bottom,1,3,x0_relative_rms,paired_log_ratio,pooled,64,16,0.13753616619380918,0.09837128418111427,0.625,0.022720628380845098,0.25123879394038956,0.5235294117647059
policy:recent4:top>bottom:dose4,policy,recent4,bottom,1,4,x0_relative_rms,paired_log_ratio,noisy_t1000,32,16,0.45461721602159505,0.3876794337212891,0.84375,0.2760961865059976,0.6503908869447603,0.4441176470588235
policy:recent4:top>bottom:dose4,policy,recent4,bottom,1,4,x0_relative_rms,paired_log_ratio,noisy_t500,32,16,0.16868381080155692,0.1858120831291959,0.84375,0.08023794513556605,0.24735268964375318,0.411764705882353
policy:recent4:top>bottom:dose4,policy,recent4,bottom,1,4,x0_relative_rms,paired_log_ratio,pooled,64,16,0.311650513411576,0.25412859000554655,0.84375,0.1980269436888982,0.43386924426749074,0.4176470588235294
k:dose4>dose1:separation,k,key_shift,dose1,1,4,top_bottom_log_effect,dose4_minus_dose1_log_separation,noisy_t1000,32,16,-0.23804449608244993,-0.1858735607716252,0.3125,-0.384070136002142,-0.10150306342101133,-0.023529411764705882
k:dose4>dose1:separation,k,key_shift,dose1,1,4,top_bottom_log_effect,dose4_minus_dose1_log_separation,noisy_t500,32,16,-0.29303569683325426,-0.27907080555735414,0.09375,-0.37430961416670117,-0.21678248026406968,0.24705882352941175
k:dose4>dose1:separation,k,key_shift,dose1,1,4,top_bottom_log_effect,dose4_minus_dose1_log_separation,pooled,64,16,-0.26554009645785215,-0.2579969156932805,0.203125,-0.3638562539486108,-0.17778333898932733,0.049999999999999996
v:dose4>dose1:separation,v,value_shift,dose1,1,4,top_bottom_log_effect,dose4_minus_dose1_log_separation,noisy_t1000,32,16,0.3795995103279562,0.3557600285619428,0.84375,0.23483485473981944,0.5309804685669057,0.4176470588235294
v:dose4>dose1:separation,v,value_shift,dose1,1,4,top_bottom_log_effect,dose4_minus_dose1_log_separation,noisy_t500,32,16,0.378516015481976,0.36421470430057096,0.96875,0.2962200421001729,0.4690656965593536,0.2764705882352941
v:dose4>dose1:separation,v,value_shift,dose1,1,4,top_bottom_log_effect,dose4_minus_dose1_log_separation,pooled,64,16,0.3790577629049661,0.36300356901524644,0.90625,0.2736831980187162,0.49730795515508136,0.3294117647058824
policy:dose4>dose1:separation,policy,recent4,dose1,1,4,top_bottom_log_effect,dose4_minus_dose1_log_separation,noisy_t1000,32,16,0.5809197325486275,0.6595144957821037,0.90625,0.4349065097388183,0.7265921943404962,0.2323529411764706
policy:dose4>dose1:separation,policy,recent4,dose1,1,4,top_bottom_log_effect,dose4_minus_dose1_log_separation,noisy_t500,32,16,0.40978187842268865,0.42117073208883965,0.90625,0.3125367353372517,0.5054101864256695,0.25588235294117645
policy:dose4>dose1:separation,policy,recent4,dose1,1,4,top_bottom_log_effect,dose4_minus_dose1_log_separation,pooled,64,16,0.4953508054856581,0.49582241976002084,0.90625,0.3893746511584617,0.6044881827613134,0.23823529411764705
