comparison,channel,axis,policy,control,matched_intervention,dose,metric,effect_definition,context,unit_count,prompt_count,mean_effect,median_effect,positive_fraction,prompt_bootstrap_mean_ci_low,prompt_bootstrap_mean_ci_high,seed_replicate_spearman
susceptibility:v:value_shift:top>bottom:dose4,susceptibility,v,value_shift,bottom,1,4,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,32,16,0.22493655445850513,0.2362195799537823,1.0,0.20533383641598676,0.24349752014369433,0.31764705882352945
susceptibility:v:value_shift:top>bottom:dose4,susceptibility,v,value_shift,bottom,1,4,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,32,16,0.23291692234346348,0.24901593873852612,1.0,0.20929978737852784,0.2537418235254543,0.7235294117647059
susceptibility:v:value_shift:top>bottom:dose4,susceptibility,v,value_shift,bottom,1,4,mean_raw_projected_relative_rms,paired_log_ratio,pooled,64,16,0.22892673840098432,0.24288101225663508,1.0,0.20830694732971586,0.24805765807777158,0.5970588235294118
susceptibility:policy:policy_contrast:top>bottom:dose1,susceptibility,policy,policy_contrast,bottom,1,1,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,32,16,0.33407463810246574,0.33108843839947816,0.96875,0.2691142348398353,0.3960844498377812,0.5705882352941177
susceptibility:policy:policy_contrast:top>bottom:dose1,susceptibility,policy,policy_contrast,bottom,1,1,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,32,16,0.3998152186285307,0.4088955878709568,1.0,0.33058343542117435,0.4645638253601366,0.6323529411764706
susceptibility:policy:policy_contrast:top>bottom:dose1,susceptibility,policy,policy_contrast,bottom,1,1,mean_raw_projected_relative_rms,paired_log_ratio,pooled,64,16,0.36694492836549825,0.3798454164182199,0.984375,0.2992602224691713,0.4306540436541038,0.5941176470588235
susceptibility:policy:policy_contrast:top>bottom:dose2,susceptibility,policy,policy_contrast,bottom,1,2,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,32,16,0.2571513049891385,0.2785273882150652,0.96875,0.1957901641581918,0.3173399314423083,0.4941176470588235
susceptibility:policy:policy_contrast:top>bottom:dose2,susceptibility,policy,policy_contrast,bottom,1,2,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,32,16,0.3562614083417324,0.38011192038771524,1.0,0.29267549056221165,0.4174119561514678,0.5235294117647059
susceptibility:policy:policy_contrast:top>bottom:dose2,susceptibility,policy,policy_contrast,bottom,1,2,mean_raw_projected_relative_rms,paired_log_ratio,pooled,64,16,0.30670635666543544,0.3075878415258462,0.984375,0.2427280838508084,0.367635165709674,0.5205882352941177
susceptibility:policy:policy_contrast:top>bottom:dose3,susceptibility,policy,policy_contrast,bottom,1,3,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,32,16,0.19589884970081883,0.19152747193593123,0.9375,0.14987976039001494,0.24185720990790124,0.43529411764705883
susceptibility:policy:policy_contrast:top>bottom:dose3,susceptibility,policy,policy_contrast,bottom,1,3,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,32,16,0.2803373473710829,0.2760616038863809,1.0,0.22982671142004557,0.33103619245785165,0.5705882352941177
susceptibility:policy:policy_contrast:top>bottom:dose3,susceptibility,policy,policy_contrast,bottom,1,3,mean_raw_projected_relative_rms,paired_log_ratio,pooled,64,16,0.23811809853595087,0.24519595607366634,0.96875,0.19085575328618207,0.28483161965067644,0.5352941176470588
