probe_name,context,unit_count,selected_head_count,mean_x0_relative_rms,mean_raw_projected_relative_rms,mean_projected_relative_rms,mean_calibration_scale,max_calibration_relative_error,calibration_clipped_count,calibration_degenerate_count
k_bottom1_key_shift_cal,noisy_t1000,32,30,0.11013727751560509,0.017367895533611014,0.04986884601530619,18.10995954029883,1.0,1,2
k_bottom1_key_shift_cal,noisy_t500,32,30,0.049496209423523396,0.018481568400797482,0.04989540098164677,14.892418070727338,1.0,0,2
k_bottom2_key_shift_cal,noisy_t1000,32,60,0.13084397185593843,0.03178497499514681,0.050001041614450514,8.394433135911822,0.0057934969663619995,0,0
k_bottom2_key_shift_cal,noisy_t500,32,60,0.05192049074685201,0.03382744639381296,0.04999992216083531,7.530016494216397,0.005686730146408081,0,0
k_bottom3_key_shift_cal,noisy_t1000,32,90,0.13068085757549852,0.044404466994577285,0.05000204953054587,5.140776487796877,0.007066875696182251,0,0
k_bottom3_key_shift_cal,noisy_t500,32,90,0.053406573832035065,0.046829281938153146,0.05000649971188978,5.439779537916183,0.005977898836135864,0,0
k_bottom4_key_shift_cal,noisy_t1000,32,120,0.14184607728384435,0.05398422337396672,0.05001147876804074,3.7816877987080564,0.008495897054672241,0,0
k_bottom4_key_shift_cal,noisy_t500,32,120,0.05866762966616079,0.05705989391675151,0.05000635562464595,4.130209184298292,0.008906573057174683,0,0
k_top1_key_shift_cal,noisy_t1000,32,30,0.10459231189452112,0.04289727189752739,0.05000209237526482,3.245625072189917,0.0036096572875976562,0,0
k_top1_key_shift_cal,noisy_t500,32,30,0.049781199311837554,0.043727743001666874,0.05000026701018214,3.397925745664785,0.0030709803104400635,0,0
k_top2_key_shift_cal,noisy_t1000,32,60,0.12970822374336421,0.06363506071696368,0.05000343659970288,1.830752933040882,0.006675943732261658,0,0
k_top2_key_shift_cal,noisy_t500,32,60,0.05910419812425971,0.06607780387482004,0.050004002475179735,1.8914145401678981,0.006494671106338501,0,0
k_top3_key_shift_cal,noisy_t1000,32,90,0.13400967582128942,0.0772457486258645,0.05000246934747944,1.5720392466212312,0.007401183247566223,0,0
k_top3_key_shift_cal,noisy_t500,32,90,0.06042246206197888,0.07995331572844104,0.0500035397009924,1.6267803076499452,0.006488785147666931,0,0
k_top4_key_shift_cal,noisy_t1000,32,120,0.1459340766305104,0.09067096355841689,0.050006639189086856,1.3087676330469549,0.006973817944526672,0,0
k_top4_key_shift_cal,noisy_t500,32,120,0.06385550985578448,0.09413736766606841,0.05000569613572831,1.4004806922438244,0.008384734392166138,0,0
