method,dynamic_degree,motion_smoothness,overall_consistency,imaging_quality,aesthetic_quality,quality_score,semantic_score,total_score
sf_native,64.16666666666667,98.21834467437299,23.314183177426457,68.91360936909913,61.62859880675872,83.04653102597767,,
ours_qk_top4_reservoir4,72.5,98.16599735639116,23.82421828340739,70.6719378794233,61.660615553458534,83.78914076773172,,
ours_qk_bottom4_reservoir4_control,76.25,97.9892998598047,23.740890476231773,71.49371659954389,61.9651693602403,84.0096209793769,,
ours_qk_random4_reservoir4_control,70.83333333333334,98.30767925112646,23.794058980420232,71.09285818239053,62.1672606592377,83.901957911116,,
ours_all_reservoir4_control,83.33333333333334,97.70828578021494,24.141877498477697,69.68356855263313,61.82404876997073,83.71758487559566,,
ours_qk_top4_prototype4_reference,67.91666666666667,98.17457260793013,23.16577741100142,69.57946469982465,62.20214329659939,83.42230063808135,,
ours_all_recent8_reference,73.33333333333333,97.95980372744903,23.086967514827847,70.79033275917172,61.96842184911172,83.60007118280086,,
