layer,head,cphi_semantic,cphi_semantic_samples,cphi_null,cphi_null_samples,cphi_score,cphi_score_samples,age_js_semantic,age_js_semantic_samples,age_js_null,age_js_null_samples,age_js_score,age_js_score_samples,age_w1_semantic,age_w1_semantic_samples,age_w1_null,age_w1_null_samples,age_w1_score,age_w1_score_samples,semantic_expected_age_delta,semantic_expected_age_delta_samples,null_expected_age_delta,null_expected_age_delta_samples,native_score,native_score_samples,query_score,query_score_samples,current_key_score,current_key_score_samples,cphi_to_query_ratio,cphi_to_query_ratio_samples,temporal_reach_ratio,temporal_reach_ratio_samples,expected_age,expected_age_samples,normalized_expected_age,normalized_expected_age_samples,recent_mass,recent_mass_samples,old_mass,old_mass_samples,old12_mass,old12_mass_samples,old_mass_excess,old_mass_excess_samples,temporal_entropy,temporal_entropy_samples,peak_age,peak_age_samples,positive_logit_fraction,positive_logit_fraction_samples,sign_switch_rate,sign_switch_rate_samples,dominant_period,dominant_period_samples,spectral_peak_ratio,spectral_peak_ratio_samples,middle_recent_margin,middle_recent_margin_samples,age_logit_correlation,age_logit_correlation_samples,cphi_score_bootstrap_low,cphi_score_bootstrap_high,cphi_score_bootstrap_p_positive,cphi_score_bootstrap_confidence,cphi_score_cluster_count,age_js_score_bootstrap_low,age_js_score_bootstrap_high,age_js_score_bootstrap_p_positive,age_js_score_bootstrap_confidence,age_js_score_cluster_count,age_w1_score_bootstrap_low,age_w1_score_bootstrap_high,age_w1_score_bootstrap_p_positive,age_w1_score_bootstrap_confidence,age_w1_score_cluster_count,middle_recent_margin_bootstrap_low,middle_recent_margin_bootstrap_high,middle_recent_margin_bootstrap_p_positive,middle_recent_margin_bootstrap_confidence,middle_recent_margin_cluster_count,old_mass_excess_bootstrap_low,old_mass_excess_bootstrap_high,old_mass_excess_bootstrap_p_positive,old_mass_excess_bootstrap_confidence,old_mass_excess_cluster_count,prompt_label,age_routing_label,history_polarity_label,long_range_label,exploratory_joint_role,prompt_age_label_agreement,history_axis_label_agreement
0,0,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.15705819427967072,128,6.396334886550903,128,0.35535193979740143,128,0.4206687659025192,128,0.579331248998642,128,0.11817636713385582,128,-0.19844654202461243,128,0.9254174530506134,128,1.0,128,0.7777777910232544,128,0.11764705926179886,128,18.0,128,0.7560691833496094,128,-1.4915801286697388,128,-0.8920149505138397,128,0.0,0.0,0.0,1.0,16,0.0,0.0,0.0,1.0,16,0.0,0.0,0.0,1.0,16,-1.5032973289489746,-1.4686064928770066,0.0,1.0,128,-0.20254087448120117,-0.195306658744812,0.0,1.0,128,prompt_invariant,age_invariant,recent_preferred,local_or_mixed,invariant_local,1,1
0,1,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.1542467102408409,128,3.672021985054016,128,0.20400122553110123,128,0.7866576313972473,128,0.2133423537015915,128,0.10702896490693092,128,-0.5644354522228241,128,0.6049472987651825,128,1.0,128,1.0,128,0.0,128,18.0,128,0.7050056159496307,128,-1.8810848593711853,128,-0.5653751790523529,128,0.0,0.0,0.0,1.0,16,0.0,0.0,0.0,1.0,16,0.0,0.0,0.0,1.0,16,-1.8960294723510742,-1.8622990846633911,0.0,1.0,128,-0.5675557851791382,-0.5586363077163696,0.0,1.0,128,prompt_invariant,age_invariant,recent_preferred,local_or_mixed,invariant_local,1,1
0,2,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.18881145119667053,128,9.67486047744751,128,0.5374922454357147,128,0.2229732796549797,128,0.7770267426967621,128,0.35388535261154175,128,-0.0007510483264923096,128,0.9972691833972931,128,18.0,128,1.0,128,0.0,128,18.0,128,0.5039971768856049,128,-0.08218110352754593,128,0.29159629344940186,128,0.0,0.0,0.0,1.0,16,0.0,0.0,0.0,1.0,16,0.0,0.0,0.0,1.0,16,-0.23324096202850342,0.010697145946323872,0.054,0.946,128,-0.002971357107162475,0.0011121630668640137,0.216,0.784,128,prompt_invariant,age_invariant,recent_preferred,local_or_mixed,invariant_local,1,1
0,3,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.17728488147258759,128,9.460205554962158,128,0.525566965341568,128,0.2237396314740181,128,0.7762604355812073,128,0.32886743545532227,128,-0.0015173554420471191,128,0.9993071258068085,128,9.0,128,1.0,128,0.0,128,18.0,128,0.45555949211120605,128,-0.1863335371017456,128,-0.15810082107782364,128,0.0,0.0,0.0,1.0,16,0.0,0.0,0.0,1.0,16,0.0,0.0,0.0,1.0,16,-0.27137142419815063,-0.04273426532745361,0.003,0.997,128,-0.0026313066482543945,-0.00037300586700439453,0.002,0.998,128,prompt_invariant,age_invariant,recent_preferred,local_or_mixed,invariant_local,1,1
0,4,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.4332268238067627,128,13.452568531036377,128,0.7473649382591248,128,0.06894344091415405,128,0.931056559085846,128,0.5911832451820374,128,0.15327876806259155,128,0.6546280682086945,128,18.0,128,1.0,128,0.0,128,6.0,128,0.8377103507518768,128,0.31397609412670135,128,0.09177712351083755,128,0.0,0.0,0.0,1.0,16,0.0,0.0,0.0,1.0,16,0.0,0.0,0.0,1.0,16,0.3110736906528473,0.31831789016723633,1.0,1.0,128,0.15093237161636353,0.1550472378730774,1.0,1.0,128,prompt_invariant,age_invariant,history_supportive,long_range,invariant_long,1,1
0,5,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.5009419918060303,128,14.676677227020264,128,0.8153709471225739,128,0.030393579974770546,128,0.9696064293384552,128,0.6315247714519501,128,0.1918286383152008,128,0.6054271161556244,128,18.0,128,1.0,128,0.0,128,6.0,128,0.7582379579544067,128,0.8514647483825684,128,0.4700338542461395,128,0.0,0.0,0.0,1.0,16,0.0,0.0,0.0,1.0,16,0.0,0.0,0.0,1.0,16,0.8420532941818237,0.8575954437255859,1.0,1.0,128,0.19062435626983643,0.1932523250579834,1.0,1.0,128,prompt_invariant,age_invariant,history_supportive,long_range,invariant_long,1,1
0,6,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.4525351971387863,128,10.177217483520508,128,0.5654009878635406,128,0.1954524964094162,128,0.8045474886894226,128,0.3959227651357651,128,0.026769697666168213,128,0.7016188502311707,128,18.0,128,1.0,128,0.0,128,6.0,128,0.6349425911903381,128,-0.13633907586336136,128,-0.2102593034505844,128,0.0,0.0,0.0,1.0,16,0.0,0.0,0.0,1.0,16,0.0,0.0,0.0,1.0,16,-0.15811148285865784,-0.11756210774183273,0.0,1.0,128,0.02356201410293579,0.029646217823028564,1.0,1.0,128,prompt_invariant,age_invariant,recent_preferred,local_or_mixed,invariant_local,1,0
0,7,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.3423035442829132,128,8.974449157714844,128,0.4985805004835129,128,0.2758568078279495,128,0.7241432070732117,128,0.2840827703475952,128,-0.053634583950042725,128,0.9539538323879242,128,5.0,128,1.0,128,0.0,128,6.0,128,0.628528892993927,128,-0.6956060230731964,128,-0.21872984617948532,128,0.0,0.0,0.0,1.0,16,0.0,0.0,0.0,1.0,16,0.0,0.0,0.0,1.0,16,-0.7253988981246948,-0.667332112789154,0.0,1.0,128,-0.057558655738830566,-0.047766804695129395,0.0,1.0,128,prompt_invariant,age_invariant,recent_preferred,local_or_mixed,invariant_local,1,1
0,8,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.1847568228840828,128,9.46697998046875,128,0.5259433388710022,128,0.22501450031995773,128,0.7749854922294617,128,0.3318531960248947,128,-0.0027922987937927246,128,0.9995124936103821,128,8.0,128,1.0,128,0.0,128,18.0,128,0.4252668619155884,128,-0.4257145822048187,128,-0.17502977699041367,128,0.0,0.0,0.0,1.0,16,0.0,0.0,0.0,1.0,16,0.0,0.0,0.0,1.0,16,-0.522157609462738,-0.21723105013370514,0.0,1.0,128,-0.0036619901657104492,-0.00176316499710083,0.0,1.0,128,prompt_invariant,age_invariant,recent_preferred,local_or_mixed,invariant_local,1,1
0,9,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.0,128,0.2821796387434006,128,10.248165130615234,128,0.5693424940109253,128,0.23227392882108688,128,0.7677260935306549,128,0.4237976223230362,128,-0.010051697492599487,128,0.9759588241577148,128,18.0,128,0.6111111044883728,128,0.11764705926179886,128,18.0,128,0.6380380094051361,128,-0.3092459440231323,128,0.31659430265426636,128,0.0,0.0,0.0,1.0,16,0.0,0.0,0.0,1.0,16,0.0,0.0,0.0,1.0,16,-0.38199475407600403,-0.2786760926246643,0.0,1.0,128,-0.013913869857788086,-0.0065819621086120605,0.0,1.0,128,prompt_invariant,age_invariant,recent_preferred,local_or_mixed,invariant_local,1,1
