job_id,layer,head,cphi_semantic,cphi_semantic_samples,cphi_null,cphi_null_samples,cphi_score,cphi_score_samples,age_js_semantic,age_js_semantic_samples,age_js_null,age_js_null_samples,age_js_score,age_js_score_samples,age_w1_semantic,age_w1_semantic_samples,age_w1_null,age_w1_null_samples,age_w1_score,age_w1_score_samples,semantic_expected_age_delta,semantic_expected_age_delta_samples,null_expected_age_delta,null_expected_age_delta_samples,native_score,native_score_samples,query_score,query_score_samples,current_key_score,current_key_score_samples,cphi_to_query_ratio,cphi_to_query_ratio_samples,temporal_reach_ratio,temporal_reach_ratio_samples
cf_00_action,0,0,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.1212533637881279,23
cf_00_action,0,1,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.1534382402896881,23
cf_00_action,0,2,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.14503060281276703,23
cf_00_action,0,3,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.08950303494930267,23
cf_00_action,0,4,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.3979490399360657,23
cf_00_action,0,5,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.4548923671245575,23
cf_00_action,0,6,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.4401939809322357,23
cf_00_action,0,7,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.37234845757484436,23
cf_00_action,0,8,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.1284916251897812,23
cf_00_action,0,9,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.22974511981010437,23
cf_00_action,0,10,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.23295649886131287,23
cf_00_action,0,11,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.3799826502799988,23
cf_00_action,1,0,0.004911824129521847,23,0.004489202052354813,23,0.0007628717385785706,23,0.0001535927876830101,23,1.2268021237105131e-05,23,0.8702479383295397,23,0.00676229503005743,23,0.0010070607531815767,23,1.8409149873779413,23,0.1149587631225586,23,-0.0019812583923339844,23,0.12116934194647187,23,0.1316203165753306,23,0.13805553535701576,23,0.4925299128887319,23,0.2002684473991394,23
cf_00_action,1,1,0.006063187960535288,23,0.00418012123554945,23,0.430467648589899,23,1.0091243893839419e-05,23,6.349233444780111e-06,23,0.05057984527937933,23,0.0008994744275696576,23,0.0011216928251087666,23,0.03111416420382396,23,0.009122848510742188,23,-0.0023260116577148438,23,0.15024840627758396,23,0.3897741442520583,23,0.12913880967870162,23,0.42835870613093174,23,0.2143692821264267,23
cf_00_action,1,2,0.017193036153912544,23,0.01698998361825943,23,-0.08020159465908215,23,0.00011333954171277583,23,4.9749447498470545e-05,23,0.3396231916192979,23,0.006311311386525631,23,0.0052865175530314445,23,0.16677228349281356,23,0.10729217529296875,23,0.08987140655517578,23,0.3500681325740122,23,0.25364710787957145,23,0.43385989239112704,23,1.3534668442599391,23,0.22201991081237793,23
