job_id,layer,head,temporal_reach_ratio,temporal_reach_ratio_samples,expected_age,expected_age_samples,normalized_expected_age,normalized_expected_age_samples,recent_mass,recent_mass_samples,old_mass,old_mass_samples,old12_mass,old12_mass_samples,old_mass_excess,old_mass_excess_samples,temporal_entropy,temporal_entropy_samples,peak_age,peak_age_samples,positive_logit_fraction,positive_logit_fraction_samples,sign_switch_rate,sign_switch_rate_samples,dominant_period,dominant_period_samples,spectral_peak_ratio,spectral_peak_ratio_samples,middle_recent_margin,middle_recent_margin_samples,age_logit_correlation,age_logit_correlation_samples
moviebench_qwen_000,0,0,0.17921900749206543,23,6.314937591552734,23,0.3508298695087433,23,0.43758535385131836,23,0.5624146461486816,23,0.113989919424057,23,-0.21536314487457275,23,0.9261159300804138,23,1.0,23,0.8333333134651184,23,0.11764705926179886,23,18.0,23,0.7106974720954895,23,-1.5373834371566772,23,-0.9077146649360657,23
moviebench_qwen_000,0,1,0.26496610045433044,23,3.491122007369995,23,0.19395121932029724,23,0.7990584373474121,23,0.20094159245491028,23,0.09731084853410721,23,-0.5768362283706665,23,0.5717721581459045,23,1.0,23,1.0,23,0.0,23,18.0,23,0.7013569474220276,23,-1.9205328226089478,23,-0.5723636746406555,23
moviebench_qwen_000,0,2,0.19963975250720978,23,10.033113479614258,23,0.5573952198028564,23,0.20024412870407104,23,0.799755871295929,23,0.37109375,23,0.02197808027267456,23,0.9951805472373962,23,18.0,23,1.0,23,0.0,23,9.0,23,0.44982874393463135,23,0.6725850701332092,23,0.5816413760185242,23
moviebench_qwen_000,0,3,0.20277565717697144,23,9.91482162475586,23,0.550823450088501,23,0.1953125,23,0.8046875,23,0.3655366003513336,23,0.026909708976745605,23,0.9974895715713501,23,15.0,23,1.0,23,0.0,23,18.0,23,0.5277665257453918,23,1.4190460443496704,23,0.7410140037536621,23
moviebench_qwen_000,0,4,0.5983675718307495,23,13.500473022460938,23,0.750026285648346,23,0.06717445701360703,23,0.9328255653381348,23,0.5966769456863403,23,0.15504777431488037,23,0.6585175395011902,23,18.0,23,1.0,23,0.0,23,6.0,23,0.86800616979599,23,0.34912121295928955,23,0.1168244257569313,23
moviebench_qwen_000,0,5,0.7339804768562317,23,14.749994277954102,23,0.8194441199302673,23,0.031024210155010223,23,0.9689759016036987,23,0.6436333060264587,23,0.19119811058044434,23,0.6005668044090271,23,18.0,23,1.0,23,0.0,23,6.0,23,0.764552652835846,23,0.856646716594696,23,0.4643523395061493,23
moviebench_qwen_000,0,6,0.6309129595756531,23,9.871788024902344,23,0.5484326481819153,23,0.2066558301448822,23,0.7933441996574402,23,0.3918320834636688,23,0.015566408634185791,23,0.6914922595024109,23,18.0,23,1.0,23,0.0,23,6.0,23,0.5996783971786499,23,-0.14038410782814026,23,-0.23786506056785583,23
moviebench_qwen_000,0,7,0.558432936668396,23,8.92053508758545,23,0.49558529257774353,23,0.2780435383319855,23,0.7219564914703369,23,0.28227001428604126,23,-0.05582129955291748,23,0.9542035460472107,23,5.0,23,1.0,23,0.0,23,6.0,23,0.5996660590171814,23,-0.7134540677070618,23,-0.24347606301307678,23
moviebench_qwen_000,0,8,0.22349867224693298,23,9.644012451171875,23,0.5357784628868103,23,0.205474853515625,23,0.794525146484375,23,0.3385009765625,23,0.016747355461120605,23,0.9980227947235107,23,9.0,23,1.0,23,0.0,23,9.0,23,0.40318846702575684,23,1.0800397396087646,23,0.3137638568878174,23
moviebench_qwen_000,0,9,0.2468516230583191,23,10.021846771240234,23,0.5567692518234253,23,0.2507171034812927,23,0.7492828965187073,23,0.41749054193496704,23,-0.02849489450454712,23,0.9763991236686707,23,18.0,23,1.0,23,0.0,23,18.0,23,0.7054005861282349,23,-0.6585888862609863,23,0.14750126004219055,23
