method,prompt_index,sample_index,video,decoded_frames,retained_frames,fps,duration_seconds,appearance_delta_mean,appearance_delta_median,appearance_delta_p95,appearance_delta_max,flow_speed_mean,flow_speed_median,flow_speed_p95,flow_speed_max,flow_accel_mean,flow_accel_median,flow_accel_p95,flow_accel_max,motion_floor,motion_coverage_fraction,low_motion_fraction,longest_low_motion_run_fraction,late_motion_median,earlier_motion_median,late_motion_ratio,luma_mean,luma_median,luma_p95,luma_max,luma_contrast_mean,luma_contrast_median,luma_contrast_p95,luma_contrast_max,edge_density_mean,edge_density_median,edge_density_p95,edge_density_max,dark_frame_fraction,bright_frame_fraction,low_contrast_frame_fraction,edge_density_outlier_fraction,appearance_jump_ratio,flow_jump_ratio,appearance_outlier_fraction,flow_accel_outlier_fraction,temporal_jump
ours_middle10_reservoir2_directionmatch1,0,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v168_cross_scale_consensus_moviebench16/full8/published_indexed/ours_middle10_reservoir2_directionmatch1/000000-0_v168.mp4,477,239,16.0,29.8125,0.05964443839584353,0.06087782990698721,0.08278617597093767,0.09546061497108609,0.8865587175393305,0.8433770537376404,1.532337951660156,1.867569923400879,0.15630466852510025,0.10879826545715332,0.4326035499572753,0.9235073328018188,0.08433770537376405,1.0,0.0,0.0,0.7716298699378967,0.8788585960865021,0.8779909229697614,0.319750914145979,0.3209034057034976,0.3748091795839958,0.39070418074324326,0.28413988415075253,0.2897917304110836,0.32325528992859043,0.333951028151807,0.16154340385757093,0.16266364020270271,0.1886692356418919,0.19467905405405406,0.0,0.0,0.0,0.0,1.359873965570444,0.5129420441783215,0.03361344537815126,0.10126582278481013,0.9364080048743827
ours_middle10_reservoir2_directionmatch1,1,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v168_cross_scale_consensus_moviebench16/full8/published_indexed/ours_middle10_reservoir2_directionmatch1/000001-0_v168.mp4,477,239,16.0,29.8125,0.025603377557818316,0.024912487291822247,0.03774193464540965,0.045493425107469745,0.5548105046716558,0.5629603862762451,0.9941894620656963,1.2285020351409912,0.11300995229165765,0.07572275400161743,0.3185354590415952,0.6108530759811401,0.056296038627624514,1.0,0.0,0.0,0.6995150446891785,0.48303307592868805,1.448172142962008,0.38014742650176947,0.3652246456014838,0.5025338355359036,0.5077295931041336,0.24801025505384866,0.24817945598809749,0.25606668325042986,0.2580829168693372,0.11431402309736516,0.11317567567567567,0.14821843327702702,0.15197423986486486,0.0,0.0,0.0,0.1297071129707113,1.51498058798002,0.5658221551761008,0.05042016806722689,0.15611814345991562,1.0404013715780605
ours_middle10_reservoir2_directionmatch1,2,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v168_cross_scale_consensus_moviebench16/full8/published_indexed/ours_middle10_reservoir2_directionmatch1/000002-0_v168.mp4,477,239,16.0,29.8125,0.01250299683000606,0.011304422453338025,0.022906456274144785,0.03156837762570849,0.11467267632359217,0.09962882474064827,0.23193404003977772,0.26182302832603455,0.027742353735593805,0.02029724419116974,0.08296163976192467,0.16496196389198303,0.02,1.0,0.0,0.0,0.17318350821733475,0.08770360052585602,1.9746453643745023,0.2820865953192455,0.28381690514043456,0.30824614136195017,0.3161571152954425,0.25528253490849445,0.25935107993914913,0.27387105811364215,0.27882361404211703,0.08936590470569943,0.08934227195945946,0.11109058277027027,0.11515519425675676,0.0,0.0,0.0,0.0,2.0263269856286072,0.8327072007312012,0.08823529411764706,0.08438818565400844,1.4295170931799042
ours_middle10_reservoir2_directionmatch1,3,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v168_cross_scale_consensus_moviebench16/full8/published_indexed/ours_middle10_reservoir2_directionmatch1/000003-0_v168.mp4,477,239,16.0,29.8125,0.024823513940838503,0.02400842928418926,0.03698292395647832,0.04576357299206304,0.33718376027561037,0.3149755001068115,0.6263624042272565,0.9718920588493347,0.06936516678785976,0.0479530394077301,0.20121536254882805,0.44343307614326477,0.031497550010681157,1.0,0.0,0.0,0.34634481370449066,0.30134719610214233,1.1493215074982688,0.40341731416147264,0.397416327172761,0.44995304012652354,0.45689969611155273,0.26675838476949293,0.2655870326826339,0.2750365754260229,0.2790022226072348,0.12752472824550495,0.12674197635135134,0.13817303631756755,0.14384501689189189,0.0,0.0,0.0,0.012552301255230125,1.5404141403300136,0.6388286151798911,0.06722689075630252,0.10548523206751055,1.0896213777549524
ours_middle10_reservoir2_directionmatch1,4,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v168_cross_scale_consensus_moviebench16/full8/published_indexed/ours_middle10_reservoir2_directionmatch1/000004-0_v168.mp4,477,239,16.0,29.8125,0.04839471367442994,0.04083092072430779,0.11526882695216759,0.14814789715935203,0.6172674415993089,0.5081492364406586,1.6815316140651697,3.1162071228027344,0.1485614722539604,0.05947084724903107,0.516751557588577,2.3422574400901794,0.05081492364406586,1.0,0.0,0.0,0.34660835564136505,0.5700829029083252,0.6079964052124942,0.3489625155109114,0.35796930892289347,0.4284871509837043,0.45363206726947536,0.25164985793996897,0.25400754536324993,0.26404460284944375,0.2683957863244761,0.15153626102567003,0.1555373733108108,0.17629064611486486,0.17934438344594594,0.0,0.0,0.0,0.0,2.8230768473350842,1.0169287298514382,0.13445378151260504,0.22362869198312235,1.9200027885932611
ours_middle10_reservoir2_directionmatch1,5,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v168_cross_scale_consensus_moviebench16/full8/published_indexed/ours_middle10_reservoir2_directionmatch1/000005-0_v168.mp4,477,239,16.0,29.8125,0.023290507521183845,0.021071392882104013,0.04262979470047296,0.053566756902956494,0.22907653489314458,0.13005591928958893,0.6209412723779677,0.799014687538147,0.03785378863162632,0.02402862161397934,0.13121107816696154,0.26027780771255493,0.02,1.0,0.0,0.0,0.12630145251750946,0.1416790783405304,0.8914615622635524,0.2207361147027227,0.218530053490991,0.24360576684220986,0.25757640682962374,0.22783002578572473,0.22909685544013264,0.24434993332663923,0.24992005386837574,0.17006974531409022,0.17699535472972974,0.1874049831081081,0.19182854729729729,0.0,0.0,0.0,0.0041841004184100415,2.023112327646767,1.008882016933043,0.0546218487394958,0.14767932489451477,1.515997172289905
ours_middle10_reservoir2_directionmatch1,6,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v168_cross_scale_consensus_moviebench16/full8/published_indexed/ours_middle10_reservoir2_directionmatch1/000006-0_v168.mp4,477,239,16.0,29.8125,0.04105114164885117,0.04026283937342026,0.06431415969250248,0.07348439085717294,1.2357508150093697,0.9252567887306213,2.8408114314079262,4.5380401611328125,0.1738315897400369,0.09121716022491455,0.6739370346069334,1.6829643249511719,0.09252567887306214,1.0,0.0,0.0,1.7322496175765991,0.8869500160217285,1.9530408549360265,0.3189365297971643,0.3033290068561208,0.40468231443759933,0.42204495396131425,0.26923528683270576,0.2705112227404748,0.2866853601360993,0.2937445455490839,0.1264326524157526,0.12201752533783784,0.15720016891891891,0.16583086993243243,0.0,0.0,0.0,0.12552301255230125,1.5973577793661475,0.7283783732422233,0.07563025210084033,0.14345991561181434,1.1628680763041854
ours_middle10_reservoir2_directionmatch1,7,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v168_cross_scale_consensus_moviebench16/full8/published_indexed/ours_middle10_reservoir2_directionmatch1/000007-0_v168.mp4,477,239,16.0,29.8125,0.09849928239755448,0.09590480280857461,0.16036057341332524,0.19662337957643994,3.2893430713345024,2.485174775123596,8.87000775337219,13.662210464477539,0.6129867094981519,0.36590123176574707,1.9808347702026348,5.6525397300720215,0.24851747751235964,1.0,0.0,0.0,1.1419637799263,2.6337000131607056,0.4335967552188407,0.3813983254729009,0.3928570689255432,0.45130091373542663,0.4871600920773715,0.28257423777142465,0.28782797245659986,0.3004023352125794,0.30363930050653726,0.1645075465763881,0.16313872466216217,0.18969594594594594,0.20278188344594594,0.0,0.0,0.0,0.029288702928870293,1.6720807375351572,0.7970605488316697,0.05042016806722689,0.1308016877637131,1.2345706431834134
ours_middle10_reservoir2_directionmatch1,8,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v168_cross_scale_consensus_moviebench16/full8/published_indexed/ours_middle10_reservoir2_directionmatch1/000008-0_v168.mp4,477,239,16.0,29.8125,0.08184503241649156,0.08180535260368796,0.10791064617680567,0.12492992924708946,4.091375248772757,3.8748353719711304,6.764413762092589,9.345767974853516,1.4337347977272066,1.1833117008209229,3.994911003112793,6.580570459365845,0.38748353719711304,1.0,0.0,0.0,3.994607925415039,3.7778279781341553,1.0573821647082908,0.3320476335518234,0.32988012138977213,0.3745224417892157,0.4031306927331743,0.23333519991915763,0.23418074458539376,0.2600998106531042,0.26959280777576244,0.09359793321695126,0.09282622466216216,0.11708192567567567,0.13922614020270271,0.0,0.0,0.0,0.05439330543933055,1.3191147368997567,1.0309885761883555,0.01680672268907563,0.08438818565400844,1.175051656544056
ours_middle10_reservoir2_directionmatch1,9,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v168_cross_scale_consensus_moviebench16/full8/published_indexed/ours_middle10_reservoir2_directionmatch1/000009-0_v168.mp4,477,239,16.0,29.8125,0.08332470389287737,0.08066090602500767,0.11553717669318703,0.16346052581188725,2.0501691050389232,1.90023672580719,3.488531923294065,7.018032073974609,0.672956315273977,0.4393119812011719,1.8694159746170027,4.583266258239746,0.190023672580719,1.0,0.0,0.0,1.6940048933029175,2.003990650177002,0.8453157668940695,0.33346573950773617,0.33041213318097507,0.37408368731783254,0.3850153807299947,0.3095229651048697,0.3159745773986883,0.3285918866494134,0.3416135198543177,0.14716619077236232,0.14632601351351351,0.1650997677364865,0.18325063344594594,0.0,0.0,0.0,0.058577405857740586,1.4323813404397727,0.9837805728246332,0.046218487394957986,0.13924050632911392,1.208080956632203
