candidate,control,metric,window,mean_delta,ci_low,ci_high,win_fraction
fifo_correct,sf_fifo21,imaging_quality,full,-0.0012086770170264803,-0.006276735827482011,0.0045746145747084625,0.4583333333333333
fifo_correct,fifo_random,imaging_quality,full,-0.0009696140396926166,-0.004340061489037365,0.0022514424772519066,0.5625
fifo_correct,sf_fifo21,official_quality_score,full,-0.11486036389433292,-0.38399179100112957,0.14924041788578107,0.4791666666666667
fifo_correct,fifo_random,official_quality_score,full,-0.14055651064958763,-0.3385942588698326,0.04746280398777031,0.4791666666666667
fifo_correct,sf_fifo21,subject_consistency,late_half,-0.0003922182095353194,-0.0025712314141789145,0.0015705237019820733,0.5208333333333334
fifo_correct,fifo_random,subject_consistency,late_half,-0.0011679194189385862,-0.003134884526770181,0.0005937002393881471,0.4375
headwise_correct,sf_fifo21,imaging_quality,full,0.0043578296328584355,-0.0025714499882111956,0.012182771025370397,0.4791666666666667
headwise_correct,fifo_random,imaging_quality,full,0.004596892610192299,0.00042908155284822634,0.009109227478566274,0.6041666666666666
headwise_correct,sf_fifo21,official_quality_score,full,-0.0007274729690358583,-0.22914826971727686,0.21625212823320908,0.625
headwise_correct,fifo_random,official_quality_score,full,-0.026423619724290564,-0.24437077192616913,0.17507031346951174,0.6041666666666666
headwise_correct,sf_fifo21,subject_consistency,late_half,0.0010902392103622576,-0.0009881467037120041,0.0031174599865592336,0.5625
headwise_correct,fifo_random,subject_consistency,late_half,0.0003145380009589906,-0.001228225525990468,0.001698468315149758,0.6041666666666666
centered_correct,sf_fifo21,imaging_quality,full,0.0012703058334688326,-0.0062453844659030614,0.010087664909567685,0.5
centered_correct,fifo_random,imaging_quality,full,0.0015093688108026963,-0.0026824232288739755,0.0059087614252025,0.5208333333333334
centered_correct,sf_fifo21,official_quality_score,full,-0.11124800145039011,-0.3262652946733995,0.06869021352694313,0.4583333333333333
centered_correct,fifo_random,official_quality_score,full,-0.13694414820564482,-0.2900752321478571,0.0065785212311296115,0.4166666666666667
centered_correct,sf_fifo21,subject_consistency,late_half,0.0003395023854742436,-0.001602464458592994,0.0020428296171443594,0.5208333333333334
centered_correct,fifo_random,subject_consistency,late_half,-0.0004361988239290233,-0.0023166920656716226,0.0009561337818267077,0.5
fifo_full_a002,sf_fifo21,imaging_quality,full,0.0014821770605113898,-0.004009241025211899,0.006918689480982738,0.5833333333333334
fifo_full_a002,fifo_full_random,imaging_quality,full,-0.0021558762619064884,-0.006888965988231625,0.002492007056116666,0.5
fifo_full_a002,sf_fifo21,official_quality_score,full,0.04584199511953546,-0.2164377967935299,0.29573662757962227,0.6041666666666666
fifo_full_a002,fifo_full_random,official_quality_score,full,-0.07737882385813737,-0.30005559800349274,0.14540500495796546,0.4375
fifo_full_a002,sf_fifo21,subject_consistency,late_half,-5.4922410691419605e-06,-0.0020259565282085903,0.001955839724439989,0.5
fifo_full_a002,fifo_full_random,subject_consistency,late_half,-0.002924186677812933,-0.005389198159168647,-0.0007543241985862574,0.4583333333333333
