family_index,family_split,variant,layer,head,q_shift_seed0,q_shift_seed1,q_shift_mean,q_shift_seed_gap,k_shift_seed0,k_shift_seed1,k_shift_mean,k_shift_seed_gap,v_shift_seed0,v_shift_seed1,v_shift_mean,v_shift_seed_gap,value_scale_shift_seed0,value_scale_shift_seed1,value_scale_shift_mean,value_scale_shift_seed_gap,policy_shift_seed0,policy_shift_seed1,policy_shift_mean,policy_shift_seed_gap,q_delta_seed_cosine,q_delta_cross_factor_cosine,q_delta_specificity_margin,k_delta_seed_cosine,k_delta_cross_factor_cosine,k_delta_specificity_margin,v_delta_seed_cosine,v_delta_cross_factor_cosine,v_delta_specificity_margin
0,discovery,paraphrase,0,0,0.000469893217086792,0.0008556544780731201,0.0006627738475799561,0.0003857612609863281,0.13007685542106628,0.16969314217567444,0.14988499879837036,0.039616286754608154,0.717166930437088,0.6883217990398407,0.7027443647384644,0.028845131397247314,0.2444819062948227,0.20525168627500534,0.22486679628491402,0.03923022001981735,0.04561387002468109,0.05116289108991623,0.04838838055729866,0.005584590137004852,0.1799044143408537,0.273944154381752,0.024717144668102264,-0.23069853335618973,0.09081777557730675,-0.3215163089334965,-0.20957715064287186,0.10098370909690857,-0.3105608597397804
0,discovery,paraphrase,0,1,0.0010020732879638672,0.001433342695236206,0.0012177079916000366,0.00043126940727233887,0.009288668632507324,0.010518252849578857,0.00990346074104309,0.0020051002502441406,0.7416922152042389,0.6155119836330414,0.6786020994186401,0.1261802315711975,0.11090866476297379,0.12840547785162926,0.11965707130730152,0.017496813088655472,0.04686417430639267,0.027801577001810074,0.04136061668395996,0.0371891763061285,0.033707261085510254,0.2271384336054325,-0.1310809627175331,-0.030120693147182465,0.06302729621529579,-0.09314798936247826,-0.16830936865881085,-0.17537253350019455,0.007063164841383696
0,discovery,paraphrase,0,2,0.0003794431686401367,0.0006512999534606934,0.000515371561050415,0.00027185678482055664,0.44301295280456543,0.5688162744045258,0.5059146136045456,0.12580332159996033,0.6864472329616547,0.8432438671588898,0.7648455500602722,0.1567966341972351,0.2807271257042885,0.22895298153162003,0.25484005361795425,0.05177414417266846,0.11415738239884377,0.024299979209899902,0.08267984911799431,0.059599269181489944,0.17408359050750732,0.23150552064180374,0.08080835221335292,-0.10188717988785356,-0.10857333615422249,0.006686156266368926,-0.197143642231822,-0.08313637226819992,-0.1140072699636221
0,discovery,paraphrase,0,3,0.00041159987449645996,0.0008335709571838379,0.0006225854158401489,0.00042197108268737793,0.6169087290763855,0.5951150953769684,0.6060119122266769,0.06566330790519714,0.7826608419418335,0.7944515943527222,0.7885562181472778,0.10674148797988892,0.2912793308496475,0.264465369284153,0.27787235006690025,0.026813961565494537,0.0753638818860054,0.1087682843208313,0.09311404637992382,0.04449675977230072,0.25069476664066315,0.07755469158291817,0.0860337670892477,-0.18938486359547824,-0.19592947512865067,0.006544611533172429,-0.22344479151070118,0.08744756691157818,-0.31089235842227936
0,discovery,paraphrase,0,4,0.0005121529102325439,0.0005156099796295166,0.0005138814449310303,9.113550186157227e-05,0.006467193365097046,0.00566217303276062,0.006064683198928833,0.0008050203323364258,0.6800183653831482,0.574685662984848,0.6273520141839981,0.10533270239830017,0.11628465354442596,0.08163492381572723,0.0989597886800766,0.03464972972869873,0.04236327297985554,0.04721251502633095,0.043469750322401524,0.026465794071555138,0.40786873549222946,-0.08554283378180116,0.44086094945669174,-0.31160418689250946,-0.1714780628681183,-0.14012612402439117,-0.008075736463069916,-0.2034226544201374,0.1953469179570675
0,discovery,paraphrase,0,5,0.0006214678287506104,0.0009009838104248047,0.0007612258195877075,0.00027951598167419434,0.006039410829544067,0.007535874843597412,0.00678764283657074,0.0014964640140533447,0.6436556875705719,0.6100644767284393,0.6268600821495056,0.03359121084213257,0.09870557114481926,0.11142805963754654,0.1050668153911829,0.018535900861024857,0.05136042460799217,0.04469646140933037,0.048590995371341705,0.026948001235723495,0.15789001807570457,0.2229604721069336,-0.04668058454990387,-0.2909367009997368,-0.17489999067038298,-0.11603671032935381,-0.15527422912418842,-0.41492557525634766,0.25965134613215923
0,discovery,paraphrase,0,6,0.0027065277099609375,0.005445510149002075,0.004076018929481506,0.0027389824390411377,0.04078918695449829,0.05542054772377014,0.048104867339134216,0.01463136076927185,0.6531323790550232,0.5473713278770447,0.6002518534660339,0.10576105117797852,0.16989672183990479,0.1742994710803032,0.172098096460104,0.029512621462345123,0.06273334100842476,0.12340289354324341,0.09548375755548477,0.05079880729317665,0.15792324906215072,0.11384410783648491,0.07400772860273719,-0.2196027860045433,-0.07976845279335976,-0.13983433321118355,-0.1907594797667116,-0.18827303498983383,-0.002486444776877761
0,discovery,paraphrase,0,7,0.0015598535537719727,0.003049999475479126,0.0023049265146255493,0.0014901459217071533,0.04462262988090515,0.054203569889068604,0.04941309988498688,0.009580940008163452,0.6929793655872345,0.6751026511192322,0.6840410083532333,0.05098870396614075,0.1608957163989544,0.14493681117892265,0.15291626378893852,0.01595890522003174,0.04647926986217499,0.026802271604537964,0.03648803196847439,0.031580109149217606,0.31155896931886673,-0.012796356139006093,0.27645939216017723,0.22264743875712156,-0.14574352465569973,0.3683909634128213,-0.06589101999998093,-0.03286935854703188,-0.03302166145294905
0,discovery,paraphrase,0,8,0.0005782842636108398,0.000940471887588501,0.0007593780755996704,0.00036218762397766113,0.4659278094768524,0.36518314480781555,0.415555477142334,0.10074466466903687,0.7470508813858032,0.8493974804878235,0.7982241809368134,0.10234659910202026,0.32597365975379944,0.29805609583854675,0.3120148777961731,0.027917563915252686,0.0802467130124569,0.0955832228064537,0.0834796279668808,0.033354148268699646,0.12265435606241226,-0.06472641974687576,0.23409031331539154,-0.2650282457470894,-0.017759287729859352,-0.24726895801723003,-0.030012892559170723,0.14010689407587051,-0.17011978663504124
0,discovery,paraphrase,0,9,0.0007700920104980469,0.0008478164672851562,0.0008089542388916016,0.0003311634063720703,0.2366502285003662,0.2996760606765747,0.26816314458847046,0.0630258321762085,0.8673491477966309,0.7780287265777588,0.8226889371871948,0.08932042121887207,0.3579680174589157,0.29210981726646423,0.32503891736268997,0.06585820019245148,0.024744540452957153,0.04919061064720154,0.038865951821208,0.02669461816549301,0.13183490931987762,0.1341607258655131,0.09193083643913269,0.01973685622215271,-0.02351701259613037,0.04325386881828308,-0.01246362179517746,0.2268492728471756,-0.23931289464235306
