cohort,candidate,control,window,metric,mean_delta,ci_low,ci_high,win_fraction
v219,ours_correct,pooled_correct,early_half,visual_quality,-0.00023247536205286707,-0.0009028706506692982,0.00039987051978409297,0.421875
v219,ours_correct,pooled_correct,early_half,dynamic_degree,-0.00669642857142857,-0.020089285714285712,0.006696428571428569,0.046875
v219,ours_correct,pooled_correct,early_half,subject_consistency,6.564615327286569e-05,-0.0003116309521309307,0.00044570062450058015,0.53125
v219,ours_correct,pooled_correct,early_half,imaging_quality,3.0809910967944006e-05,-0.0009901065563816423,0.0009257871692534699,0.546875
v219,ours_correct,sf_fifo21,late_half,quality_without_dynamic_degree,0.05765875954756072,-0.22142261733340848,0.3049347808626518,0.6875
v219,ours_correct,sf_fifo21,late_half,official_quality_score,-0.07755758660628664,-0.4434165208341128,0.28937466760454456,0.625
v219,ours_correct,sf_fifo21,late_half,identity_background,-0.0007075469295830823,-0.002107019321105973,0.0003430333422354269,0.4375
v219,ours_correct,sf_fifo21,late_half,temporal_mechanics,-0.0003783035546057398,-0.0028698841295558063,0.0014104348018531688,0.5625
v219,ours_correct,sf_fifo21,late_half,semantic_alignment,0.000623201769485604,-0.0026446594420121983,0.004200757087528472,0.53125
v219,ours_correct,sf_fifo21,late_half,visual_quality,0.0038366219931049274,-0.0016324522248178284,0.009050632893136946,0.6875
v219,ours_correct,sf_fifo21,late_half,dynamic_degree,-0.017578125,-0.048828125,0.015625,0.109375
v219,ours_correct,sf_fifo21,late_half,subject_consistency,-0.0008667003302148656,-0.0028515275974732635,0.0006377067943802841,0.515625
v219,ours_correct,sf_fifo21,late_half,imaging_quality,0.007079040800454096,-0.0012410218711302124,0.01602582050405907,0.578125
v219,ours_correct,ours_random,late_half,quality_without_dynamic_degree,-0.09345960158036687,-0.34274870603653296,0.1308419578285203,0.515625
v219,ours_correct,ours_random,late_half,official_quality_score,-0.25872402465729044,-0.6152533252203245,0.07863951159646952,0.515625
v219,ours_correct,ours_random,late_half,identity_background,-0.0007191305026905681,-0.0022568414272797935,0.0003322515602615966,0.421875
v219,ours_correct,ours_random,late_half,temporal_mechanics,-0.0009716555575167308,-0.002927399890644437,0.0004535254667756509,0.484375
v219,ours_correct,ours_random,late_half,semantic_alignment,9.996493463404477e-05,-0.0030358873791556107,0.003344991859557917,0.515625
v219,ours_correct,ours_random,late_half,visual_quality,0.0007947214975138122,-0.003477611162066755,0.004618903563008629,0.65625
v219,ours_correct,ours_random,late_half,dynamic_degree,-0.021484375,-0.060546875,0.013671875,0.140625
v219,ours_correct,ours_random,late_half,subject_consistency,-0.0011977271032569334,-0.0034970201595646818,0.00034670935105773817,0.515625
v219,ours_correct,ours_random,late_half,imaging_quality,0.0007782848976785346,-0.005405210747165253,0.0065499113828700545,0.5
v219,ours_correct,pooled_correct,late_half,quality_without_dynamic_degree,-0.12699008525060457,-0.3030674036806997,0.03306396243764587,0.46875
v219,ours_correct,pooled_correct,late_half,official_quality_score,-0.06689393140445038,-0.4313393360340642,0.2349191553837789,0.5
v219,ours_correct,pooled_correct,late_half,identity_background,-0.0008253600510895621,-0.002020151177823256,0.0001973300064451838,0.359375
v219,ours_correct,pooled_correct,late_half,temporal_mechanics,-0.0008981649061668481,-0.0019183290091324269,-0.00011682390583098097,0.4375
v219,ours_correct,pooled_correct,late_half,semantic_alignment,0.0002740841227932833,-0.002643336283836106,0.003450969857840389,0.5
v219,ours_correct,pooled_correct,late_half,visual_quality,-0.00036740556650329166,-0.003876394257706121,0.0031379528568213516,0.53125
v219,ours_correct,pooled_correct,late_half,dynamic_degree,0.0078125,-0.041015625,0.05078125,0.203125
v219,ours_correct,pooled_correct,late_half,subject_consistency,-0.000794422141620784,-0.0026434930754816633,0.0007320890023633321,0.453125
v219,ours_correct,pooled_correct,late_half,imaging_quality,0.002460591545095669,-0.0025022495927987717,0.0078068549239833415,0.515625
v220,ours_correct,sf_fifo21,full,quality_without_dynamic_degree,0.12445343567566147,-0.3586062081222804,0.698664376756911,0.46875
v220,ours_correct,sf_fifo21,full,official_quality_score,0.09640856388078978,-0.3934791108534193,0.6529209131301646,0.484375
v220,ours_correct,sf_fifo21,full,identity_background,0.000475473225172475,-0.0009674826911988493,0.002256897029141882,0.515625
v220,ours_correct,sf_fifo21,full,temporal_mechanics,0.0008383668313452861,-0.002736469294340473,0.00531911489768153,0.484375
v220,ours_correct,sf_fifo21,full,semantic_alignment,-0.001724101402214728,-0.005670767482515656,0.002145573738331825,0.4375
v220,ours_correct,sf_fifo21,full,visual_quality,0.0008164256280288095,-0.005558768521204671,0.006765700730524264,0.546875
v220,ours_correct,sf_fifo21,full,dynamic_degree,-0.0036458333333333317,-0.03802083333333334,0.028124999999999994,0.359375
v220,ours_correct,sf_fifo21,full,subject_consistency,0.000715216977711635,-0.0014599378955603719,0.0036549442709076525,0.453125
