metric,window,unique_prompt_count,seed_count,delta30,delta60,difference60_minus30,ci95,posthoc_descriptive
quality_without_dynamic_degree,full,64,1,0.03017619945039962,0.12445343567566147,0.09427723622526185,"[-0.39755359936574997, 0.696085991441222]",True
official_quality_score,full,64,1,-0.06597764670344775,0.09640856388078978,0.16238621058423752,"[-0.3399298235007784, 0.6971734696954609]",True
identity_background,full,64,1,-0.0003678884653549111,0.000475473225172475,0.0008433616905273861,"[-0.000670110246023392, 0.002701237451979047]",True
temporal_mechanics,full,64,1,-0.00017621383890743803,0.0008383668313452861,0.0010145806702527242,"[-0.002956646350217257, 0.005666327693820669]",True
semantic_alignment,full,64,1,0.00014726019386823242,-0.001724101402214728,-0.0018713615960829603,"[-0.0066120375576914185, 0.002707202714324616]",True
visual_quality,full,64,1,0.0019468105925867932,0.0008164256280288095,-0.0011303849645579837,"[-0.007495387352989453, 0.005363544743430475]",True
dynamic_degree,full,64,1,-0.012500000000000004,-0.0036458333333333317,0.008854166666666672,"[-0.028124999999999997, 0.044791666666666674]",True
subject_consistency,full,64,1,-0.0003816294272541588,0.000715216977711635,0.0010968464049657938,"[-0.0011045089507071037, 0.003928853857966836]",True
imaging_quality,full,64,1,0.003789898051569849,0.002290360694130255,-0.001499537357439594,"[-0.008422363301545083, 0.005105914519963942]",True
