cohort,prompt_count,base_seed,duration_seconds,method,official_quality_score,subject_consistency,background_consistency,temporal_flickering,motion_smoothness,overall_consistency,dynamic_degree,aesthetic_quality,imaging_quality,temporal_style
v219,64,21600,29.8125,sf_fifo21,81.6178192309846,0.969633511294797,0.9645229397726286,0.9747496621590713,0.9830980842348381,0.23817730530475575,0.42604166666666665,0.6027841692790389,0.6904803949889416,0.23817730530475575
v219,64,21600,29.8125,ours_correct,81.55184158428116,0.9692518818675404,0.964168792269172,0.9744721831325318,0.983023135583564,0.238324565498624,0.41354166666666664,0.6028878924126426,0.6942702930405115,0.238324565498624
v219,64,21600,29.8125,ours_random,81.73674850421193,0.9699441103154488,0.9645020099839198,0.9749342060571222,0.9834639292546261,0.2383981732535176,0.43020833333333336,0.6029985562587777,0.6938247656893606,0.2383981732535176
v219,64,21600,29.8125,pooled_correct,81.61626286958432,0.9696449388048779,0.9646140858248643,0.9750272577455625,0.9834716490509272,0.23831059193083395,0.4125,0.6048234621373315,0.6929435995913421,0.23831059193083395
