axis,layer,head,context_count,residual_median,residual_iqr,rank_median,rank_iqr,top25_context_frequency,positive_context_frequency
prompt_history_excess,0,0,36,0.0,0.0,0.5,0.0,0.0,0.0
prompt_history_excess,0,1,36,0.0,0.0,0.5,0.0,0.0,0.0
prompt_history_excess,0,2,36,0.0,0.0,0.5,0.0,0.0,0.0
prompt_history_excess,0,3,36,0.0,0.0,0.5,0.0,0.0,0.0
prompt_history_excess,0,4,36,0.0,0.0,0.5,0.0,0.0,0.0
prompt_history_excess,0,5,36,0.0,0.0,0.5,0.0,0.0,0.0
prompt_history_excess,0,6,36,0.0,0.0,0.5,0.0,0.0,0.0
prompt_history_excess,0,7,36,0.0,0.0,0.5,0.0,0.0,0.0
prompt_history_excess,0,8,36,0.0,0.0,0.5,0.0,0.0,0.0
prompt_history_excess,0,9,36,0.0,0.0,0.5,0.0,0.0,0.0
prompt_history_excess,0,10,36,0.0,0.0,0.5,0.0,0.0,0.0
prompt_history_excess,0,11,36,0.0,0.0,0.5,0.0,0.0,0.0
prompt_history_excess,1,0,36,0.21462926594540477,0.3658433039672673,0.8481894150417828,0.3161559888579386,0.6388888888888888,0.8055555555555556
prompt_history_excess,1,1,36,0.09446723107248545,0.22686969442293048,0.7186629526462396,0.34610027855153214,0.4444444444444444,0.75
prompt_history_excess,1,2,36,-0.11908965837210417,0.24126986786723137,0.266016713091922,0.3182451253481895,0.05555555555555555,0.19444444444444445
prompt_history_excess,1,3,36,0.3357074949890375,0.3080528974533081,0.9108635097493036,0.14902506963788298,0.8611111111111112,0.9722222222222222
prompt_history_excess,1,4,36,-0.44106389582157135,0.3756556762382388,0.0403899721448468,0.16225626740947072,0.0,0.0
prompt_history_excess,1,5,36,0.18913588114082813,0.2741215389687568,0.8440111420612812,0.2597493036211699,0.6388888888888888,0.9444444444444444
prompt_history_excess,1,6,36,-0.21735187247395515,0.1801747651770711,0.1615598885793872,0.20055710306406682,0.0,0.1111111111111111
prompt_history_excess,1,7,36,0.33420242788270116,0.275267927441746,0.9359331476323121,0.1740947075208914,0.75,1.0
prompt_history_excess,1,8,36,-0.37197038531303406,0.22746406681835651,0.06267409470752089,0.09679665738161561,0.0,0.0
prompt_history_excess,1,9,36,0.034381991252303123,0.30512567795813084,0.6002785515320335,0.5501392757660167,0.3055555555555556,0.5833333333333334
prompt_history_excess,1,10,36,0.014533602632582188,0.3271208561491221,0.5571030640668524,0.5668523676880223,0.3333333333333333,0.5555555555555556
prompt_history_excess,1,11,36,-0.21121124736964703,0.1985690789297223,0.1894150417827298,0.19707520891364905,0.0,0.08333333333333333
prompt_history_excess,2,0,36,0.10061612352728844,0.20669178199023008,0.7019498607242339,0.4066852367688022,0.4444444444444444,0.6944444444444444
prompt_history_excess,2,1,36,0.037499061319977045,0.25067555997520685,0.5947075208913648,0.49442896935933145,0.3333333333333333,0.5833333333333334
prompt_history_excess,2,2,36,-0.12886863574385643,0.4477529311552644,0.2646239554317549,0.5919220055710307,0.19444444444444445,0.3611111111111111
prompt_history_excess,2,3,36,0.09494215995073318,0.27401027735322714,0.713091922005571,0.4805013927576602,0.4444444444444444,0.6388888888888888
prompt_history_excess,2,4,36,0.04064919799566269,0.3063088273629546,0.6309192200557103,0.5647632311977716,0.3888888888888889,0.6111111111111112
prompt_history_excess,2,5,36,-0.16940615326166153,0.2671276219189167,0.22284122562674097,0.36768802228412256,0.0,0.25
prompt_history_excess,2,6,36,0.07646086532622576,0.21723104920238256,0.6713091922005572,0.40807799442896936,0.4166666666666667,0.6944444444444444
prompt_history_excess,2,7,36,0.19430817663669586,0.40987552981823683,0.8704735376044568,0.5132311977715878,0.5555555555555556,0.7222222222222222
prompt_history_excess,2,8,36,0.036771345883607864,0.15949146903585643,0.6058495821727019,0.36490250696378834,0.19444444444444445,0.5833333333333334
prompt_history_excess,2,9,36,-0.2109002135694027,0.2546212439192459,0.1671309192200557,0.27019498607242337,0.0,0.08333333333333333
prompt_history_excess,2,10,36,0.00982627272605896,0.1307576997205615,0.5362116991643454,0.3433147632311977,0.1388888888888889,0.5833333333333334
prompt_history_excess,2,11,36,-0.31148524954915047,0.38623060658574104,0.10724233983286907,0.33077994428969354,0.08333333333333333,0.19444444444444445
prompt_history_excess,3,0,36,-0.045988391153514385,0.42418206110596657,0.3746518105849582,0.5766016713091922,0.19444444444444445,0.3888888888888889
prompt_history_excess,3,1,36,-0.03293716162443161,0.1931929625570774,0.3983286908077994,0.4059888579387187,0.1388888888888889,0.4444444444444444
prompt_history_excess,3,2,36,-0.1875743567943573,0.19148522429168224,0.201949860724234,0.18941504178272986,0.0,0.027777777777777776
prompt_history_excess,3,3,36,-0.007208794355392456,0.11865247786045074,0.4554317548746518,0.2827298050139275,0.19444444444444445,0.4722222222222222
prompt_history_excess,3,4,36,0.022045932710170746,0.18107898719608784,0.5724233983286908,0.3802228412256268,0.19444444444444445,0.5833333333333334
prompt_history_excess,3,5,36,-0.0004905778914690018,0.22440847754478455,0.5,0.49303621169916434,0.2777777777777778,0.5
prompt_history_excess,3,6,36,0.0046633509919047356,0.28010315634310246,0.5097493036211699,0.5424791086350975,0.2777777777777778,0.5
prompt_history_excess,3,7,36,0.09582173451781273,0.20991030032746494,0.7116991643454039,0.3802228412256268,0.3888888888888889,0.7222222222222222
prompt_history_excess,3,8,36,0.008269030600786209,0.20704347547143698,0.5515320334261838,0.4888579387186629,0.2777777777777778,0.5277777777777778
prompt_history_excess,3,9,36,-0.004946582019329071,0.4128388613462448,0.4651810584958217,0.6713091922005571,0.3055555555555556,0.4444444444444444
