axis,switch_type,mode,current_frame,nominal_timestep,episode,stale_a_visible,raw_split_spearman,layer_residual_split_spearman,raw_split_top25_jaccard,layer_residual_split_top25_jaccard,layer_eta_squared,raw_iqr,layer_residual_iqr
prompt_history_excess,identity_scene,clean,54,0,A,1,0.28377960233312854,0.2651900406062307,0.2857142857142857,0.16883116883116883,0.13047139382550385,0.34124949760735035,0.3071434050798416
policy_prompt_score,identity_scene,clean,54,0,A,1,0.5184718867377587,0.04204610956197383,0.31386861313868614,0.1320754716981132,0.6321715080147554,0.6008023185156355,0.28519542417058164
persistent_content,identity_scene,clean,54,0,A,1,0.1271301668895314,0.017275460044904264,0.22448979591836735,0.2080536912751678,0.3376045974972634,0.0003882274031639099,0.0002895928919315338
persistent_positioned,identity_scene,clean,54,0,A,1,0.11123863166218965,0.07659394801993186,0.21621621621621623,0.21621621621621623,0.3372743818774286,0.0003440454602241516,0.00031289830803871155
persistent_output,identity_scene,clean,54,0,A,1,0.15266188541825548,0.07135953726330123,0.25,0.2080536912751678,0.23259327124612938,0.0013258010149002075,0.0010659024119377136
prompt_history_excess,identity_scene,clean,57,0,B,1,0.28409880377907765,0.23615145426995596,0.2949640287769784,0.22448979591836735,0.1759323146011841,0.32778568286448717,0.27675057807937264
policy_prompt_score,identity_scene,clean,57,0,B,1,0.5615280721081468,0.11335380921013205,0.2676056338028169,0.2,0.6627196123601966,0.5876324980637717,0.3135768636094412
stale_a_mass,identity_scene,clean,57,0,B,1,0.06806878053201659,0.06806878053201659,0.8367346938775511,0.8367346938775511,0.0,0.0,0.0
persistent_content,identity_scene,clean,57,0,B,1,0.1714890385712378,0.1623991041266315,0.25,0.22448979591836735,0.29672601264720944,0.0004474818706512451,0.00036427751183509827
persistent_positioned,identity_scene,clean,57,0,B,1,0.12386432367802525,0.10751687944942527,0.2328767123287671,0.2,0.20477553822192102,0.0004091411828994751,0.0003120609326288104
persistent_output,identity_scene,clean,57,0,B,1,0.16071214074083032,0.048926559746614244,0.2676056338028169,0.17647058823529413,0.2815800768600803,0.0013369768857955933,0.0009600222110748291
prompt_history_excess,identity_scene,clean,60,0,B,1,0.3187955636914914,0.2972027819139072,0.25,0.25,0.12079474530362362,0.34421243891119957,0.3045869944617152
policy_prompt_score,identity_scene,clean,60,0,B,1,0.5398498955843457,0.12611646557318523,0.30434782608695654,0.18421052631578946,0.5873188884459704,0.5879320813944074,0.3059330985602506
stale_a_mass,identity_scene,clean,60,0,B,1,0.9322204132233529,0.9331386301849036,0.875,0.7647058823529411,0.14882308092655955,0.2826482951641083,0.24484079703688622
persistent_content,identity_scene,clean,60,0,B,1,0.11499715843801159,-0.005936221309244309,0.21621621621621623,0.16883116883116883,0.3163013514512791,0.0003483295440673828,0.00027930084615945816
persistent_positioned,identity_scene,clean,60,0,B,1,0.05843213801028285,0.03885563838102879,0.2328767123287671,0.16129032258064516,0.2597645623634833,0.000371735543012619,0.00032361969351768494
persistent_output,identity_scene,clean,60,0,B,1,0.08782502975473398,0.01911299282516867,0.22448979591836735,0.15384615384615385,0.254514430318679,0.001262381672859192,0.0010044090449810028
prompt_history_excess,identity_scene,clean,75,0,B,0,0.35366877178434125,0.30351736329831547,0.3235294117647059,0.21621621621621623,0.17002115381442626,0.33381642028689384,0.283556513953954
policy_prompt_score,identity_scene,clean,75,0,B,0,0.5427013599113335,0.14474049385427903,0.30434782608695654,0.17647058823529413,0.6181843613116407,0.5925009916341849,0.3226967919389207
persistent_content,identity_scene,clean,75,0,B,0,0.13847749259917538,0.06956019390780505,0.25,0.19205298013245034,0.3139592993883558,0.0003867298364639282,0.0003339019604027271
persistent_positioned,identity_scene,clean,75,0,B,0,0.0603313959612138,0.06390973672439644,0.17647058823529413,0.2080536912751678,0.30402123558052363,0.0003795549273490906,0.0003367941826581955
persistent_output,identity_scene,clean,75,0,B,0,0.09079082549138816,0.024374157104608687,0.2857142857142857,0.21621621621621623,0.23429558487122903,0.000995136797428131,0.0008789002895355225
prompt_history_excess,identity_scene,clean,78,0,B,0,0.2441780459881574,0.21629383200435617,0.25,0.21621621621621623,0.15163094550236136,0.31469800509512424,0.2713739266619086
policy_prompt_score,identity_scene,clean,78,0,B,0,0.5304729351383176,0.17905554953962716,0.3235294117647059,0.19205298013245034,0.6164088114875711,0.5350338845499538,0.3313185796035123
persistent_content,identity_scene,clean,78,0,B,0,0.1768781234914857,0.06998550025409454,0.22448979591836735,0.2,0.3685760990359302,0.00046910345554351807,0.00032137520611286163
persistent_positioned,identity_scene,clean,78,0,B,0,0.21230035520487164,0.18273498280659095,0.2765957446808511,0.18421052631578946,0.3510979862977336,0.0004206182202324271,0.0003481185995042324
persistent_output,identity_scene,clean,78,0,B,0,0.09943101238127625,0.08564129047159848,0.21621621621621623,0.15384615384615385,0.20769604007788667,0.0010847300291061401,0.0008793286979198456
prompt_history_excess,identity_scene,clean,117,0,B,0,0.32827335166919724,0.30025487245188637,0.30434782608695654,0.25874125874125875,0.16357592268028662,0.3466748110949993,0.2861848846077919
policy_prompt_score,identity_scene,clean,117,0,B,0,0.5525577655590128,0.1108012264949032,0.30434782608695654,0.2080536912751678,0.6578530345190678,0.5571374545988808,0.27922690747532986
persistent_content,identity_scene,clean,117,0,B,0,0.2544053692721781,0.05534480868325853,0.2949640287769784,0.2080536912751678,0.3559250491005054,0.0004167035222053528,0.00025848671793937683
persistent_positioned,identity_scene,clean,117,0,B,0,0.15443948509025734,0.06343994109305424,0.2413793103448276,0.2080536912751678,0.3634945835076346,0.0003747902810573578,0.0002972632646560669
persistent_output,identity_scene,clean,117,0,B,0,0.15034775857410432,0.09244830081173881,0.2676056338028169,0.2328767123287671,0.21251165979604425,0.0010276958346366882,0.0007574297487735748
prompt_history_excess,identity_scene,noisy,54,500,A,1,0.22132800662169386,0.1283032912729913,0.25,0.21621621621621623,0.20474156826455908,0.3258533123880625,0.2583783594891429
policy_prompt_score,identity_scene,noisy,54,500,A,1,0.25697568900361856,-0.00035958390123840385,0.2,0.125,0.447653743829544,0.4313365521890019,0.3036985656812587
persistent_content,identity_scene,noisy,54,500,A,1,0.22399379190403876,0.1530878401410251,0.2857142857142857,0.2080536912751678,0.26709065076560784,0.0009055584669113159,0.0007826145738363266
persistent_positioned,identity_scene,noisy,54,500,A,1,0.14937547375436203,0.17004074512574763,0.25,0.2080536912751678,0.2114216802379569,0.0007708445191383362,0.0007689185440540314
persistent_output,identity_scene,noisy,54,500,A,1,0.12518226762662024,0.056112064657197966,0.2328767123287671,0.16129032258064516,0.27203734344735714,0.0036966130137443542,0.00296580046415329
prompt_history_excess,identity_scene,noisy,54,1000,A,1,0.1485662813700301,0.19346231198044564,0.18421052631578946,0.22448979591836735,0.07463536435831086,0.3163830079138279,0.2795929480344057
policy_prompt_score,identity_scene,noisy,54,1000,A,1,0.21591243908309726,0.07941325578530115,0.19205298013245034,0.19205298013245034,0.2815336826885662,0.4023735813322432,0.3135054563430195
persistent_content,identity_scene,noisy,54,1000,A,1,0.37817528777484827,0.25256782259087146,0.25874125874125875,0.25874125874125875,0.3551659250247449,0.002973504364490509,0.00215984508395195
persistent_positioned,identity_scene,noisy,54,1000,A,1,0.28935238116305073,0.17587459524304966,0.25874125874125875,0.2676056338028169,0.3211570663708722,0.0029292553663253784,0.0021141208708286285
persistent_output,identity_scene,noisy,54,1000,A,1,0.30150930069676457,0.25391176099142276,0.2857142857142857,0.25,0.198029913596019,0.009877532720565796,0.008259594440460205
