axis,context_count,median_raw_split_spearman,median_layer_residual_split_spearman,minimum_layer_residual_split_spearman,median_layer_eta_squared,median_raw_cross_context_spearman,median_layer_residual_cross_context_spearman,median_raw_cross_context_top25_jaccard,median_layer_residual_cross_context_top25_jaccard,heads_top25_in_at_least_half_contexts,static_head_axis_gate,interpretation
prompt_history_excess,36,0.224106036611197,0.16642600095117402,-0.04551462809430564,0.16679853824735644,0.1996142060847872,0.15111654916743983,0.21621621621621623,0.19205298013245034,32,0,layer_or_state_conditioned
policy_prompt_score,36,0.30317525968753484,0.09724378168061491,-0.00035958390123840385,0.40939337380008195,0.30788239923828487,0.10165652947006129,0.22868325412356721,0.17647058823529413,20,0,layer_or_state_conditioned
stale_a_mass,12,0.5308002141442987,0.5243966153510982,0.0348087341291304,0.07175919140490312,-0.13229276849684912,-0.10776298994883994,0.16129032258064516,0.19205298013245034,130,0,layer_or_state_conditioned
persistent_content,36,0.18175642134494477,0.10892654285235025,-0.06135921171389571,0.31513032541981745,0.37369878690695874,0.28821897167749494,0.2857142857142857,0.25874125874125875,54,0,layer_or_state_conditioned
persistent_positioned,36,0.13109251416692277,0.11010984116309969,-0.038098660254172835,0.2308019190120216,0.3022637807460833,0.27447344861173506,0.2676056338028169,0.25,51,0,layer_or_state_conditioned
persistent_output,36,0.13064804581068037,0.09884467595908975,-0.03479746331272756,0.19432600652302356,0.23425002153315452,0.2096242457306004,0.2765957446808511,0.25,45,0,layer_or_state_conditioned
