comparison,metric,context,unit_count,mean_difference,median_difference,positive_fraction,prompt_bootstrap_mean_ci_low,prompt_bootstrap_mean_ci_high,seed_replicate_spearman
top_minus_bottom,raw_value_coordinate_error,clean,64,0.02054754621108764,0.02028184222290292,0.78125,0.011338736550347776,0.02923492942130098,0.4937683284457478
top_minus_bottom,raw_value_coordinate_error,noisy_t1000,64,0.0069654435749422795,0.0033166808179683205,0.640625,0.0024753292002641382,0.011615529380156763,0.09677419354838708
top_minus_bottom,raw_value_coordinate_error,noisy_t500,64,0.008500363272994742,0.013184163957420322,0.671875,0.001477214273272189,0.014802093040336528,0.44024926686217003
top_minus_bottom,raw_value_coordinate_error,pooled,64,0.012004451019674888,0.014894395169836497,0.71875,0.0061671313080668595,0.01748440515515506,0.34677419354838707
top_minus_random,raw_value_coordinate_error,clean,64,0.024027637665252163,0.025491411801582826,0.890625,0.017415706155680305,0.030140093628418376,0.6444281524926686
top_minus_random,raw_value_coordinate_error,noisy_t1000,64,-0.010475129371702172,-0.010210110402355588,0.234375,-0.014005101998188567,-0.006634212015000127,0.09787390029325513
top_minus_random,raw_value_coordinate_error,noisy_t500,64,-0.0034332532416859354,-0.002624052245583791,0.40625,-0.008653780489913615,0.00183688724167344,0.48350439882697943
top_minus_random,raw_value_coordinate_error,pooled,64,0.003373085017288018,0.004037506287244872,0.625,-0.00033176760818201366,0.0071235560200356846,0.3911290322580645
top_minus_bottom,refined_value_coordinate_error,clean,64,0.02135990025342633,0.02625240047539895,0.875,0.01307278623086505,0.02878431452547931,0.5274926686217009
top_minus_bottom,refined_value_coordinate_error,noisy_t1000,64,-5.006540945436469e-05,-0.001639706393082918,0.484375,-0.003326862979069517,0.0032711754989784656,-0.23533724340175952
top_minus_bottom,refined_value_coordinate_error,noisy_t500,64,0.0030037737888253284,0.005396102089434862,0.640625,-0.002306729205807243,0.007774489818773667,0.16312316715542519
top_minus_bottom,refined_value_coordinate_error,pooled,64,0.00810453621093243,0.008818442198335791,0.78125,0.0034470807520372336,0.01219043651962171,0.2034457478005865
top_minus_random,refined_value_coordinate_error,clean,64,0.012559353477687787,0.013535905318955585,0.8125,0.006061820481859791,0.018304675827285385,0.593108504398827
