probe_name,metric,context,unit_count,mean_effect,median_effect,prompt_bootstrap_mean_ci_low,prompt_bootstrap_mean_ci_high,seed_replicate_spearman
top_recent4_early,x0_relative_rms,clean,64,0.0008084144892563927,0.0008131857612170279,0.000770859743033725,0.0008475776846125883,0.7580645161290321
top_recent4_early,x0_relative_rms,noisy_t1000,64,0.12928519464912824,0.098990548402071,0.10622731738039874,0.15561796270485503,0.6209677419354838
top_recent4_early,x0_relative_rms,noisy_t500,64,0.04625547255272977,0.04537004418671131,0.042354776106367356,0.050445443840726516,0.32184750733137824
top_recent4_early,flow_relative_rms,clean,64,0.04532344700419344,0.045423245057463646,0.042282608372624965,0.04853958260791842,0.7653958944281525
top_recent4_early,flow_relative_rms,noisy_t1000,64,0.0927105393493548,0.06849607825279236,0.07436699587706244,0.11176772993203486,0.6781524926686217
top_recent4_early,flow_relative_rms,noisy_t500,64,0.0393842332996428,0.03759147785604,0.036008906333881895,0.04317622401358676,0.3801319648093841
top_recent4_middle,x0_relative_rms,clean,64,0.0008370939258384169,0.0008634226687718183,0.0007986081577655568,0.0008734047531788747,0.6810850439882697
top_recent4_middle,x0_relative_rms,noisy_t1000,64,0.14484257457661442,0.13764390349388123,0.12446009374689311,0.16720363467757124,0.30608504398826974
top_recent4_middle,x0_relative_rms,noisy_t500,64,0.0582357456733007,0.053995510563254356,0.05320220931462245,0.06347421325117467,0.2562316715542522
top_recent4_middle,flow_relative_rms,clean,64,0.048898814915446565,0.049476541578769684,0.0458292932009499,0.05210235008926247,0.6964809384164222
top_recent4_middle,flow_relative_rms,noisy_t1000,64,0.10313568444689736,0.09251334518194199,0.08746085553138983,0.12060801863844972,0.34750733137829903
top_recent4_middle,flow_relative_rms,noisy_t500,64,0.049546088033821434,0.04546067863702774,0.04521931406343356,0.05419027811876731,0.3167155425219941
top_recent4_late,x0_relative_rms,clean,64,0.0008645449033792829,0.0009022820449899882,0.0008125492013959957,0.0009156778830401891,0.7976539589442814
top_recent4_late,x0_relative_rms,noisy_t1000,64,0.048600003763567656,0.04932536743581295,0.04537214846059214,0.051757437708147336,0.4629765395894428
top_recent4_late,x0_relative_rms,noisy_t500,64,0.03130961782881059,0.029653009958565235,0.02868876709617325,0.033891946887160886,0.6063049853372433
top_recent4_late,flow_relative_rms,clean,64,0.05230610733269714,0.052598174661397934,0.04760705683074775,0.057175875815300974,0.8013196480938416
top_recent4_late,flow_relative_rms,noisy_t1000,64,0.03428127826191485,0.03406951762735844,0.03201963540559518,0.036522846509615195,0.44428152492668616
top_recent4_late,flow_relative_rms,noisy_t500,64,0.02641928882803768,0.024626128375530243,0.024511347430961904,0.028443376244104,0.5791788856304985
