layer,head,semantic_interaction,semantic_interaction_samples,null_interaction,null_interaction_samples,interaction_log_ratio,interaction_log_ratio_samples,semantic_native_response,semantic_native_response_samples,null_native_response,null_native_response_samples,semantic_query_response,semantic_query_response_samples,null_query_response,null_query_response_samples,query_log_ratio,query_log_ratio_samples,semantic_current_key_response,semantic_current_key_response_samples,null_current_key_response,null_current_key_response_samples,current_key_log_ratio,current_key_log_ratio_samples,native_log_ratio,native_log_ratio_samples,job_count,bootstrap_family_count,bootstrap_low,bootstrap_high,bootstrap_p_conditional,label,label_code,bootstrap_confidence,reliable_at_80pct,expected_age,expected_age_samples,recent4_mass,recent4_mass_samples,old12_mass,old12_mass_samples,temporal_entropy,temporal_entropy_samples,peak_age,peak_age_samples,positive_logit_fraction,positive_logit_fraction_samples
0,0,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,128,16,0.0,0.0,0.0,prompt_invariant,0,1.0,1,6.309671878814697,6912,0.42901939153671265,6912,0.11215466633439064,6912,0.9259573817253113,6912,1.0,6912,0.8333333134651184,6912
0,1,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,128,16,0.0,0.0,0.0,prompt_invariant,0,1.0,1,3.598246693611145,6912,0.7916585803031921,6912,0.10200301557779312,6912,0.6176761984825134,6912,1.0,6912,1.0,6912
0,2,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,128,16,0.0,0.0,0.0,prompt_invariant,0,1.0,1,9.633111953735352,6912,0.22582663595676422,6912,0.3494461327791214,6912,0.997351884841919,6912,18.0,6912,1.0,6912
0,3,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,128,16,0.0,0.0,0.0,prompt_invariant,0,1.0,1,9.430110454559326,6912,0.225067138671875,6912,0.32598876953125,6912,0.9992124140262604,6912,8.0,6912,1.0,6912
0,4,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,128,16,0.0,0.0,0.0,prompt_invariant,0,1.0,1,13.42760944366455,6912,0.07354186475276947,6912,0.5865635871887207,6912,0.6533472537994385,6912,18.0,6912,1.0,6912
0,5,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,128,16,0.0,0.0,0.0,prompt_invariant,0,1.0,1,14.58543348312378,6912,0.033069998025894165,6912,0.6238561868667603,6912,0.6035292744636536,6912,18.0,6912,1.0,6912
0,6,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,128,16,0.0,0.0,0.0,prompt_invariant,0,1.0,1,10.047248840332031,6912,0.20377834141254425,6912,0.38193969428539276,6912,0.6988593339920044,6912,18.0,6912,1.0,6912
0,7,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,128,16,0.0,0.0,0.0,prompt_invariant,0,1.0,1,8.785521507263184,6912,0.29394981265068054,6912,0.27573736011981964,6912,0.9538224339485168,6912,5.0,6912,1.0,6912
0,8,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,128,16,0.0,0.0,0.0,prompt_invariant,0,1.0,1,9.439688682556152,6912,0.22829851508140564,6912,0.3297016769647598,6912,0.9994426369667053,6912,6.0,6912,1.0,6912
0,9,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,128,16,0.0,0.0,0.0,prompt_invariant,0,1.0,1,10.21666145324707,6912,0.23486328125,6912,0.41840238869190216,6912,0.9772990345954895,6912,18.0,6912,0.7777777910232544,6912
0,10,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,128,16,0.0,0.0,0.0,prompt_invariant,0,1.0,1,15.090006351470947,6912,0.004764089360833168,6912,0.8298088312149048,6912,0.7494914531707764,6912,18.0,6912,1.0,6912
0,11,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,0.0,3456,128,16,0.0,0.0,0.0,prompt_invariant,0,1.0,1,11.880134582519531,6912,0.2281266301870346,6912,0.5085544586181641,6912,0.6917958557605743,6912,18.0,6912,1.0,6912
