cohort,prompt_count,selection_included,method,official_quality_score,subject_consistency,background_consistency,temporal_flickering,motion_smoothness,overall_consistency,dynamic_degree,aesthetic_quality,imaging_quality,temporal_style
confirmation80,80,False,sf_fifo21,81.54405681877401,0.9707663007792634,0.9638051334407154,0.9762945049360305,0.9847569188846683,0.23566014948611458,0.4275,0.5922727051625649,0.6852553008782367,0.23566014948611458
confirmation80,80,False,ours_correct,81.63352460765607,0.9706719082244467,0.9638769352325627,0.9765398888661976,0.984956011343822,0.23665781498886646,0.42916666666666664,0.5946925759812196,0.6864858918122947,0.23665781498886646
selection_included128,128,True,sf_fifo21,81.51905632899715,0.9703494767704639,0.9631877236507782,0.9749809582651976,0.9843727360404286,0.2364379075205458,0.4416666666666667,0.5916618945542723,0.683343350986795,0.2364379075205458
selection_included128,128,True,ours_correct,81.57470089468507,0.9703767386841058,0.9630067420964,0.9753183985762053,0.9846027701455138,0.23746788671317823,0.4380208333333333,0.5932121208868921,0.6857466564329031,0.23746788671317823
