clusters,feature_count,split_label_agreement,split_ari,discovery_silhouette,validation_silhouette,bootstrap_ari_median,bootstrap_ari_p10,minimum_cluster_fraction,boundary_fraction,cluster_exact_layer_nmi,cluster_layer_band_nmi,passed
2,22,0.9444444444444444,0.7895348488243872,0.18701962423282986,0.16610262469172798,0.23374830962597676,0.012676397707313948,0.425,0.03888888888888889,0.14212768388624594,0.0913991047953433,0
3,22,0.9472222222222222,0.8523163037503068,0.1996844839943541,0.19124221803936814,0.9029420598612801,0.6662212013759636,0.03333333333333333,0.030555555555555555,0.1682105976376234,0.1146230706555082,0
4,22,0.9138888888888889,0.7779711755295947,0.18097234034320908,0.1629889789454906,0.7429867810235332,0.4318278844027205,0.022222222222222223,0.05555555555555555,0.22684019957101093,0.1953402819455658,0
5,22,0.8861111111111111,0.6938127356070705,0.18546206055813827,0.16850916678106978,0.617416872274117,0.4172665430723306,0.005555555555555556,0.075,0.2346745561729049,0.20848080960560625,0
6,22,0.8472222222222222,0.6589834933133734,0.14622758626070625,0.11378824453029455,0.48917438932788604,0.36310784926589323,0.011111111111111112,0.03888888888888889,0.26248772482941585,0.22142705833626034,0
