method,prompt_index,sample_index,video,decoded_frames,retained_frames,flow_transition_count,fps,duration_seconds,frame_step,sample_interval_seconds,analysis_width,analysis_height,raw_motion_ndps_median,global_motion_ndps_median,residual_motion_ndps_median,residual_motion_p90_ndps_median,residual_transition_active_fraction,residual_active_area_fraction_mean,late_residual_motion_ratio,longest_low_residual_run_fraction,residual_accel_outlier_fraction,camera_motion_fraction_median,camera_fit_valid_fraction,camera_fit_inlier_fraction_median,camera_fit_error_nd_median,residual_energy_concentration_mean,residual_direction_entropy_mean
sf_native,0,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v201_head_phase_horizon_sf_screen/screen32/vbench_comparison/published/sf_native/000000-0.mp4,477,60,59,16.0,29.8125,8,0.5,256,148,0.007372021946207528,0.006291656882689565,0.0038772173834671756,0.015205854316133598,0.8305084745762712,0.2109321318140174,0.7449890739696899,0.0,0.08620689655172414,0.657959640415717,1.0,0.8651315789473685,0.001921972713861813,0.7011221780755411,0.6267170253644685
sf_native,1,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v201_head_phase_horizon_sf_screen/screen32/vbench_comparison/published/sf_native/000001-0.mp4,477,60,59,16.0,29.8125,8,0.5,256,148,0.00568789478425593,0.005603375275747183,0.006914246826991088,0.02339382441167944,0.9322033898305084,0.3617871049015116,0.43950532631000244,0.0,0.13793103448275862,0.4836136318931009,1.0,0.9144736842105263,0.0034065099777239516,0.580205140755991,0.6337257386778403
sf_native,2,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v201_head_phase_horizon_sf_screen/screen32/vbench_comparison/published/sf_native/000002-0.mp4,477,60,59,16.0,29.8125,8,0.5,256,148,0.0052513530915257395,0.005148727801715157,0.006454133914553085,0.04101173348191259,1.0,0.3981109353527256,0.9037180091538163,0.0,0.034482758620689655,0.44700274852799804,1.0,0.8157894736842105,0.0032317504545639657,0.7480377594565564,0.7564400675421789
sf_native,3,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v201_head_phase_horizon_sf_screen/screen32/vbench_comparison/published/sf_native/000003-0.mp4,477,60,59,16.0,29.8125,8,0.5,256,148,0.0016633489376679084,0.0011613188119616934,0.0012659641540894843,0.0026611321529954202,0.0,0.007210368472285846,1.1325657161567075,0.11864406779661017,0.034482758620689655,0.5165436197442322,1.0,0.9588815789473685,0.000630836948085476,0.5376344902446913,0.12976012213087082
sf_native,4,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v201_head_phase_horizon_sf_screen/screen32/vbench_comparison/published/sf_native/000004-0.mp4,477,60,59,16.0,29.8125,8,0.5,256,148,0.0040116177866335425,0.0036270051586367604,0.004593492011068333,0.03579736141354688,0.9661016949152542,0.32447150209001374,0.8927556707563283,0.0,0.034482758620689655,0.45308940401392706,1.0,0.7861842105263158,0.002307860952125293,0.7345242675736019,0.6115784330866941
sf_native,5,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v201_head_phase_horizon_sf_screen/screen32/vbench_comparison/published/sf_native/000005-0.mp4,477,60,59,16.0,29.8125,8,0.5,256,148,0.0036377421712140943,0.002348907075925539,0.003096198424356137,0.021978433066142233,0.8305084745762712,0.27901504523591397,0.21626788520497325,0.0,0.05172413793103448,0.45433847919649134,1.0,0.837171052631579,0.001548361651993378,0.7484256591379862,0.7356457188946789
sf_native,6,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v201_head_phase_horizon_sf_screen/screen32/vbench_comparison/published/sf_native/000006-0.mp4,477,60,59,16.0,29.8125,8,0.5,256,148,0.001671378679261894,0.001512748061450093,0.0007498660677152694,0.006319140372237439,0.3050847457627119,0.07422411818598257,0.4085586240307514,0.03389830508474576,0.034482758620689655,0.6681563703328186,1.0,0.8289473684210527,0.00037451418775907136,0.90454877135195,0.5678721269331684
sf_native,7,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v201_head_phase_horizon_sf_screen/screen32/vbench_comparison/published/sf_native/000007-0.mp4,477,60,59,16.0,29.8125,8,0.5,256,148,0.002709254913109017,0.0020526510991865196,0.0031796162085801953,0.034148854502504516,0.847457627118644,0.3337768051420064,0.46619079124799495,0.01694915254237288,0.0,0.38967442737726177,1.0,0.8174342105263158,0.0015406324549723388,0.700952625692861,0.5990715500261447
sf_native,8,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v201_head_phase_horizon_sf_screen/screen32/vbench_comparison/published/sf_native/000008-0.mp4,477,60,59,16.0,29.8125,8,0.5,256,148,0.005594816035398867,0.004891947775416254,0.002351388089398011,0.009775562915580481,0.4745762711864407,0.10329373997938618,0.876758781086973,0.0,0.1206896551724138,0.7098627084440371,1.0,0.8782894736842105,0.0011857608956872805,0.7629391505669205,0.5514885384321347
sf_native,9,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v201_head_phase_horizon_sf_screen/screen32/vbench_comparison/published/sf_native/000009-0.mp4,477,60,59,16.0,29.8125,8,0.5,256,148,0.026563084602142604,0.022645195919418423,0.020023513041418587,0.05304187084021878,1.0,0.7084480037505726,0.6635726843238662,0.0,0.0,0.49338802977694024,1.0,0.9572368421052632,0.009969949444207222,0.5098327351523616,0.7435548768230004
sf_native,10,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v201_head_phase_horizon_sf_screen/screen32/vbench_comparison/published/sf_native/000010-0.mp4,477,60,59,16.0,29.8125,8,0.5,256,148,0.0030529295194390597,0.002307751985602466,0.0030800153608487556,0.011257453520303159,0.559322033898305,0.27883700040082454,0.4943844677644443,0.0,0.05172413793103448,0.4337329901013812,1.0,0.8963815789473685,0.001524115463230671,0.666281699829428,0.7008961130383392
sf_native,11,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v201_head_phase_horizon_sf_screen/screen32/vbench_comparison/published/sf_native/000011-0.mp4,477,60,59,16.0,29.8125,8,0.5,256,148,0.009297976705122082,0.006928897771994638,0.006952029106104379,0.030150070605463788,0.9830508474576272,0.43168804397617955,1.2485594361264334,0.0,0.034482758620689655,0.48763304769522736,1.0,0.8782894736842105,0.0034960979923726815,0.6166051678333964,0.7385779990910577
sf_native,12,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v201_head_phase_horizon_sf_screen/screen32/vbench_comparison/published/sf_native/000012-0.mp4,477,60,59,16.0,29.8125,8,0.5,256,148,0.0034610521966524006,0.0026179393040992563,0.0022214507420553016,0.008510289561506817,0.423728813559322,0.2443965085318369,0.3267304171295046,0.0,0.15517241379310345,0.478253540409288,1.0,0.8881578947368421,0.0010922712227019596,0.7895577080412127,0.597751239957368
