method,prompt_index,sample_index,video,decoded_frames,retained_frames,flow_transition_count,fps,duration_seconds,frame_step,sample_interval_seconds,analysis_width,analysis_height,raw_motion_ndps_median,global_motion_ndps_median,residual_motion_ndps_median,residual_motion_p90_ndps_median,residual_transition_active_fraction,residual_active_area_fraction_mean,late_residual_motion_ratio,longest_low_residual_run_fraction,residual_accel_outlier_fraction,camera_motion_fraction_median,camera_fit_valid_fraction,camera_fit_inlier_fraction_median,camera_fit_error_nd_median,residual_energy_concentration_mean,residual_direction_entropy_mean
sf_native,0,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v180_rccp_fresh128/recovery_v183/vbench_comparison/published/sf_native/000000-0.mp4,477,60,59,16.0,29.8125,8,0.5,256,148,0.004251202336689975,0.0028746638377100666,0.003110084552081895,0.006561727920949249,0.2711864406779661,0.11310141576958314,0.8322531914969498,0.0,0.10344827586206896,0.47723750558620853,1.0,0.9703947368421053,0.0015361110718866817,0.5070238765082506,0.49523553072595033
sf_native,1,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v180_rccp_fresh128/recovery_v183/vbench_comparison/published/sf_native/000001-0.mp4,477,60,59,16.0,29.8125,8,0.5,256,148,0.0024819532116237917,0.0022122001732515478,0.0018855890934195425,0.004873617593531334,0.288135593220339,0.061134244016262024,0.9054703495914526,0.0847457627118644,0.27586206896551724,0.550588828370331,1.0,0.9226973684210527,0.0009313276572875035,0.5464476158124085,0.31216703265420254
sf_native,2,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v180_rccp_fresh128/recovery_v183/vbench_comparison/published/sf_native/000002-0.mp4,477,60,59,16.0,29.8125,8,0.5,256,148,0.006519337710600143,0.00595032194249781,0.0054815885703581035,0.012578814092595677,0.6440677966101694,0.27868132300732934,0.5253091276991871,0.0,0.08620689655172414,0.5155895556429086,1.0,0.9638157894736842,0.002729911150559949,0.4638009849836921,0.6277068712591132
sf_native,3,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v180_rccp_fresh128/recovery_v183/vbench_comparison/published/sf_native/000003-0.mp4,477,60,59,16.0,29.8125,8,0.5,256,148,0.009762606717545187,0.007847408718554504,0.010350286190691425,0.04885282490673948,1.0,0.5298126682031609,0.7665587744464786,0.0,0.08620689655172414,0.45665133421502396,1.0,0.8453947368421053,0.004986325145219149,0.7199724582990742,0.7594527630789243
sf_native,4,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v180_rccp_fresh128/recovery_v183/vbench_comparison/published/sf_native/000004-0.mp4,477,60,59,16.0,29.8125,8,0.5,256,148,0.00353000440949595,0.0026549275504629587,0.001744804867582288,0.006767672137233346,0.3050847457627119,0.0753067023591388,0.37845017534674036,0.03389830508474576,0.13793103448275862,0.5585298022015337,1.0,0.8881578947368421,0.000886669544865325,0.7308844841414518,0.4520853046960669
sf_native,5,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v180_rccp_fresh128/recovery_v183/vbench_comparison/published/sf_native/000005-0.mp4,477,60,59,16.0,29.8125,8,0.5,256,148,0.0031408006922095965,0.0028242540230321135,0.0033530097120723057,0.020318619038588014,0.9491525423728814,0.22653252762826387,0.917603121966472,0.0,0.034482758620689655,0.43615077115249645,1.0,0.7976973684210527,0.00164577244881372,0.7397581567875324,0.6716352860076842
sf_native,6,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v180_rccp_fresh128/recovery_v183/vbench_comparison/published/sf_native/000006-0.mp4,477,60,59,16.0,29.8125,8,0.5,256,148,0.008842414648412227,0.007303277432667251,0.01039237441182652,0.03514041893377093,1.0,0.5188043081481906,0.8472731866116007,0.0,0.1724137931034483,0.43222363084255216,1.0,0.90625,0.00483296786607426,0.6139196203183184,0.804972448042086
sf_native,7,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v180_rccp_fresh128/recovery_v183/vbench_comparison/published/sf_native/000007-0.mp4,477,60,59,16.0,29.8125,8,0.5,256,148,0.003729092208760959,0.003442510523904559,0.0031260048715686115,0.011142079032833317,0.5423728813559322,0.14850862846426938,0.7404225360761313,0.0,0.017241379310344827,0.5345766332267026,1.0,0.9194078947368421,0.0015960700860776908,0.6360930638105677,0.6427180838235647
sf_native,8,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v180_rccp_fresh128/recovery_v183/vbench_comparison/published/sf_native/000008-0.mp4,477,60,59,16.0,29.8125,8,0.5,256,148,0.00282956574965363,0.0016614597077499124,0.003132779339187488,0.020973237321100187,0.7796610169491526,0.38655725707169036,0.23064475998362877,0.0,0.08620689655172414,0.3837395979805249,1.0,0.8453947368421053,0.0015774877168414805,0.7371859870451686,0.6194608726521211
sf_native,9,0,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v180_rccp_fresh128/recovery_v183/vbench_comparison/published/sf_native/000009-0.mp4,477,60,59,16.0,29.8125,8,0.5,256,148,0.002688826290393907,0.0026513154879469316,0.0020940532332219056,0.004226759195003065,0.3220338983050847,0.11203896229386164,0.36364234571814796,0.03389830508474576,0.1896551724137931,0.5358696511271275,1.0,0.930921052631579,0.0010295443888518464,0.5468251662261014,0.2664268822617561
