method,dynamic_degree,motion_smoothness,overall_consistency,imaging_quality,aesthetic_quality,quality_score,semantic_score,total_score
sf_native,64.58333333333334,98.2182453149622,23.31038260832429,68.91810847272475,61.57389556368192,83.07279998652913,,
ours_interleaved10_reservoir2_motionpair1,72.5,97.99233209955104,23.329729260876775,71.32212069978317,62.52631564935049,83.85225914945403,,
ours_interleaved10_motionpair2,72.08333333333333,98.07219011865972,23.308419471917052,71.00969735383987,62.78304841369391,83.94326931727863,,
ours_middle10_reservoir2_motionpair1,74.58333333333333,98.0563694771111,24.225124816099804,71.06102258165677,62.6907613625129,84.03517583313811,,
ours_interleaved10_reservoir4_reference,79.58333333333333,98.14985030487782,23.86395137757063,71.24161357929309,62.6816597332557,84.57568826088816,,
ours_middle10_reservoir4_reference,77.91666666666667,98.00287509752354,23.946375572122633,70.79118690639734,63.011619001626975,84.27602248753507,,
ours_all_reservoir4_reference,83.33333333333334,97.7082423731638,24.13669644854963,69.68314876457056,61.80404425909122,83.71171273174019,,
ours_all_recent8_reference,72.91666666666666,97.96010084272093,23.085111151449382,70.78519302035372,61.98064514746269,83.56497386818893,,
