probe_name,policy,rank_group,target,context,unit_count,calibrated_layer_count,calibration_clipped_count,calibration_degenerate_count,calibration_max_relative_error,calibration_scale_min,calibration_scale_max,target_consistent,policy_or_shift_valid,integrity_pass
policy_random3_value_shift_t020,value_shift,random3,0.02,noisy_t500,64,1920,0,0,0.019844435155391693,0.06753616034984589,8.768961906433105,1,1,1
policy_random4_key_shift_t020,key_shift,random4,0.02,noisy_t1000,64,1920,0,0,0.018337368965148926,0.08443135768175125,9.6774263381958,1,1,1
policy_random4_key_shift_t020,key_shift,random4,0.02,noisy_t500,64,1920,0,0,0.021607428789138794,0.07573386281728745,13.795737266540527,1,1,0
policy_random4_policy_contrast_t020,policy_contrast,random4,0.02,noisy_t1000,64,1920,0,0,0.014393683522939682,0.06887712329626083,3.921971082687378,1,1,1
policy_random4_policy_contrast_t020,policy_contrast,random4,0.02,noisy_t500,64,1920,0,0,0.018477533012628555,0.06361031532287598,4.5231475830078125,1,1,1
policy_random4_value_shift_t020,value_shift,random4,0.02,noisy_t1000,64,1920,0,0,0.020291004329919815,0.08380123972892761,13.604951858520508,1,1,0
policy_random4_value_shift_t020,value_shift,random4,0.02,noisy_t500,64,1920,0,0,0.015686359256505966,0.0775589793920517,15.843024253845215,1,1,1
policy_random5_key_shift_t020,key_shift,random5,0.02,noisy_t1000,64,1920,0,0,0.01711733639240265,0.07168392837047577,10.283095359802246,1,1,1
policy_random5_key_shift_t020,key_shift,random5,0.02,noisy_t500,64,1920,0,0,0.02107946202158928,0.06475115567445755,15.484065055847168,1,1,0
policy_random5_policy_contrast_t020,policy_contrast,random5,0.02,noisy_t1000,64,1920,0,0,0.016954727470874786,0.052005086094141006,4.76747989654541,1,1,1
policy_random5_policy_contrast_t020,policy_contrast,random5,0.02,noisy_t500,64,1920,0,0,0.017509423196315765,0.04867737740278244,6.681089878082275,1,1,1
policy_random5_value_shift_t020,value_shift,random5,0.02,noisy_t1000,64,1920,0,0,0.01785559579730034,0.07020498812198639,10.74262523651123,1,1,1
policy_random5_value_shift_t020,value_shift,random5,0.02,noisy_t500,64,1920,0,0,0.01920275390148163,0.06596005707979202,14.31533432006836,1,1,1
policy_random6_key_shift_t020,key_shift,random6,0.02,noisy_t1000,64,1920,0,0,0.02252468839287758,0.07208629697561264,12.068948745727539,1,1,0
policy_random6_key_shift_t020,key_shift,random6,0.02,noisy_t500,64,1920,0,0,0.014744699001312256,0.06448215991258621,14.572297096252441,1,1,1
