probe_name,context,unit_count,selected_head_count,mean_x0_relative_rms,mean_raw_projected_relative_rms,mean_projected_relative_rms,mean_calibration_scale,max_calibration_relative_error,calibration_clipped_count,calibration_degenerate_count
native_replay,noisy_t1000,64,0,0.0,0.0,0.0,1.0,0.0,0,0
native_replay,noisy_t500,64,0,0.0,0.0,0.0,1.0,0.0,0,0
policy_bottom4_key_shift_t020,noisy_t1000,64,120,0.05318948382046074,0.06072786751362098,0.020016686385497452,0.9539933443884365,0.018029846251010895,0,0
policy_bottom4_key_shift_t020,noisy_t500,64,120,0.02337348149740137,0.062331322177124095,0.020014635219316308,1.1525465078069828,0.017401669174432755,0,0
policy_bottom4_policy_contrast_t020,noisy_t1000,64,120,0.04457562175230123,0.045425750533346826,0.02001539326350515,0.6957240232266486,0.022085104137659073,0,0
policy_bottom4_policy_contrast_t020,noisy_t500,64,120,0.020537062780931592,0.041315851679367674,0.02001369593005317,0.9340886847853351,0.01976415514945984,0,0
policy_bottom4_value_shift_t020,noisy_t1000,64,120,0.05662172849406488,0.06109686929600381,0.020014154160162435,0.8810288587546287,0.016898103058338165,0,0
policy_bottom4_value_shift_t020,noisy_t500,64,120,0.023422365469741635,0.06208955211544283,0.020017575779153658,1.0754992625947732,0.019223615527153015,0,0
policy_middle4_key_shift_t020,noisy_t1000,64,120,0.0619294325588271,0.074170574888376,0.02001472332825263,0.8171998566249385,0.016090180724859238,0,0
policy_middle4_key_shift_t020,noisy_t500,64,120,0.028409450969775207,0.07640742807246473,0.020018286232758937,0.8372641477947278,0.01766253262758255,0,0
policy_middle4_policy_contrast_t020,noisy_t1000,64,120,0.05346779161482118,0.05684899866149257,0.020015585282817484,0.6486250691426296,0.014335662126541138,0,0
policy_middle4_policy_contrast_t020,noisy_t500,64,120,0.026602905680192634,0.05512006059337485,0.020016622819821348,0.7016566264792345,0.016156304627656937,0,0
policy_middle4_value_shift_t020,noisy_t1000,64,120,0.059697786695323884,0.07445035394193837,0.020014664641348646,0.7881344069338715,0.019140634685754776,0,0
policy_middle4_value_shift_t020,noisy_t500,64,120,0.027898040716536343,0.07602019670557637,0.02001805851662842,0.8093544529867358,0.014946423470973969,0,0
policy_random0_key_shift_t020,noisy_t1000,64,120,0.053189985803328454,0.06982123459013868,0.020015945048847544,0.761698106796636,0.01779543235898018,0,0
policy_random0_key_shift_t020,noisy_t500,64,120,0.02383283997187391,0.07204288191060186,0.020014561205365072,0.8441665069704565,0.0205380842089653,0,0
policy_random0_policy_contrast_t020,noisy_t1000,64,120,0.04528020787984133,0.051892394567403244,0.020016038385801946,0.6845529709224745,0.018710270524024963,0,0
policy_random0_policy_contrast_t020,noisy_t500,64,120,0.020794892450794578,0.050127619410826205,0.020017892723747842,0.8114367599987115,0.017705652862787247,0,0
policy_random0_value_shift_t020,noisy_t1000,64,120,0.055557999439770356,0.06964188252477468,0.020015619034529662,0.7664651555862899,0.01662392169237137,0,0
policy_random0_value_shift_t020,noisy_t500,64,120,0.023645743989618495,0.07116833047020918,0.020017345014881963,0.8537148849805817,0.019191578030586243,0,0
policy_random1_key_shift_t020,noisy_t1000,64,120,0.055866038746898994,0.06729827915417748,0.020017272104936028,0.8407366334732311,0.019186735153198242,0,0
policy_random1_key_shift_t020,noisy_t500,64,120,0.02527818296221085,0.07134768516649881,0.02001981513846355,0.9217783104705934,0.020032096654176712,0,0
policy_random1_policy_contrast_t020,noisy_t1000,64,120,0.045390010927803814,0.05130082351873473,0.0200173260634377,0.6459425794814404,0.01826845109462738,0,0
policy_random1_policy_contrast_t020,noisy_t500,64,120,0.020895038673188537,0.05078329031457543,0.02002092012456463,0.7111318931293984,0.022130366414785385,0,0
policy_random1_value_shift_t020,noisy_t1000,64,120,0.05570784240262583,0.06726770718560147,0.020019076522051666,0.8310602803481741,0.01943567767739296,0,0
policy_random1_value_shift_t020,noisy_t500,64,120,0.024858907258021645,0.07097693529340177,0.020021238048017646,0.8861518183839507,0.023971963673830032,0,0
policy_random2_key_shift_t020,noisy_t1000,64,120,0.07139406009810045,0.07094553341521533,0.020017513502777244,0.8636106234470693,0.020210910588502884,0,0
