clusters,feature_count,split_label_agreement,split_ari,discovery_silhouette,validation_silhouette,bootstrap_ari_median,bootstrap_ari_p10,minimum_cluster_fraction,boundary_fraction,cluster_exact_layer_nmi,cluster_layer_band_nmi,passed
2,23,0.9555555555555556,0.8268195311931746,0.21834864996351985,0.2058485013585205,0.09140390119080706,0.00657648718063841,0.3138888888888889,0.05,0.023721203916494227,0.01424161831186375,0
3,23,0.9472222222222222,0.8479599221967643,0.2342512142079561,0.22124457473403988,0.6942138122941055,0.17438449833080585,0.022222222222222223,0.030555555555555555,0.06884741241455339,0.03193619137792626,0
4,23,0.8888888888888888,0.6783913752348516,0.1405618923079686,0.1251012752583915,0.47103675162211955,0.28427150219833447,0.022222222222222223,0.06944444444444445,0.061472390723157716,0.026942354378658825,0
5,23,0.9111111111111111,0.7693317333565141,0.13746606853770055,0.12861964901479164,0.38931993935247966,0.22430882179343492,0.002777777777777778,0.075,0.07282590466509387,0.029875479262716133,0
6,23,0.8972222222222223,0.7280864857579208,0.13276569019998366,0.11966872182254763,0.42880471421584143,0.23009035766896024,0.002777777777777778,0.06388888888888888,0.1109163292134882,0.042245143757051414,0
