clusters,feature_count,split_label_agreement,split_ari,discovery_silhouette,validation_silhouette,bootstrap_ari_median,bootstrap_ari_p10,minimum_cluster_fraction,boundary_fraction,cluster_exact_layer_nmi,cluster_layer_band_nmi,passed
2,21,0.9694444444444444,0.8749485624284163,0.2651424247438088,0.25417624690277,0.6860572668354449,0.010591486751210513,0.25555555555555554,0.025,0.038315985725018153,0.01224753583320399,0
3,21,0.925,0.7410822460651676,0.16114674307083982,0.14870486105879416,0.5943264439924263,0.23353161322489224,0.044444444444444446,0.041666666666666664,0.03476044596824091,0.010096292689448063,0
4,21,0.9222222222222223,0.7433559421878652,0.1643615227580743,0.15439860070514583,0.3772742821419369,0.20948567612353433,0.002777777777777778,0.041666666666666664,0.040211865505766,0.01537207332121396,0
5,21,0.9472222222222222,0.8479005035249461,0.15618365384604763,0.1537245692563571,0.5591974837694524,0.28740441183587295,0.002777777777777778,0.03333333333333333,0.10304815869613565,0.037382833086582724,0
6,21,0.9222222222222223,0.7929936035584296,0.13814342820867717,0.1295121947530298,0.49801817369777435,0.3476645740268207,0.002777777777777778,0.05,0.08582412288041881,0.03858703434405116,0
