switch_type,layer,head,switch_residual,switch_residual_samples,paraphrase_residual,paraphrase_residual_samples,parity_residual,parity_residual_samples,residual_log_ratio,residual_log_ratio_samples,query_log_ratio,query_log_ratio_samples,prompt_history_excess,prompt_history_excess_samples,native_log_ratio,native_log_ratio_samples,current_key_log_ratio,current_key_log_ratio_samples,switch_temporal_js,switch_temporal_js_samples,paraphrase_temporal_js,paraphrase_temporal_js_samples,temporal_js_excess,temporal_js_excess_samples,switch_temporal_w1,switch_temporal_w1_samples,paraphrase_temporal_w1,paraphrase_temporal_w1_samples,temporal_w1_excess,temporal_w1_excess_samples,previous_episode_mass,previous_episode_mass_samples,returned_a1_mass,returned_a1_mass_samples
identity_scene,1,0,0.01330919237807393,192,0.006474318681284785,192,0.0,192,0.7394433901255594,192,0.6469005776767818,192,0.18156412504405295,192,0.5019197534815547,192,0.537881440652105,192,9.267932910006493e-05,192,2.7065281756222248e-05,192,6.129116809461266e-05,192,0.0695745088160038,192,0.0395117849111557,192,0.030279308557510376,192,0.9926007091999054,192,0.0,192
identity_scene,1,1,0.009010234847664833,192,0.0046551155392080545,192,0.0,192,0.44745776510635105,192,0.6498680737952167,192,-0.169740545620429,192,0.5103803754371613,192,0.6404121191391023,192,4.905014066025615e-05,192,1.4699766779813217e-05,192,2.9433325835270807e-05,192,0.04689962416887283,192,0.02558588981628418,192,0.01692110300064087,192,0.9999322891235352,192,0.0,192
identity_scene,1,2,0.01191161759197712,192,0.0082767722196877,192,0.0,192,0.3594116529509248,192,0.6628244351821575,192,-0.3048190880339972,192,0.5288719144360958,192,0.7482782926012634,192,9.75055736489594e-05,192,2.9441147489706054e-05,192,4.5610679080709815e-05,192,0.10451387241482735,192,0.06867680326104164,192,0.03270241990685463,192,0.971525251865387,192,0.0,192
identity_scene,1,3,0.011298995465040207,192,0.004258163971826434,192,0.0,192,0.9322393035141083,192,0.6968506908184173,192,0.2762976458815094,192,0.6029019445827629,192,0.6925342827433747,192,9.42513215704821e-05,192,3.257004573242739e-05,192,6.662075611529872e-05,192,0.10441173985600471,192,0.0516595933586359,192,0.04751367121934891,192,0.9748285412788391,192,0.0,192
identity_scene,1,4,0.010202892124652863,192,0.005305856699123979,192,0.0,192,0.2547665184500754,192,0.6885945198448641,192,-0.4770260941186095,192,0.39940459901030806,192,0.5478230077580166,192,5.6205346481874585e-05,192,1.2673663150053471e-05,192,3.116705920547247e-05,192,0.05650210566818714,192,0.028593899682164192,192,0.01896322052925825,192,0.7343916594982147,192,0.0,192
identity_scene,1,5,0.0038679023273289204,192,0.0019560365471988916,192,0.0,192,0.7429079866973296,192,0.5718740730986529,192,0.09392629926089957,192,0.5088481843430499,192,0.6960283104805389,192,1.7999427655013278e-06,192,7.264543455676176e-07,192,8.321403583977371e-07,192,0.012011799961328506,192,0.006986364722251892,192,0.0029614977538585663,192,0.9819965660572052,192,0.0,192
identity_scene,1,6,0.003988975891843438,192,0.003906363737769425,192,0.0,192,0.09907680599638019,192,0.4213735288966725,192,-0.27001438462992416,192,0.5320562979181511,192,0.4668952236108339,192,1.0169907909585163e-05,192,6.495934940176085e-06,192,3.437111445236951e-06,192,0.026204075664281845,192,0.026254475116729736,192,0.00034141167998313904,192,0.9935358166694641,192,0.0,192
identity_scene,1,7,0.012823062017560005,192,0.0066348169930279255,192,0.0,192,0.5463617609542509,192,0.35802473282826675,192,0.15555841157541572,192,0.43428763846812724,192,0.6356184485441265,192,2.8744103474309668e-05,192,1.0272689905832522e-05,192,1.4959843610995449e-05,192,0.034890927374362946,192,0.021667920984327793,192,0.011626755818724632,192,0.9316242337226868,192,0.0,192
identity_scene,1,8,0.014077020343393087,192,0.01053621293976903,192,0.0,192,0.21591173641649533,192,0.698146625372633,192,-0.3745474400247517,192,0.6142143107803291,192,0.6999673550209595,192,0.00013733006926486269,192,7.888605614425614e-05,192,2.6368434191681445e-05,192,0.0904577225446701,192,0.10174080729484558,192,-0.028760939836502075,192,0.9993323087692261,192,0.0,192
identity_scene,1,9,0.0075664815958589315,192,0.0041822707280516624,192,0.0,192,0.5182784446757192,192,0.4508374871576488,192,0.047418878190042146,192,0.5073077117114602,192,0.4705851464496964,192,9.395380038768053e-05,192,4.037265898659825e-05,192,4.0752580389380455e-05,192,0.07094773650169373,192,0.03692803345620632,192,0.023999473080039024,192,0.952435702085495,192,0.0,192
identity_scene,1,10,0.011671157088130713,192,0.005969287129119039,192,0.0,192,0.5576674404112344,192,0.5699810282400686,192,-0.04371803429488408,192,0.5246882048350394,192,0.7029769578670544,192,2.118373231496662e-05,192,5.925483492319472e-06,192,1.3541888620238751e-05,192,0.045081861317157745,192,0.022373300045728683,192,0.013572719879448414,192,0.9274313747882843,192,0.0,192
identity_scene,1,11,0.027425508946180344,192,0.018748348578810692,192,0.0,192,0.12684135261786172,192,0.5892616784886684,192,-0.3419363912222678,192,0.5493813993438517,192,0.7048179097872427,192,0.00041601354314479977,192,0.00016183174011530355,192,0.00016974845493678004,192,0.14508695900440216,192,0.1080506332218647,192,0.03670269623398781,192,0.9515414237976074,192,0.0,192
identity_scene,2,0,0.010415047407150269,192,0.0046527034137398005,192,0.0,192,0.6729381818261442,192,0.5685214335469699,192,0.14905046546005124,192,0.6387891742034045,192,0.5713578734761476,192,3.586088860174641e-05,192,1.541657911729999e-05,192,1.1752541468013078e-05,192,0.04801144823431969,192,0.03941997326910496,192,0.0021907156333327293,192,0.9251039624214172,192,0.0,192
identity_scene,2,1,0.012371469754725695,192,0.005546786822378635,192,0.0,192,0.6018837121775622,192,0.5513764692688086,192,0.061967256487516276,192,0.5870460075268331,192,0.6491396655674929,192,6.507015132228844e-05,192,1.1391497537260875e-05,192,4.491132131079212e-05,192,0.04632575809955597,192,0.028758913278579712,192,0.013823743909597397,192,0.890180766582489,192,0.0,192
identity_scene,2,2,0.011731606908142567,192,0.011848896741867065,192,0.0,192,-0.034077448546012384,192,0.2127150606735485,192,-0.1333506173517668,192,0.4297013999304101,192,0.2696832993442939,192,2.951369242509827e-05,192,1.5453373634954914e-05,192,1.1469594028312713e-05,192,0.04168926179409027,192,0.027377563528716564,192,0.012074503116309643,192,0.8428038954734802,192,0.0,192
identity_scene,2,3,0.0043279200326651335,192,0.0015267282724380493,192,0.0,192,0.6107704042721286,192,0.5790338189557243,192,0.02771818345473675,192,0.48433630784683745,192,0.5161119180245819,192,0.0001099543587770313,192,3.464917972451076e-05,192,4.048873233841732e-05,192,0.09215503931045532,192,0.0411190539598465,192,0.024581611156463623,192,0.9989413619041443,192,0.0,192
identity_scene,2,4,0.004905487177893519,192,0.002353904885239899,192,0.0,192,0.5679099383155762,192,0.5644880709513744,192,0.04986025789277526,192,0.520715028620647,192,0.46576309684875633,192,4.2603562178555876e-05,192,9.257333658752032e-06,192,2.8591755835805088e-05,192,0.03380483761429787,192,0.016123739071190357,192,0.014770667999982834,192,0.9999177157878876,192,0.0,192
identity_scene,2,5,0.007554500829428434,192,0.004693023627623916,192,0.0,192,0.3780595360614599,192,0.4406075759727546,192,-0.08887345535434697,192,0.37351351226540386,192,0.5816585533427101,192,2.758376649580896e-05,192,1.3270298950374126e-05,192,1.1501091648824513e-05,192,0.029003022238612175,192,0.01917858049273491,192,0.01092291809618473,192,0.8804093599319458,192,0.0,192
identity_scene,2,6,0.010704605840146542,192,0.005577027332037687,192,0.0,192,0.6780473461760861,192,0.5549178352155668,192,0.10162653065909821,192,0.5336805488355738,192,0.6104375879673545,192,2.0259711163816974e-05,192,6.287054929998703e-06,192,1.2254342436790466e-05,192,0.040648164227604866,192,0.022623099386692047,192,0.01853317953646183,192,0.9513953924179077,192,0.0,192
identity_scene,2,7,0.00492622796446085,192,0.0020893278997391462,192,0.0,192,0.6020309863640037,192,0.4899856429551033,192,0.24400361427205483,192,0.5134702455481255,192,0.5437038424171272,192,8.079967665253207e-05,192,4.33011882705614e-05,192,8.20946297608316e-06,192,0.08095327019691467,192,0.04335424304008484,192,0.008414775133132935,192,0.9992869198322296,192,0.0,192
identity_scene,2,8,0.011826448142528534,192,0.009207603987306356,192,0.0,192,0.20191745668940417,192,0.38376136116395443,192,-0.10646136878293708,192,0.6173694800421314,192,0.49421323974107445,192,0.00017293444398092106,192,0.00013163468975108117,192,3.1497438612859696e-06,192,0.12874358892440796,192,0.17321635782718658,192,0.00077095627784729,192,0.9944290816783905,192,0.0,192
