episode_label,boundary_phase,layer,head,switch_residual,switch_residual_samples,paraphrase_residual,paraphrase_residual_samples,parity_residual,parity_residual_samples,residual_log_ratio,residual_log_ratio_samples,query_log_ratio,query_log_ratio_samples,prompt_history_excess,prompt_history_excess_samples,native_log_ratio,native_log_ratio_samples,current_key_log_ratio,current_key_log_ratio_samples,switch_temporal_js,switch_temporal_js_samples,paraphrase_temporal_js,paraphrase_temporal_js_samples,temporal_js_excess,temporal_js_excess_samples,switch_temporal_w1,switch_temporal_w1_samples,paraphrase_temporal_w1,paraphrase_temporal_w1_samples,temporal_w1_excess,temporal_w1_excess_samples,previous_episode_mass,previous_episode_mass_samples,returned_a1_mass,returned_a1_mass_samples
A1,pre_b,0,0,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96
A1,pre_b,0,1,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96
A1,pre_b,0,2,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96
A1,pre_b,0,3,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96
A1,pre_b,0,4,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96
A1,pre_b,0,5,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96
A1,pre_b,0,6,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96
A1,pre_b,0,7,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96
A1,pre_b,0,8,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96
A1,pre_b,0,9,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96
A1,pre_b,0,10,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96
A1,pre_b,0,11,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96,0.0,96
A1,pre_b,1,0,0.01541650015860796,96,0.008595739956945181,96,0.0,96,0.47526460471746657,96,0.6044471918848069,96,0.01121708011746031,96,0.5266444757319368,96,0.5737168477301224,96,8.470933244097978e-05,96,2.112188667524606e-05,96,5.374362808652222e-05,96,0.0785657986998558,96,0.033520281314849854,96,0.032322708517313004,96,0.0,96,0.0,96
