clusters,feature_count,split_label_agreement,split_ari,discovery_silhouette,validation_silhouette,bootstrap_ari_median,bootstrap_ari_p10,minimum_cluster_fraction,boundary_fraction,cluster_exact_layer_nmi,cluster_layer_band_nmi,passed
2,23,0.9833333333333333,0.8495901626696969,0.40120880137600634,0.3764517980159902,0.08217989230239917,-0.04066200560423824,0.06111111111111111,0.0,0.052031534407147716,0.03265846388343956,0
3,23,0.9611111111111111,0.7453951656258041,0.44377569419616125,0.39148586688604664,0.15760271147268984,0.053007281560118746,0.025,0.011111111111111112,0.10140859851892964,0.06249341913243969,0
4,23,0.9305555555555556,0.8323082627942177,0.17323335535330603,0.16999581604118677,0.7934911444935704,0.36631044291579373,0.03611111111111111,0.03888888888888889,0.16702066712970529,0.10302304727235352,0
5,23,0.9138888888888889,0.7923670193147604,0.17330556189170304,0.1738573041122082,0.6190236560785543,0.3333583155326575,0.002777777777777778,0.044444444444444446,0.16184729510447135,0.09618191293157519,0
6,23,0.8861111111111111,0.7221312632550834,0.16769287473168756,0.14860912187785202,0.5454497890989622,0.39237632320465504,0.002777777777777778,0.06111111111111111,0.22388607527069115,0.18880337256659932,0
