layer,head,discovery_raw__v136_prompt__age_js_score,validation_raw__v136_prompt__age_js_score,discovery_weighted__v136_prompt__age_js_score,validation_weighted__v136_prompt__age_js_score,discovery_raw__v136_prompt__cphi_score,validation_raw__v136_prompt__cphi_score,discovery_weighted__v136_prompt__cphi_score,validation_weighted__v136_prompt__cphi_score,discovery_raw__v136_temporal__middle_recent_margin,validation_raw__v136_temporal__middle_recent_margin,discovery_weighted__v136_temporal__middle_recent_margin,validation_weighted__v136_temporal__middle_recent_margin,discovery_raw__v136_temporal__old_mass_excess,validation_raw__v136_temporal__old_mass_excess,discovery_weighted__v136_temporal__old_mass_excess,validation_weighted__v136_temporal__old_mass_excess,discovery_raw__v136_temporal__spectral_peak_ratio,validation_raw__v136_temporal__spectral_peak_ratio,discovery_weighted__v136_temporal__spectral_peak_ratio,validation_weighted__v136_temporal__spectral_peak_ratio,discovery_raw__v136_temporal__temporal_reach_ratio,validation_raw__v136_temporal__temporal_reach_ratio,discovery_weighted__v136_temporal__temporal_reach_ratio,validation_weighted__v136_temporal__temporal_reach_ratio,discovery_raw__v138_cross__history_specificity,validation_raw__v138_cross__history_specificity,discovery_weighted__v138_cross__history_specificity,validation_weighted__v138_cross__history_specificity
0,0,0.0,0.0,0.7353270361647207,0.7353270361647207,0.0,0.0,0.6434329879447769,0.6434329879447769,-1.493808925151825,-1.4790969491004944,-0.05722040616005132,-0.05047922101083638,-0.19891715049743652,-0.1981092095375061,-0.005010025055271972,-0.0036147558901067785,0.755324125289917,0.7580402493476868,0.7061904429380854,0.7146478096224841,0.1569783017039299,0.15705819427967072,-0.5310246725513519,-0.5307484205615157,-0.06871426105499268,-0.06823776662349701,-1.1042525372742797,-1.0971737101387757
0,1,0.0,0.0,0.7353270361647207,0.7353270361647207,0.0,0.0,0.6434329879447769,0.6434329879447769,-1.8726006150245667,-1.8952306509017944,-0.2307868193670126,-0.2411561444154973,-0.5585696697235107,-0.5672459304332733,-0.6261099508386354,-0.6410933712092384,0.7029291689395905,0.7075254023075104,0.5430449647335196,0.557356546286052,0.15246587991714478,0.16154610365629196,-0.5466276930575812,-0.5152301588957752,-0.010177403688430786,-0.00809711217880249,-0.23462580721391968,-0.20372088364137772
0,2,0.0,0.0,0.7353270361647207,0.7353270361647207,0.0,0.0,0.6434329879447769,0.6434329879447769,-0.23303115367889404,0.0009623938240110874,0.5204814851331285,0.6276998371706201,-0.0031855106353759766,0.0008086562156677246,0.33300764614965217,0.33990535046738624,0.5118353068828583,0.4996938109397888,-0.051976038791156504,-0.08978178002522696,0.18822909891605377,0.1910381242632866,-0.42296588443789046,-0.41325285623123037,-0.1421235203742981,-0.12733107805252075,-2.194824477927644,-1.9750671519519931
0,3,0.0,0.0,0.7353270361647207,0.7353270361647207,0.0,0.0,0.6434329879447769,0.6434329879447769,-0.20709603279829025,-0.1785406991839409,0.532365235562943,0.5454495955578412,-0.0016089975833892822,-0.001493692398071289,0.33573019663169107,0.3359293222827432,0.45439276099205017,0.45555949211120605,-0.23083851471313896,-0.2272055904847433,0.16384895145893097,0.18249031156301498,-0.5072673878639252,-0.44280942322510736,-0.20025617629289627,-0.17313624918460846,-3.0584463693394714,-2.655551260314919
0,4,0.0,0.0,0.7353270361647207,0.7353270361647207,0.0,0.0,0.6434329879447769,0.6434329879447769,0.31564779579639435,0.31287209689617157,0.7718920619981685,0.7706202070046864,0.15488433837890625,0.1518574059009552,0.6059854962773886,0.6007581520022749,0.8384134769439697,0.8360885679721832,0.9649109945627701,0.9576717789510975,0.4377404898405075,0.43056362867355347,0.43979285866836904,0.4149767583015359,-0.01007726788520813,-0.007287859916687012,-0.23313818428648475,-0.19169858811412524
0,5,0.0,0.0,0.7353270361647207,0.7353270361647207,0.0,0.0,0.6434329879447769,0.6434329879447769,0.8451910018920898,0.8561264872550964,1.0145344360983575,1.0195451927276065,0.1912878155708313,0.19202882051467896,0.6688522795570254,0.6701319539400084,0.7617062926292419,0.757207602262497,0.7260629996703374,0.712055143909001,0.5009419918060303,0.4953426569700241,0.6583305702981836,0.6389692294493947,-0.006936907768249512,-0.00877690315246582,-0.18648482394940089,-0.21381989524101788
0,6,0.0,0.0,0.7353270361647207,0.7353270361647207,0.0,0.0,0.6434329879447769,0.6434329879447769,-0.12030090391635895,-0.15294044464826584,0.5721356941200826,0.557179906638412,0.026278555393218994,0.027045875787734985,0.38389045176162445,0.3852155714663647,0.6428497433662415,0.6292748749256134,0.3559718703333073,0.3137029468036758,0.4658883064985275,0.43794168531894684,0.5371221823160083,0.44048855098707984,-0.025457680225372314,-0.02621522545814514,-0.461630424766708,-0.4728845578597046
0,7,0.0,0.0,0.7353270361647207,0.7353270361647207,0.0,0.0,0.6434329879447769,0.6434329879447769,-0.6924968063831329,-0.7038539052009583,0.3099493972764439,0.3047454528422109,-0.053634583950042725,-0.05341464281082153,0.24588489845138634,0.24626472458340104,0.625210702419281,0.628528892993927,0.3010480766933142,0.3113801358414297,0.33483777940273285,0.357455849647522,0.0839765859499727,0.16218519111057525,-0.0023698806762695312,-0.003428161144256592,-0.1186368216006391,-0.1343586936700482
0,8,0.0,0.0,0.7353270361647207,0.7353270361647207,0.0,0.0,0.6434329879447769,0.6434329879447769,-0.4574960470199585,-0.34754136204719543,0.4176292645863143,0.46801168003063254,-0.0031653642654418945,-0.002604156732559204,0.3330424378116091,0.3340116120517133,0.4254526048898697,0.4252668619155884,-0.320951302956269,-0.32152966256324433,0.17194075137376785,0.18906386196613312,-0.47928761869135955,-0.42007944659948304,-0.1317751705646515,-0.12510137259960175,-2.0410888315103772,-1.9419425267286492
0,9,0.0,0.0,0.7353270361647207,0.7353270361647207,0.0,0.0,0.6434329879447769,0.6434329879447769,-0.2837866395711899,-0.32736654579639435,0.4972247773635839,0.4772559971246466,-0.007616132497787476,-0.01202625036239624,0.32535620826777784,0.31774017965132706,0.6584891080856323,0.6188364624977112,0.40466914605772414,0.2812002040614161,0.27575236558914185,0.2842806428670883,-0.1203285448452842,-0.09083952729814321,-0.10281307995319366,-0.10684242099523544,-1.6108264415013591,-1.6706865507099276
