comparison,channel,family,intervention,control,comparison_group,metric,effect_definition,context,unit_count,prompt_count,mean_effect,median_effect,positive_fraction,prompt_bootstrap_mean_ci_low,prompt_bootstrap_mean_ci_high,seed_replicate_spearman
susceptibility:signed:uniform>key_shift:high>low,susceptibility,signed,uniform,key_shift,high>low,pair_log_effect_difference,difference_of_log_ratios,noisy_t1000,64,32,-0.018945202187367075,-0.015090411867768161,0.421875,-0.03548573361035627,-0.0035870516514212953,-0.12060117302052785
susceptibility:signed:uniform>key_shift:high>low,susceptibility,signed,uniform,key_shift,high>low,pair_log_effect_difference,difference_of_log_ratios,noisy_t250,64,32,0.0804011229183681,0.09157454725946959,0.859375,0.06189680384715121,0.09798315897825033,0.12573313782991202
susceptibility:signed:uniform>key_shift:high>low,susceptibility,signed,uniform,key_shift,high>low,pair_log_effect_difference,difference_of_log_ratios,noisy_t500,64,32,0.05548807787031844,0.0697569214343681,0.78125,0.03861194450283866,0.07219918589830664,-0.019061583577712607
susceptibility:signed:uniform>key_shift:high>low,susceptibility,signed,uniform,key_shift,high>low,pair_log_effect_difference,difference_of_log_ratios,noisy_t750,64,32,0.03276356076776489,0.04297990726759282,0.65625,0.016995229791052543,0.04803958352260914,-0.06928152492668621
susceptibility:signed:uniform>key_shift:high>low,susceptibility,signed,uniform,key_shift,high>low,pair_log_effect_difference,difference_of_log_ratios,pooled,256,32,0.03742688984227109,0.041358744156453825,0.6796875,0.02134350755041872,0.053025104563126736,-0.025293255131964804
susceptibility:signed:uniform>value_shift:high>low,susceptibility,signed,uniform,value_shift,high>low,pair_log_effect_difference,difference_of_log_ratios,noisy_t1000,64,32,-0.02055797630708502,-0.013472598155050142,0.421875,-0.03729602338198593,-0.004341963105654752,-0.10740469208211142
susceptibility:signed:uniform>value_shift:high>low,susceptibility,signed,uniform,value_shift,high>low,pair_log_effect_difference,difference_of_log_ratios,noisy_t250,64,32,0.07622905621851729,0.0773252346515953,0.828125,0.05799890616187914,0.0949508913017724,0.13746334310850436
susceptibility:signed:uniform>value_shift:high>low,susceptibility,signed,uniform,value_shift,high>low,pair_log_effect_difference,difference_of_log_ratios,noisy_t500,64,32,0.05314341803296103,0.06257633527404433,0.765625,0.0363705015448163,0.06964986680203826,-0.0018328445747800585
susceptibility:signed:uniform>value_shift:high>low,susceptibility,signed,uniform,value_shift,high>low,pair_log_effect_difference,difference_of_log_ratios,noisy_t750,64,32,0.030688375305291043,0.03916016961238808,0.65625,0.014461319099827502,0.04705142340183946,-0.11107038123167154
susceptibility:signed:uniform>value_shift:high>low,susceptibility,signed,uniform,value_shift,high>low,pair_log_effect_difference,difference_of_log_ratios,pooled,256,32,0.03487571831242109,0.0374692554644413,0.66796875,0.01857204445327366,0.05123109885170981,-0.08394428152492668
leverage:signed:uniform>key_shift:high>low,leverage,signed,uniform,key_shift,high>low,pair_log_effect_difference,difference_of_log_ratios,noisy_t1000,64,32,-0.16025855772000996,-0.13701232845011907,0.328125,-0.27762831911217956,-0.03643586622695227,0.219941348973607
leverage:signed:uniform>key_shift:high>low,leverage,signed,uniform,key_shift,high>low,pair_log_effect_difference,difference_of_log_ratios,noisy_t250,64,32,-0.056832212287158304,-0.041388789877484136,0.40625,-0.11653948199307804,-0.0006449440818989653,0.5051319648093842
leverage:signed:uniform>key_shift:high>low,leverage,signed,uniform,key_shift,high>low,pair_log_effect_difference,difference_of_log_ratios,noisy_t500,64,32,-0.04211860716163027,-0.03939790168468929,0.453125,-0.10980317107098707,0.024517320433501313,0.34750733137829903
leverage:signed:uniform>key_shift:high>low,leverage,signed,uniform,key_shift,high>low,pair_log_effect_difference,difference_of_log_ratios,noisy_t750,64,32,-0.03088956291089694,-0.037205078052892616,0.40625,-0.10563776379221819,0.044107969555028124,0.11107038123167154
leverage:signed:uniform>key_shift:high>low,leverage,signed,uniform,key_shift,high>low,pair_log_effect_difference,difference_of_log_ratios,pooled,256,32,-0.07252473501992386,-0.05158755226016237,0.3984375,-0.13626787197751822,-0.011482045602768928,0.3214809384164222
leverage:signed:uniform>value_shift:high>low,leverage,signed,uniform,value_shift,high>low,pair_log_effect_difference,difference_of_log_ratios,noisy_t1000,64,32,-0.03954833723548834,0.01030427897101776,0.515625,-0.17659500916196674,0.0942331495566738,0.3823313782991202
leverage:signed:uniform>value_shift:high>low,leverage,signed,uniform,value_shift,high>low,pair_log_effect_difference,difference_of_log_ratios,noisy_t250,64,32,-0.10530831799188808,-0.08268281107947206,0.265625,-0.15744183740889275,-0.05694341005341734,0.345307917888563
leverage:signed:uniform>value_shift:high>low,leverage,signed,uniform,value_shift,high>low,pair_log_effect_difference,difference_of_log_ratios,noisy_t500,64,32,-0.051213151279692504,-0.024112373460890277,0.453125,-0.12494815115854514,0.017560392854451122,0.4629765395894428
leverage:signed:uniform>value_shift:high>low,leverage,signed,uniform,value_shift,high>low,pair_log_effect_difference,difference_of_log_ratios,noisy_t750,64,32,0.007170477729304384,0.011313426310005231,0.515625,-0.0808051858707821,0.09285988719235172,0.3984604105571847
leverage:signed:uniform>value_shift:high>low,leverage,signed,uniform,value_shift,high>low,pair_log_effect_difference,difference_of_log_ratios,pooled,256,32,-0.04722483219444114,-0.034625332989781016,0.4375,-0.12068996320500909,0.02102568203573253,0.5553519061583576
