probe_name,context,unit_count,selected_head_count,mean_x0_relative_rms,mean_raw_projected_relative_rms,mean_projected_relative_rms,mean_calibration_scale,max_calibration_relative_error,calibration_clipped_count,calibration_degenerate_count
native_replay,noisy_t1000,64,0,0.0,0.0,0.0,1.0,0.0,0,0
native_replay,noisy_t250,64,0,0.0,0.0,0.0,1.0,0.0,0,0
native_replay,noisy_t500,64,0,0.0,0.0,0.0,1.0,0.0,0,0
native_replay,noisy_t750,64,0,0.0,0.0,0.0,1.0,0.0,0,0
random0_uniform_t020,noisy_t1000,64,120,0.041340234311064705,0.0632625807823691,0.02000004816024254,0.5594298092687193,0.015123654156923294,0,0
random0_uniform_t020,noisy_t250,64,120,0.01619011812726967,0.057820728217363164,0.020000663338578306,0.6551517503840538,0.019617285579442978,0,0
random0_uniform_t020,noisy_t500,64,120,0.02351945816189982,0.06085831911708131,0.019999995555068983,0.6270295790280216,0.0192263163626194,0,0
random0_uniform_t020,noisy_t750,64,120,0.03201704501407221,0.06256972445286617,0.020002225601153136,0.6012618933338671,0.018656253814697266,0,0
random1_uniform_t020,noisy_t1000,64,120,0.03569157715537585,0.05307013879161483,0.02000112486324118,0.601671817107126,0.019409507513046265,0,0
random1_uniform_t020,noisy_t250,64,120,0.013784697715891525,0.049328653975074604,0.020000760281497304,0.7372058045933954,0.02114139497280121,0,0
random1_uniform_t020,noisy_t500,64,120,0.019441626005573198,0.051365722166762384,0.020000920610618776,0.682025822562476,0.018861331045627594,0,0
random1_uniform_t020,noisy_t750,64,120,0.02693848841590807,0.05241912645166546,0.020000669254416913,0.6451403334348773,0.017562322318553925,0,0
random2_uniform_t020,noisy_t1000,64,120,0.039718635322060436,0.04933232072326063,0.020001359381907,0.798627055940839,0.01814328134059906,0,0
random2_uniform_t020,noisy_t250,64,120,0.014662988876807503,0.0455321946911378,0.020002560410648584,0.9509134787251242,0.020825862884521484,0,0
random2_uniform_t020,noisy_t500,64,120,0.021117205847986042,0.047594975448373586,0.020001394298742526,0.9038449604529888,0.021743960678577423,0,0
random2_uniform_t020,noisy_t750,64,120,0.029294800508068874,0.04860761841361333,0.02000105969782453,0.8760969519848004,0.02122623845934868,0,0
random3_uniform_t020,noisy_t1000,64,120,0.05081484100082889,0.05340586907890005,0.020002792728094694,0.5886930671326505,0.019117631018161774,0,0
random3_uniform_t020,noisy_t250,64,120,0.01975104055600241,0.050241710486322214,0.020001925414544527,0.7135508066702945,0.017476454377174377,0,0
random3_uniform_t020,noisy_t500,64,120,0.029754737188341096,0.05173860535905988,0.020001122989924625,0.6726061283106295,0.018825940787792206,0,0
random3_uniform_t020,noisy_t750,64,120,0.04053044755710289,0.052476204583460154,0.020003009946473565,0.6429283855676962,0.019013043493032455,0,0
random4_uniform_t020,noisy_t1000,64,120,0.039766930596670136,0.05476519218185179,0.02000176128252254,0.6130135002254974,0.018301699310541153,0,0
random4_uniform_t020,noisy_t250,64,120,0.015000397834228352,0.04961374744064718,0.02000216150772758,0.7356736866524443,0.019384361803531647,0,0
random4_uniform_t020,noisy_t500,64,120,0.021384689229307696,0.052459994051605466,0.020001711530494508,0.6840795998228713,0.018613971769809723,0,0
random4_uniform_t020,noisy_t750,64,120,0.028207642229972407,0.05389245925277161,0.019999685206372915,0.650846066417095,0.01981845125555992,0,0
random5_uniform_t020,noisy_t1000,64,120,0.042296306521166116,0.05782285655222949,0.01999909375153948,0.6134692001234119,0.020454172044992447,0,0
random5_uniform_t020,noisy_t250,64,120,0.01601631610537879,0.053107919606312254,0.020000786858145148,0.7550559241014223,0.020893849432468414,0,0
random5_uniform_t020,noisy_t500,64,120,0.024307300889631733,0.05605520651042752,0.020000741875264794,0.6876683873066213,0.0219712033867836,0,0
random5_uniform_t020,noisy_t750,64,120,0.0334355362720089,0.057710640651930586,0.02000208654887198,0.6516103894507977,0.021325424313545227,0,0
random6_uniform_t020,noisy_t1000,64,120,0.037459555227542296,0.06097419997046624,0.02000067988410592,0.7808912711916491,0.024075806140899658,0,0
random6_uniform_t020,noisy_t250,64,120,0.015023712287074886,0.05644651648338671,0.020000611632713116,0.8731182628932099,0.01888750120997429,0,0
random6_uniform_t020,noisy_t500,64,120,0.020701991219539195,0.059121120983521305,0.02000143835612107,0.8300202942026469,0.020471680909395218,0,0
random6_uniform_t020,noisy_t750,64,120,0.028015187563141808,0.0605624558639344,0.02000017894121508,0.8139990192954429,0.020603835582733154,0,0
random7_uniform_t020,noisy_t1000,64,120,0.043594417424174026,0.05230166533777568,0.020000555731045706,0.658671482776602,0.01802230253815651,0,0
random7_uniform_t020,noisy_t250,64,120,0.01595286445808597,0.049124102125521554,0.02000064208114054,0.7177812280113964,0.02091275528073311,0,0
random7_uniform_t020,noisy_t500,64,120,0.023566693591419607,0.050947219993395264,0.0200024185081323,0.7055042501403174,0.01925630494952202,0,0
random7_uniform_t020,noisy_t750,64,120,0.033240925913560204,0.051746810966384754,0.02000213189458009,0.6951035496875799,0.018195994198322296,0,0
scalar_high4_boundary_t020,noisy_t1000,64,120,0.05430195512599312,0.06988007787876996,0.020000841553943854,0.46240209829605494,0.027257297188043594,0,0
scalar_high4_boundary_t020,noisy_t250,64,120,0.017837358245742507,0.0644641543845258,0.020001327395827197,0.5065264734051501,0.020156148821115494,0,0
scalar_high4_boundary_t020,noisy_t500,64,120,0.026594651280902326,0.06772340768293361,0.019999812641375077,0.49679019015748055,0.018094200640916824,0,0
scalar_high4_boundary_t020,noisy_t750,64,120,0.03917155010276474,0.06932269070166512,0.020000149171877032,0.4889693534894225,0.020683743059635162,0,0
scalar_high4_key_shift_t020,noisy_t1000,64,120,0.06319224971230142,0.07090268223752598,0.020001864177174866,0.6558381878615667,0.020061340183019638,0,0
scalar_high4_key_shift_t020,noisy_t250,64,120,0.019915336786652915,0.07402340378163597,0.020000004326963486,0.662176218306801,0.021125562489032745,0,0
scalar_high4_key_shift_t020,noisy_t500,64,120,0.03075343687669374,0.07476387641108886,0.02000108519375014,0.6541361494533097,0.022744573652744293,0,0
scalar_high4_key_shift_t020,noisy_t750,64,120,0.044721627491526306,0.0736600271743858,0.020000714191701262,0.6527685583801941,0.024968106299638748,0,0
scalar_high4_uniform_t020,noisy_t1000,64,120,0.050321371032623574,0.056344751546324304,0.020001297680816304,0.651708446930085,0.019161589443683624,0,0
scalar_high4_uniform_t020,noisy_t250,64,120,0.01748140566633083,0.05342875362669777,0.019999560304374123,0.6920472104956086,0.022060144692659378,0,0
scalar_high4_uniform_t020,noisy_t500,64,120,0.02573575612041168,0.0557835099590496,0.020001594729061857,0.6822499656622919,0.02382975071668625,0,0
scalar_high4_uniform_t020,noisy_t750,64,120,0.03651331615401432,0.05673191032716811,0.020001558907097206,0.6761321009330762,0.017224345356225967,0,0
scalar_high4_value_shift_t020,noisy_t1000,64,120,0.05989134818082675,0.0715935771423877,0.02000026268651709,0.6387670855658749,0.02390919253230095,0,0
scalar_high4_value_shift_t020,noisy_t250,64,120,0.02054464766115416,0.07377783647122366,0.020000756940377565,0.6406994460344625,0.02409936860203743,0,0
scalar_high4_value_shift_t020,noisy_t500,64,120,0.030703208452905528,0.07476215525978963,0.020000194134384704,0.6422348413111953,0.01814449205994606,0,0
scalar_high4_value_shift_t020,noisy_t750,64,120,0.04470690415473655,0.07397972920104318,0.019999538963505377,0.6428140183755506,0.023007672280073166,0,0
scalar_low4_boundary_t020,noisy_t1000,64,120,0.0407126247882843,0.07094006604893366,0.02000079484132584,0.4151159503128535,0.015605427324771881,0,0
scalar_low4_boundary_t020,noisy_t250,64,120,0.014693696284666657,0.05682112395261356,0.02000195532455109,0.6209105158244104,0.022479798644781113,0,0
