probe_name,policy,rank_group,target,context,unit_count,calibrated_layer_count,calibration_clipped_count,calibration_degenerate_count,calibration_max_relative_error,calibration_scale_min,calibration_scale_max,target_consistent,policy_or_shift_valid,integrity_pass
scalar_high4_key_shift_t020,key_shift,scalar_high4,0.02,noisy_t1000,64,1920,0,0,0.020061340183019638,0.06382447481155396,5.51530122756958,1,1,0
scalar_high4_key_shift_t020,key_shift,scalar_high4,0.02,noisy_t250,64,1920,0,0,0.021125562489032745,0.07445459067821503,7.241407871246338,1,1,0
scalar_high4_key_shift_t020,key_shift,scalar_high4,0.02,noisy_t500,64,1920,0,0,0.022744573652744293,0.06761586666107178,5.516157627105713,1,1,0
scalar_high4_key_shift_t020,key_shift,scalar_high4,0.02,noisy_t750,64,1920,0,0,0.024968106299638748,0.06626668572425842,4.969500541687012,1,1,0
scalar_high4_uniform_t020,policy_contrast,scalar_high4,0.02,noisy_t1000,64,1920,0,0,0.019161589443683624,0.033283863216638565,4.538783073425293,1,1,1
scalar_high4_uniform_t020,policy_contrast,scalar_high4,0.02,noisy_t250,64,1920,0,0,0.022060144692659378,0.06497133523225784,3.729275703430176,1,1,0
scalar_high4_uniform_t020,policy_contrast,scalar_high4,0.02,noisy_t500,64,1920,0,0,0.02382975071668625,0.04569332301616669,4.28904914855957,1,1,0
scalar_high4_uniform_t020,policy_contrast,scalar_high4,0.02,noisy_t750,64,1920,0,0,0.017224345356225967,0.03735730051994324,4.635033130645752,1,1,1
scalar_high4_value_shift_t020,value_shift,scalar_high4,0.02,noisy_t1000,64,1920,0,0,0.02390919253230095,0.063226617872715,7.122778415679932,1,1,0
scalar_high4_value_shift_t020,value_shift,scalar_high4,0.02,noisy_t250,64,1920,0,0,0.02409936860203743,0.07304614037275314,7.480548858642578,1,1,0
scalar_high4_value_shift_t020,value_shift,scalar_high4,0.02,noisy_t500,64,1920,0,0,0.01814449205994606,0.06812332570552826,6.730778217315674,1,1,1
scalar_high4_value_shift_t020,value_shift,scalar_high4,0.02,noisy_t750,64,1920,0,0,0.023007672280073166,0.06535903364419937,7.139062404632568,1,1,0
scalar_low4_boundary_t020,policy_contrast,scalar_low4,0.02,noisy_t1000,64,1920,0,0,0.015605427324771881,0.04393968731164932,4.389404773712158,1,0,0
scalar_low4_boundary_t020,policy_contrast,scalar_low4,0.02,noisy_t250,64,1920,0,0,0.022479798644781113,0.05794696882367134,5.2751007080078125,1,0,0
scalar_low4_boundary_t020,policy_contrast,scalar_low4,0.02,noisy_t500,64,1920,0,0,0.015964265912771225,0.0514339916408062,5.1001200675964355,1,0,0
scalar_low4_boundary_t020,policy_contrast,scalar_low4,0.02,noisy_t750,64,1920,0,0,0.013921409845352173,0.047169096767902374,5.099564075469971,1,0,0
scalar_low4_key_shift_t020,key_shift,scalar_low4,0.02,noisy_t1000,64,1920,0,0,0.01751938834786415,0.08431883901357651,12.493559837341309,1,1,1
scalar_low4_key_shift_t020,key_shift,scalar_low4,0.02,noisy_t250,64,1920,0,0,0.02062758430838585,0.08552451431751251,18.493240356445312,1,1,0
scalar_low4_key_shift_t020,key_shift,scalar_low4,0.02,noisy_t500,64,1920,0,0,0.02144593745470047,0.08057030290365219,16.49995994567871,1,1,0
scalar_low4_key_shift_t020,key_shift,scalar_low4,0.02,noisy_t750,64,1920,0,0,0.016548484563827515,0.08064154535531998,15.832582473754883,1,1,1
scalar_low4_uniform_t020,policy_contrast,scalar_low4,0.02,noisy_t1000,64,1920,0,0,0.01744404435157776,0.054487403482198715,6.849486351013184,1,1,1
scalar_low4_uniform_t020,policy_contrast,scalar_low4,0.02,noisy_t250,64,1920,0,0,0.023586582392454147,0.07993079721927643,20.310935974121094,1,1,0
scalar_low4_uniform_t020,policy_contrast,scalar_low4,0.02,noisy_t500,64,1920,0,0,0.021908432245254517,0.07022475451231003,9.714726448059082,1,1,0
scalar_low4_uniform_t020,policy_contrast,scalar_low4,0.02,noisy_t750,64,1920,0,0,0.02016918733716011,0.06166604533791542,7.707564830780029,1,1,0
scalar_low4_value_shift_t020,value_shift,scalar_low4,0.02,noisy_t1000,64,1920,0,0,0.01873904839158058,0.08706890046596527,10.502306938171387,1,1,1
scalar_low4_value_shift_t020,value_shift,scalar_low4,0.02,noisy_t250,64,1920,0,0,0.01975158229470253,0.0839996486902237,19.334339141845703,1,1,1
scalar_low4_value_shift_t020,value_shift,scalar_low4,0.02,noisy_t500,64,1920,0,0,0.018906407058238983,0.08196546137332916,15.164560317993164,1,1,1
scalar_low4_value_shift_t020,value_shift,scalar_low4,0.02,noisy_t750,64,1920,0,0,0.018146447837352753,0.08304963260889053,12.380861282348633,1,1,1
scalar_middle4_boundary_t020,policy_contrast,scalar_middle4,0.02,noisy_t1000,64,1920,0,0,0.016385968774557114,0.0613287016749382,2.5788187980651855,1,0,0
scalar_middle4_boundary_t020,policy_contrast,scalar_middle4,0.02,noisy_t250,64,1920,0,0,0.018547754734754562,0.05571640282869339,3.8146188259124756,1,0,0
scalar_middle4_boundary_t020,policy_contrast,scalar_middle4,0.02,noisy_t500,64,1920,0,0,0.019416864961385727,0.05743441358208656,3.3525784015655518,1,0,0
scalar_middle4_boundary_t020,policy_contrast,scalar_middle4,0.02,noisy_t750,64,1920,0,0,0.01824367791414261,0.06011193245649338,2.8862829208374023,1,0,0
scalar_middle4_key_shift_t020,key_shift,scalar_middle4,0.02,noisy_t1000,64,1920,0,0,0.018417928367853165,0.06372677534818649,11.197362899780273,1,1,1
scalar_middle4_key_shift_t020,key_shift,scalar_middle4,0.02,noisy_t250,64,1920,0,0,0.019818078726530075,0.061247143894433975,10.470149993896484,1,1,1
scalar_middle4_key_shift_t020,key_shift,scalar_middle4,0.02,noisy_t500,64,1920,0,0,0.01752665266394615,0.05833623185753822,9.745678901672363,1,1,1
scalar_middle4_key_shift_t020,key_shift,scalar_middle4,0.02,noisy_t750,64,1920,0,0,0.018313899636268616,0.05652487650513649,10.494948387145996,1,1,1
