prompt_slot,seed_replicate,context,probe_name,policy,rank_group,layer,calibration_relative_error,calibration_scale,reasons,profile
21,1,noisy_t500,scalar_low4_key_shift_t020,key_shift,scalar_low4,24,0.020101387053728104,0.5001562237739563,relative_error,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v151_signed_policy_low_tail/core64/profiles/00043_v151_p21_src076_s1.pt
22,0,noisy_t500,scalar_high4_key_shift_t020,key_shift,scalar_high4,8,0.02006208524107933,2.5077450275421143,relative_error,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v151_signed_policy_low_tail/core64/profiles/00044_v151_p22_src083_s0.pt
22,0,noisy_t250,signed_middle4_uniform_t020,policy_contrast,signed_middle4,6,0.020295940339565277,0.501606285572052,relative_error,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v151_signed_policy_low_tail/core64/profiles/00044_v151_p22_src083_s0.pt
23,0,noisy_t750,scalar_high4_key_shift_t020,key_shift,scalar_high4,8,0.024968106299638748,1.5039002895355225,relative_error,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v151_signed_policy_low_tail/core64/profiles/00046_v151_p23_src088_s0.pt
23,1,noisy_t500,signed_low4_uniform_t020,policy_contrast,signed_low4,13,0.0235898420214653,0.5002182722091675,relative_error,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v151_signed_policy_low_tail/core64/profiles/00047_v151_p23_src088_s1.pt
24,0,noisy_t250,scalar_low4_key_shift_t020,key_shift,scalar_low4,5,0.02062758430838585,1.5001537799835205,relative_error,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v151_signed_policy_low_tail/core64/profiles/00048_v151_p24_src094_s0.pt
24,1,noisy_t500,scalar_low4_key_shift_t020,key_shift,scalar_low4,7,0.020057987421751022,0.5008329153060913,relative_error,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v151_signed_policy_low_tail/core64/profiles/00049_v151_p24_src094_s1.pt
25,0,noisy_t1000,scalar_high4_boundary_t020,policy_contrast,scalar_high4,24,0.027257297188043594,0.5002526044845581,relative_error,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v151_signed_policy_low_tail/core64/profiles/00050_v151_p25_src098_s0.pt
25,0,noisy_t1000,signed_low4_boundary_t020,policy_contrast,signed_low4,17,0.020057428628206253,0.5001735091209412,relative_error,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v151_signed_policy_low_tail/core64/profiles/00050_v151_p25_src098_s0.pt
25,0,noisy_t1000,random5_uniform_t020,policy_contrast,random5,22,0.020454172044992447,0.5016624927520752,relative_error,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v151_signed_policy_low_tail/core64/profiles/00050_v151_p25_src098_s0.pt
25,0,noisy_t750,scalar_high4_boundary_t020,policy_contrast,scalar_high4,29,0.020281225442886353,1.5033222436904907,relative_error,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v151_signed_policy_low_tail/core64/profiles/00050_v151_p25_src098_s0.pt
25,1,noisy_t750,random5_uniform_t020,policy_contrast,random5,22,0.021325424313545227,0.5031878352165222,relative_error,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v151_signed_policy_low_tail/core64/profiles/00051_v151_p25_src098_s1.pt
25,1,noisy_t500,random5_uniform_t020,policy_contrast,random5,22,0.0219712033867836,0.4990995228290558,relative_error,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v151_signed_policy_low_tail/core64/profiles/00051_v151_p25_src098_s1.pt
25,1,noisy_t250,scalar_high4_uniform_t020,policy_contrast,scalar_high4,8,0.022060144692659378,2.502352714538574,relative_error,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v151_signed_policy_low_tail/core64/profiles/00051_v151_p25_src098_s1.pt
26,0,noisy_t250,scalar_low4_uniform_t020,policy_contrast,scalar_low4,0,0.02092970535159111,4.499074935913086,relative_error,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v151_signed_policy_low_tail/core64/profiles/00052_v151_p26_src106_s0.pt
26,1,noisy_t250,signed_low4_key_shift_t020,key_shift,signed_low4,0,0.021329522132873535,5.502191066741943,relative_error,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v151_signed_policy_low_tail/core64/profiles/00053_v151_p26_src106_s1.pt
27,0,noisy_t1000,signed_high4_key_shift_t020,key_shift,signed_high4,0,0.028773490339517593,3.4962005615234375,relative_error,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v151_signed_policy_low_tail/core64/profiles/00054_v151_p27_src110_s0.pt
27,0,noisy_t250,random5_uniform_t020,policy_contrast,random5,7,0.02057049423456192,0.5020561218261719,relative_error,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v151_signed_policy_low_tail/core64/profiles/00054_v151_p27_src110_s0.pt
27,0,noisy_t250,random7_uniform_t020,policy_contrast,random7,24,0.02091275528073311,0.500195324420929,relative_error,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v151_signed_policy_low_tail/core64/profiles/00054_v151_p27_src110_s0.pt
27,1,noisy_t1000,scalar_high4_key_shift_t020,key_shift,scalar_high4,8,0.020061340183019638,2.5026228427886963,relative_error,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v151_signed_policy_low_tail/core64/profiles/00055_v151_p27_src110_s1.pt
27,1,noisy_t250,signed_middle4_uniform_t020,policy_contrast,signed_middle4,6,0.02047419548034668,0.500790536403656,relative_error,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v151_signed_policy_low_tail/core64/profiles/00055_v151_p27_src110_s1.pt
28,0,noisy_t250,scalar_low4_boundary_t020,policy_contrast,scalar_low4,13,0.022479798644781113,0.5014272332191467,relative_error,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v151_signed_policy_low_tail/core64/profiles/00056_v151_p28_src111_s0.pt
28,1,noisy_t750,scalar_low4_uniform_t020,policy_contrast,scalar_low4,13,0.02016918733716011,0.4998359978199005,relative_error,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v151_signed_policy_low_tail/core64/profiles/00057_v151_p28_src111_s1.pt
28,1,noisy_t500,scalar_low4_uniform_t020,policy_contrast,scalar_low4,0,0.020123086869716644,3.500847339630127,relative_error,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v151_signed_policy_low_tail/core64/profiles/00057_v151_p28_src111_s1.pt
29,0,noisy_t500,signed_middle4_key_shift_t020,key_shift,signed_middle4,7,0.02084597945213318,0.500815749168396,relative_error,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v151_signed_policy_low_tail/core64/profiles/00058_v151_p29_src114_s0.pt
29,1,noisy_t1000,signed_high4_key_shift_t020,key_shift,signed_high4,4,0.021067075431346893,0.5000515580177307,relative_error,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v151_signed_policy_low_tail/core64/profiles/00059_v151_p29_src114_s1.pt
29,1,noisy_t250,random1_uniform_t020,policy_contrast,random1,19,0.02114139497280121,0.5001881122589111,relative_error,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v151_signed_policy_low_tail/core64/profiles/00059_v151_p29_src114_s1.pt
31,0,noisy_t250,signed_low4_value_shift_t020,value_shift,signed_low4,0,0.02055484801530838,7.499638557434082,relative_error,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v151_signed_policy_low_tail/core64/profiles/00062_v151_p31_src119_s0.pt
31,1,noisy_t750,random2_uniform_t020,policy_contrast,random2,9,0.0202287919819355,0.5004010796546936,relative_error,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v151_signed_policy_low_tail/core64/profiles/00063_v151_p31_src119_s1.pt
31,1,noisy_t250,scalar_low4_uniform_t020,policy_contrast,scalar_low4,11,0.02102470025420189,0.5018185973167419,relative_error,/apdcephfs_gy2/share_303214315/cedricnie/develop/training-free/runs/v151_signed_policy_low_tail/core64/profiles/00063_v151_p31_src119_s1.pt
