comparison,channel,family,intervention,comparison_group,metric,effect_definition,context,unit_count,prompt_count,mean_effect,median_effect,positive_fraction,prompt_bootstrap_mean_ci_low,prompt_bootstrap_mean_ci_high,seed_replicate_spearman
susceptibility:scalar:uniform:random_ensemble>low,susceptibility,scalar,uniform,random_ensemble>low,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t250,64,32,0.2505541604086188,0.24632847099432897,1.0,0.23136590855500488,0.27038074143527663,0.5249266862170088
susceptibility:scalar:uniform:random_ensemble>low,susceptibility,scalar,uniform,random_ensemble>low,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,64,32,0.23096090252363993,0.22712457023379606,1.0,0.2100913456712735,0.2506739689499122,0.6704545454545454
susceptibility:scalar:uniform:random_ensemble>low,susceptibility,scalar,uniform,random_ensemble>low,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t750,64,32,0.21251593521290837,0.21385032583583552,1.0,0.19025010228728662,0.23429041142109813,0.6788856304985337
susceptibility:scalar:uniform:random_ensemble>low,susceptibility,scalar,uniform,random_ensemble>low,mean_raw_projected_relative_rms,paired_log_ratio,pooled,256,32,0.2163683018982926,0.21850674371067735,0.99609375,0.19482590908737848,0.23677659956254254,0.6825513196480938
leverage:scalar:uniform:high>low,leverage,scalar,uniform,high>low,x0_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.19446400078547565,0.21747124375981342,0.734375,0.1019283211211232,0.2947839092432762,0.3108504398826979
leverage:scalar:uniform:high>low,leverage,scalar,uniform,high>low,x0_relative_rms,paired_log_ratio,noisy_t250,64,32,0.1690444548815886,0.16147869895503647,0.90625,0.12897014631478365,0.21776211254630448,0.2877565982404692
leverage:scalar:uniform:high>low,leverage,scalar,uniform,high>low,x0_relative_rms,paired_log_ratio,noisy_t500,64,32,0.13834676959583653,0.10004481144824501,0.78125,0.07310021311484459,0.22041617757922832,0.10227272727272727
leverage:scalar:uniform:high>low,leverage,scalar,uniform,high>low,x0_relative_rms,paired_log_ratio,noisy_t750,64,32,0.14607921668631071,0.11065827166797954,0.71875,0.081741396207717,0.23193003148037156,-0.15579178885630496
leverage:scalar:uniform:high>low,leverage,scalar,uniform,high>low,x0_relative_rms,paired_log_ratio,pooled,256,32,0.16198361048730286,0.1415017126757615,0.78515625,0.10649824549674552,0.2331352484264334,0.17815249266862168
leverage:scalar:uniform:middle>low,leverage,scalar,uniform,middle>low,x0_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.10091545531021677,0.024253304439382062,0.5,-0.010583105253337768,0.2260064587697326,0.3676686217008797
leverage:scalar:uniform:middle>low,leverage,scalar,uniform,middle>low,x0_relative_rms,paired_log_ratio,noisy_t250,64,32,0.22663846245049313,0.19446292907825022,0.875,0.1677945033441133,0.29342274388537015,0.4189882697947213
leverage:scalar:uniform:middle>low,leverage,scalar,uniform,middle>low,x0_relative_rms,paired_log_ratio,noisy_t500,64,32,0.18504453562192835,0.09992539584326872,0.734375,0.09502693318109322,0.28538187492553074,0.4596774193548387
leverage:scalar:uniform:middle>low,leverage,scalar,uniform,middle>low,x0_relative_rms,paired_log_ratio,noisy_t750,64,32,0.12823630298947603,0.028019541950344187,0.609375,0.020188333865245617,0.2512175839182405,0.3005865102639296
leverage:scalar:uniform:middle>low,leverage,scalar,uniform,middle>low,x0_relative_rms,paired_log_ratio,pooled,256,32,0.16020868909302854,0.09725869741103722,0.6796875,0.07599176468811784,0.2609428720710425,0.3409090909090909
leverage:scalar:uniform:high>middle,leverage,scalar,uniform,high>middle,x0_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.09354854547525891,0.1494166809447754,0.671875,-0.0047178042097027004,0.18139358875043238,0.35520527859237533
leverage:scalar:uniform:high>middle,leverage,scalar,uniform,high>middle,x0_relative_rms,paired_log_ratio,noisy_t250,64,32,-0.057594007568904586,-0.05604767591337438,0.34375,-0.10494833946612371,-0.014868688953426612,0.41568914956011727
leverage:scalar:uniform:high>middle,leverage,scalar,uniform,high>middle,x0_relative_rms,paired_log_ratio,noisy_t500,64,32,-0.04669776602609183,-0.01763652583649777,0.421875,-0.10657877809225237,0.00854404563154439,0.34274193548387094
leverage:scalar:uniform:high>middle,leverage,scalar,uniform,high>middle,x0_relative_rms,paired_log_ratio,noisy_t750,64,32,0.017842913696834696,0.060473377635768065,0.640625,-0.056808562652350486,0.08393954486194381,0.044721407624633426
leverage:scalar:uniform:high>middle,leverage,scalar,uniform,high>middle,x0_relative_rms,paired_log_ratio,pooled,256,32,0.0017749213942742995,0.008892694780079341,0.51953125,-0.06054519291107924,0.057081697810208866,0.3016862170087976
leverage:scalar:uniform:high>random_ensemble,leverage,scalar,uniform,high>random_ensemble,x0_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.19717583183381887,0.17315401937130237,0.859375,0.14832434298542382,0.2491399364830715,0.23093841642228732
leverage:scalar:uniform:high>random_ensemble,leverage,scalar,uniform,high>random_ensemble,x0_relative_rms,paired_log_ratio,noisy_t250,64,32,0.10760731007252877,0.11989105958119795,0.90625,0.08437251168401146,0.13073719131346542,0.3614369501466275
leverage:scalar:uniform:high>random_ensemble,leverage,scalar,uniform,high>random_ensemble,x0_relative_rms,paired_log_ratio,noisy_t500,64,32,0.11195985093007524,0.10005657040874949,0.90625,0.08646946377266539,0.13939053479348165,0.004765395894428152
leverage:scalar:uniform:high>random_ensemble,leverage,scalar,uniform,high>random_ensemble,x0_relative_rms,paired_log_ratio,noisy_t750,64,32,0.14581663853970395,0.13461132664070385,0.875,0.11653090005339196,0.17753721951661952,-0.156891495601173
leverage:scalar:uniform:high>random_ensemble,leverage,scalar,uniform,high>random_ensemble,x0_relative_rms,paired_log_ratio,pooled,256,32,0.1406399078440317,0.12556375617557824,0.88671875,0.11696855240138003,0.16816990507625398,0.028592375366568914
leverage:scalar:uniform:random_ensemble>low,leverage,scalar,uniform,random_ensemble>low,x0_relative_rms,paired_log_ratio,noisy_t1000,64,32,-0.002711831048343216,0.0018529869603587379,0.515625,-0.06824954567794567,0.07003368995475623,0.3049853372434017
leverage:scalar:uniform:random_ensemble>low,leverage,scalar,uniform,random_ensemble>low,x0_relative_rms,paired_log_ratio,noisy_t250,64,32,0.06143714480905986,0.04546955798346097,0.78125,0.03430963789651312,0.09570597024469239,0.1851173020527859
leverage:scalar:uniform:random_ensemble>low,leverage,scalar,uniform,random_ensemble>low,x0_relative_rms,paired_log_ratio,noisy_t500,64,32,0.02638691866576117,-0.004475440133249631,0.484375,-0.025257839726756437,0.09357974604331101,0.33651026392961875
leverage:scalar:uniform:random_ensemble>low,leverage,scalar,uniform,random_ensemble>low,x0_relative_rms,paired_log_ratio,noisy_t750,64,32,0.0002625781466067817,-0.023560948163392714,0.421875,-0.055409075422506365,0.06677310149790565,0.03409090909090909
leverage:scalar:uniform:random_ensemble>low,leverage,scalar,uniform,random_ensemble>low,x0_relative_rms,paired_log_ratio,pooled,256,32,0.02134370264327115,0.01084677889650787,0.55078125,-0.021070116587019176,0.07600333556874213,0.188049853372434
susceptibility:signed:uniform:high>low,susceptibility,signed,uniform,high>low,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.5249803845097647,0.5442148131628047,1.0,0.4859114935300614,0.5639052710517409,0.5773460410557184
susceptibility:signed:uniform:high>low,susceptibility,signed,uniform,high>low,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t250,64,32,0.6184773071840087,0.6216380533614917,1.0,0.5919577231886762,0.6437250284110134,0.25109970674486803
susceptibility:signed:uniform:high>low,susceptibility,signed,uniform,high>low,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,64,32,0.6043114855142224,0.6061341020732259,1.0,0.5740355369431028,0.6334574918338465,0.530791788856305
susceptibility:signed:uniform:high>low,susceptibility,signed,uniform,high>low,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t750,64,32,0.5909023680217115,0.6004597839518762,1.0,0.5560173996051394,0.6228635253160087,0.5714809384164222
susceptibility:signed:uniform:high>low,susceptibility,signed,uniform,high>low,mean_raw_projected_relative_rms,paired_log_ratio,pooled,256,32,0.5846678863074268,0.5948803661843909,1.0,0.5519818876703227,0.6155062320218248,0.5080645161290323
susceptibility:signed:uniform:middle>low,susceptibility,signed,uniform,middle>low,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.3081836397221885,0.31755319925829484,1.0,0.2809918112307297,0.33309134032375814,0.5744134897360703
susceptibility:signed:uniform:middle>low,susceptibility,signed,uniform,middle>low,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t250,64,32,0.3864787356141271,0.3976091243263319,1.0,0.36478555756069,0.40707290851953837,0.3801319648093841
susceptibility:signed:uniform:middle>low,susceptibility,signed,uniform,middle>low,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,64,32,0.38098347258813947,0.39359202326570464,1.0,0.35819513258988944,0.40261174635024355,0.5234604105571847
susceptibility:signed:uniform:middle>low,susceptibility,signed,uniform,middle>low,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t750,64,32,0.3664696669475306,0.37810425741834697,1.0,0.34257991444334723,0.3882760281718885,0.5700146627565982
susceptibility:signed:uniform:middle>low,susceptibility,signed,uniform,middle>low,mean_raw_projected_relative_rms,paired_log_ratio,pooled,256,32,0.3605288787179964,0.3706955469519452,1.0,0.3373275212438933,0.3825703265191394,0.5491202346041054
susceptibility:signed:uniform:high>middle,susceptibility,signed,uniform,high>middle,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.21679674478757624,0.2254159339509188,0.984375,0.19806985413949768,0.2349183519490948,0.2664956011730205
susceptibility:signed:uniform:high>middle,susceptibility,signed,uniform,high>middle,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t250,64,32,0.23199857156988168,0.23331942680696777,0.984375,0.217692548596479,0.24508289577436954,0.05975073313782991
susceptibility:signed:uniform:high>middle,susceptibility,signed,uniform,high>middle,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,64,32,0.22332801292608298,0.2207246649451451,0.984375,0.20919789273267592,0.2368249719571213,0.2943548387096774
susceptibility:signed:uniform:high>middle,susceptibility,signed,uniform,high>middle,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t750,64,32,0.22443270107418084,0.2257704234145229,0.984375,0.20793192422394446,0.24075284266871697,0.3603372434017595
susceptibility:signed:uniform:high>middle,susceptibility,signed,uniform,high>middle,mean_raw_projected_relative_rms,paired_log_ratio,pooled,256,32,0.22413900758943045,0.2254243878713056,0.984375,0.20946907967670553,0.23850504258568267,0.21847507331378296
susceptibility:signed:uniform:high>random_ensemble,susceptibility,signed,uniform,high>random_ensemble,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,64,32,0.20293612249345971,0.21383604733161365,1.0,0.18881931133588475,0.21544729679962862,0.3914956011730205
susceptibility:signed:uniform:high>random_ensemble,susceptibility,signed,uniform,high>random_ensemble,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t250,64,32,0.2201438829697019,0.2232812373241415,1.0,0.21063448374624408,0.2281008617614203,0.06524926686217009
susceptibility:signed:uniform:high>random_ensemble,susceptibility,signed,uniform,high>random_ensemble,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,64,32,0.2164255010587488,0.21931850800169128,1.0,0.20592208992820213,0.22533016034090705,0.3112170087976539
susceptibility:signed:uniform:high>random_ensemble,susceptibility,signed,uniform,high>random_ensemble,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t750,64,32,0.21623574998272185,0.22349092158076833,1.0,0.2044932490619207,0.22735787070406568,0.42851906158357767
