clusters,feature_count,split_label_agreement,split_ari,discovery_silhouette,validation_silhouette,bootstrap_ari_median,bootstrap_ari_p10,minimum_cluster_fraction,boundary_fraction,cluster_exact_layer_nmi,cluster_layer_band_nmi,passed
2,19,0.9833333333333333,0.8495901626696969,0.4256725701059242,0.4003666497280082,0.1987844341302488,-0.038669153272228654,0.06111111111111111,0.0,0.052031534407147716,0.03265846388343956,0
3,19,0.9444444444444444,0.7015003398984891,0.43561861976410826,0.388118989638294,0.2819754589085727,0.08053802330303132,0.03611111111111111,0.002777777777777778,0.10101896801584456,0.04907155874789578,0
4,19,0.9111111111111111,0.7635067757019847,0.17643577302186453,0.16831284886055775,0.7042736015689941,0.19057562356895946,0.03333333333333333,0.05,0.15738114652584992,0.11097306281880345,0
5,19,0.9138888888888889,0.7619066935811607,0.18009934854764673,0.17583183841387198,0.6272879633237434,0.3603993262793109,0.002777777777777778,0.06666666666666667,0.153051753904375,0.10734322180528043,0
6,19,0.8416666666666667,0.6209935057050482,0.18674154319041542,0.15850277024322748,0.6140070725465849,0.44471220952638607,0.002777777777777778,0.04722222222222222,0.23003175584507587,0.1910956717386012,0
