method,dynamic_degree,motion_smoothness,overall_consistency,imaging_quality,aesthetic_quality,quality_score,semantic_score,total_score
sf_native,64.16666666666667,98.21794948906273,23.31734993805488,68.92518314172824,61.572877541184425,83.03783125341421,,
ours_layer_early10_reservoir4,77.5,97.90534917896588,23.471920415759087,71.02911901672681,62.172057454784714,83.82613427163218,,
ours_layer_middle10_reservoir4,77.5,98.00252153181826,23.943240189303953,70.78396348953247,62.972355931997306,84.23662936521309,,
ours_layer_late10_reservoir4,75.83333333333333,97.98839217448358,23.895717601602275,70.92650889803966,61.54640109588703,83.68333602949693,,
ours_layer_interleaved10_reservoir4,79.16666666666666,98.15032423346118,23.863841372852523,71.24029331753651,62.67250003914039,84.54166580840158,,
ours_all_reservoir4_reference,83.33333333333334,97.70784787822826,24.14269988425076,69.68890206366777,61.829144594569996,83.71644893667269,,
ours_qk_top4_reservoir4_reference,72.08333333333333,98.16637810393144,23.814869777609903,70.68043368061383,61.665159265200295,83.76033073993325,,
ours_all_recent8_reference,73.33333333333333,97.95984656914388,23.09121191812058,70.78873717014989,61.96783860524495,83.59730993366965,,
