layer,head,discovery_best_policy,validation_best_policy,split_label_agree,discovery_policy_need,validation_policy_need,modal_state_policy,modal_state_fraction,validation_static_regret,discovery_policy_margin,discovery_recent_budget_loss,validation_recent_budget_loss,discovery_boundary_recent_loss,validation_boundary_recent_loss,discovery_uniform_recent_loss,validation_uniform_recent_loss
0,0,recent_budget,recent_budget,1,-0.05513960123062134,-0.05367147922515869,recent_budget,0.9210069444444444,0.0,0.3798743390501602,0.10178738087415695,0.10407207161188126,0.1767422780394554,0.17629241943359375,0.1569269821047783,0.15774355083703995
0,1,boundary_recent,boundary_recent,1,0.007571293041110039,0.006849028170108795,boundary_recent,0.9930555555555556,0.0,0.27611990244094675,0.023730038665235043,0.02320167515426874,0.016158745624125004,0.016352646984159946,0.021840287372469902,0.02181688603013754
0,2,boundary_recent,boundary_recent,1,0.023674018681049347,0.030778802931308746,boundary_recent,0.5607638888888888,0.0,0.036201679823711995,0.17527393996715546,0.18675639480352402,0.1515999212861061,0.15597759187221527,0.1574442982673645,0.16718239337205887
0,3,uniform_recent,uniform_recent,1,0.01085297018289566,0.01292024552822113,uniform_recent,0.5407986111111112,0.0,0.05982301728408509,0.14524107426404953,0.14927411824464798,0.14281200617551804,0.14576254040002823,0.13438810408115387,0.13635387271642685
0,4,boundary_recent,boundary_recent,1,0.012518050381913781,0.013476274441927671,boundary_recent,1.0,0.0,0.7658721805390603,0.01776980608701706,0.018691557459533215,0.005251755705103278,0.005215283017605543,0.0149440155364573,0.015437300316989422
0,5,boundary_recent,boundary_recent,1,0.008545025251805782,0.00833129696547985,boundary_recent,1.0,0.0,0.6377882989756787,0.012952732853591442,0.012581038754433393,0.00440770760178566,0.004249741788953543,0.010285025928169489,0.01017039269208908
0,6,boundary_recent,boundary_recent,1,0.013165677897632122,0.016015178989619017,boundary_recent,0.9314236111111112,0.0,0.4575472395265651,0.02670282870531082,0.029361797496676445,0.0135371508076787,0.013346618507057428,0.02321504056453705,0.024115615524351597
0,7,boundary_recent,boundary_recent,1,0.055925533175468445,0.05731712281703949,boundary_recent,0.9279513888888888,0.0,0.28844295634554684,0.17876742780208588,0.17923735082149506,0.12284189462661743,0.12192022800445557,0.16799306124448776,0.16653622686862946
0,8,uniform_recent,uniform_recent,1,0.019640177488327026,0.00810258835554123,uniform_recent,0.4765625,0.01682075829067506,0.03778061284254386,0.17355721443891525,0.16308897733688354,0.16005677729845047,0.15544237196445465,0.15391703695058823,0.15498638898134232
0,9,boundary_recent,boundary_recent,1,0.07972513139247894,0.09464393556118011,boundary_recent,0.7473958333333334,0.0,0.09770183866770404,0.28814929723739624,0.2927236258983612,0.2084241658449173,0.1980796903371811,0.2321569323539734,0.22941526770591736
0,10,boundary_recent,boundary_recent,1,0.16610556468367577,0.168034503236413,boundary_recent,0.5755208333333334,0.0,0.04649937199372291,0.22195961326360703,0.22337833046913147,0.05585404857993126,0.05534382723271847,0.06110725179314613,0.05951560288667679
0,11,boundary_recent,boundary_recent,1,0.019697747193276882,0.019197463057935238,boundary_recent,1.0,0.0,0.5763889410098146,0.03244590014219284,0.032416895031929016,0.012748152948915958,0.013219431973993778,0.026528106071054935,0.027009619399905205
1,0,boundary_recent,boundary_recent,1,0.011320684105157852,0.011674242094159126,boundary_recent,0.7048611111111112,0.0,0.14625167879285403,0.05058867856860161,0.04853052832186222,0.039267994463443756,0.036856286227703094,0.04588550142943859,0.04431089945137501
1,1,boundary_recent,boundary_recent,1,0.012761872727423906,0.015871474519371986,boundary_recent,0.9149305555555556,0.0,0.4531319595274724,0.024854027666151524,0.027245632372796535,0.012092154938727617,0.011374157853424549,0.0208169249817729,0.02279650606215
1,2,boundary_recent,boundary_recent,1,0.034554184414446354,0.02880575694143772,boundary_recent,0.9947916666666666,0.0,0.45093861960844234,0.06231996789574623,0.05821569636464119,0.027765783481299877,0.02940993942320347,0.04861416667699814,0.04595227539539337
1,3,boundary_recent,boundary_recent,1,0.0528253186494112,0.0513040442019701,boundary_recent,0.9852430555555556,0.0,0.5101465171911055,0.0891147144138813,0.08969629555940628,0.0362893957644701,0.03839225135743618,0.06941880658268929,0.0729370079934597
1,4,boundary_recent,boundary_recent,1,0.054434044286608696,0.05569898337125778,boundary_recent,0.9878472222222222,0.0,0.4135231621716755,0.08098586276173592,0.08168527483940125,0.02655181847512722,0.025986291468143463,0.04798990488052368,0.04840065911412239
