mode,current_frame,layer,head,temporal_reach_ratio,temporal_reach_ratio_samples,expected_age,expected_age_samples,normalized_expected_age,normalized_expected_age_samples,recent_mass,recent_mass_samples,old_mass,old_mass_samples,old12_mass,old12_mass_samples,old_mass_excess,old_mass_excess_samples,temporal_entropy,temporal_entropy_samples,peak_age,peak_age_samples,positive_logit_fraction,positive_logit_fraction_samples,sign_switch_rate,sign_switch_rate_samples,dominant_period,dominant_period_samples,spectral_peak_ratio,spectral_peak_ratio_samples,middle_recent_margin,middle_recent_margin_samples,age_logit_correlation,age_logit_correlation_samples
clean,21,0,0,0.15112954378128052,128,6.644160270690918,128,0.3691200166940689,128,0.40104976296424866,128,0.5989502966403961,128,0.1268482431769371,128,-0.17882749438285828,128,0.9364235699176788,128,1.0,128,0.8333333134651184,128,0.11764705926179886,128,18.0,128,0.688017874956131,128,-1.4787200093269348,128,-0.8987842500209808,128
clean,21,0,1,0.25782136619091034,128,3.726183772087097,128,0.2070102095603943,128,0.7853538393974304,128,0.21464615315198898,128,0.12502317130565643,128,-0.5631316304206848,128,0.47350405156612396,128,1.0,128,1.0,128,0.0,128,18.0,128,0.5512676537036896,128,-1.273073136806488,128,-0.34343716502189636,128
clean,21,0,2,0.16536326706409454,128,9.59030818939209,128,0.5327948927879333,128,0.23042769730091095,128,0.7695723176002502,128,0.3490295261144638,128,-0.00820547342300415,128,0.997930645942688,128,17.0,128,1.0,128,0.0,128,18.0,128,0.5964400172233582,128,-0.4939269870519638,128,0.16631150245666504,128
clean,21,0,3,0.1767960637807846,128,9.532524108886719,128,0.529584676027298,128,0.22097104787826538,128,0.779028981924057,128,0.3326364755630493,128,0.0012511909008026123,128,0.9989757537841797,128,11.0,128,1.0,128,0.0,128,18.0,128,0.40117619931697845,128,0.15134666115045547,128,0.09683812409639359,128
clean,21,0,4,0.48658113181591034,128,13.90776252746582,128,0.7726534605026245,128,0.04772127978503704,128,0.9522786736488342,128,0.61049023270607,128,0.17450088262557983,128,0.614911675453186,128,18.0,128,1.0,128,0.0,128,6.0,128,0.8646330833435059,128,0.4033327102661133,128,0.1040320135653019,128
clean,21,0,5,0.4910326302051544,128,14.947357177734375,128,0.8304087221622467,128,0.03627652861177921,128,0.9637234508991241,128,0.6663043200969696,128,0.18594565987586975,128,0.5728706419467926,128,18.0,128,1.0,128,0.0,128,6.0,128,0.7776678502559662,128,0.7214614748954773,128,0.40257595479488373,128
clean,21,0,6,0.2793206423521042,128,8.348514556884766,128,0.4638063609600067,128,0.2747751623392105,128,0.7252248823642731,128,0.26730914413928986,128,-0.05255290865898132,128,0.7374114394187927,128,1.0,128,1.0,128,0.0,128,6.0,128,0.6032710373401642,128,-0.3390011191368103,128,-0.2945651113986969,128
clean,21,0,7,0.19904211908578873,128,7.57452917098999,128,0.4208071827888489,128,0.39567282795906067,128,0.6043271720409393,128,0.22005125880241394,128,-0.17345061898231506,128,0.9494213759899139,128,1.0,128,1.0,128,0.0,128,18.0,128,0.43966616690158844,128,-1.5992681384086609,128,-0.614356130361557,128
clean,21,0,8,0.1828465536236763,128,9.482833862304688,128,0.5268240869045258,128,0.22307505458593369,128,0.7769249081611633,128,0.3336944580078125,128,-0.0008528828620910645,128,0.999232292175293,128,10.0,128,1.0,128,0.0,128,18.0,128,0.36741727590560913,128,-0.06270001269876957,128,-0.05195789597928524,128
clean,21,0,9,0.20046532899141312,128,10.105610847473145,128,0.5614228248596191,128,0.24131353944540024,128,0.7586865127086639,128,0.41547007858753204,128,-0.019091278314590454,128,0.9785216450691223,128,18.0,128,0.6111111044883728,128,0.11764705926179886,128,18.0,128,0.7100122272968292,128,-0.4911014288663864,128,0.2644616812467575,128
