factor,layer,head,cphi_score,cphi_score_samples,age_js_score,age_js_score_samples,age_w1_score,age_w1_score_samples,native_score,native_score_samples,query_score,query_score_samples,current_key_score,current_key_score_samples
action,0,0,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16
action,0,1,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16
action,0,2,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16
action,0,3,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16
action,0,4,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16
action,0,5,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16
action,0,6,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16
action,0,7,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16
action,0,8,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16
action,0,9,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16
action,0,10,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16
action,0,11,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16
action,1,0,-0.05729092542916482,16,-0.004256699776306192,16,-0.03340310508213559,16,-0.1676452142712071,16,-0.012230785234738306,16,-0.07875166475895451,16
action,1,1,-0.17494427442487898,16,-0.053331810098922114,16,-0.036952398434296804,16,-0.20925816871597935,16,-0.12350437198373493,16,-0.07096851461909748,16
action,1,2,-0.5172432928480057,16,-0.188674891267803,16,-0.8389803195555099,16,-0.06581120843696733,16,0.11353025741852635,16,0.12780377025906858,16
action,1,3,0.19807070181455866,16,-0.1299159158056389,16,-0.25871317281618844,16,-0.06684280435357182,16,0.0333735103668811,16,0.21363479872491642,16
action,1,4,-0.12777704213699778,16,0.0059915574254062005,16,-0.3968444531809845,16,-0.10706707467595229,16,-0.14810997250925695,16,-0.13037163762568332,16
action,1,5,0.05601359333163929,16,-0.00158464683911605,16,-0.23963922970968574,16,-0.13611024624162568,16,-0.07109373526303435,16,0.0941027757590116,16
action,1,6,-0.5761562027656744,16,-0.031818125648084186,16,-0.8042989055024394,16,-0.15716833361790086,16,-0.21394973655738547,16,-0.07743313009469147,16
action,1,7,-0.34841005957534255,16,-0.06109543074157621,16,-0.2850631643120446,16,-0.11151737024919106,16,-0.34487652101342664,16,-0.19320145799934335,16
action,1,8,-0.26051099048827286,16,-0.43052904605477527,16,-0.753355379951248,16,-0.19346923302723926,16,-0.3502934247263537,16,-0.18359749903683775,16
action,1,9,0.2804211367063428,16,-0.31877922411078163,16,-1.1334651698193632,16,-0.17183356779493517,16,-0.38047708217744725,16,-0.22246887020078,16
action,1,10,-0.29473830892610914,16,-0.033086996981027475,16,-0.2616913166615678,16,-0.11622912710887402,16,-0.18401743223247807,16,0.017286126425755177,16
action,1,11,-0.38296842321654356,16,-0.7684165228449016,16,-0.8506843652791455,16,-0.1442687028212675,16,-0.1610634201330663,16,0.10614708333705675,16
action,2,0,0.09806389725217465,16,-0.06541146079041424,16,-0.6944393850610804,16,0.06973312481991627,16,-0.10220081310865196,16,-0.13580768422439282,16
action,2,1,0.12770075071905088,16,-0.04294785501375628,16,-0.13097937433613854,16,-0.0920303641793465,16,-0.12908698328825513,16,-0.1334037522444922,16
action,2,2,-0.6809912071420101,16,-0.05676482219475258,16,-0.1302640495577423,16,-0.045635359825536126,16,-0.5169833364989166,16,-0.5523895189588374,16
action,2,3,-0.05721828762770479,16,-0.09728046212511542,16,-0.1799612971308163,16,-0.19332056763628575,16,-0.17924083474359928,16,-0.0881302334048578,16
action,2,4,0.21397229517881372,16,-0.06539107981923609,16,-0.35157592593504416,16,-0.18115613085343232,16,-0.13804815828386827,16,-0.16374081009298574,16
action,2,5,-0.15867994443646025,16,-0.0461318522909937,16,-0.39783760882437547,16,-0.2363626135687596,16,-0.16638397507193572,16,-0.0426617417561118,16
action,2,6,-0.10429401916083757,16,-0.0205789716658291,16,-0.3396528206255341,16,-0.1717341056735357,16,-0.20246280221454044,16,-0.2011988356888295,16
action,2,7,-0.005494872287111294,16,-0.33676143102877143,16,-0.4498171378818382,16,-0.26223696171971445,16,-0.22287435174349085,16,-0.11569034105905014,16
action,2,8,-0.334477881765887,16,-0.45061036310077096,16,-0.7340210278731598,16,-0.0955879404850107,16,-0.2423512944293722,16,-0.2533669665799839,16
action,2,9,-0.3477791167248925,16,-0.02262777443750952,16,-0.15122380879943692,16,-0.152331931365702,16,-0.2158947636069491,16,-0.20562328695894505,16
action,2,10,-0.05028505072028092,16,-0.07675312169557992,16,-0.20006126801715032,16,-0.09596350900990133,16,-0.13149123016628478,16,-0.08523464435312048,16
action,2,11,-0.12960635666193598,16,-0.39843989636198796,16,-0.973784099659537,16,-0.0972296788604202,16,-0.17381711142439316,16,-0.167286169231191,16
action,3,0,-0.3566306917787353,16,-0.14840444731850078,16,-0.16666138822146095,16,-0.0925382223159184,16,-0.25613662056348446,16,-0.11415451179858996,16
action,3,1,0.37333727846870934,16,-0.044732982947790365,16,-0.4026330844283671,16,-0.18820204402078256,16,-0.031054990760982254,16,0.04552132425347173,16
action,3,2,0.2725540315318902,16,-0.05886654309359017,16,-0.4997985126781852,16,0.0069450513191267604,16,0.14716484126322227,16,-0.006921716844402435,16
action,3,3,-0.062395357653812974,16,-0.028833321457707086,16,-0.31514116248939245,16,0.051287580100542796,16,-0.06682864522819687,16,-0.0679353721356262,16
action,3,4,0.11509291313069728,16,-0.015003633454521565,16,-0.05842094505220799,16,-0.17026189874842185,16,0.131519713754923,16,0.11883588585794397,16
action,3,5,-0.005644230122927342,16,-0.04187882525869409,16,-0.4019829593300781,16,-0.008039043226316926,16,-0.0032507173702792935,16,0.14061035247326226,16
action,3,6,0.06162761757632607,16,-0.03073553423884927,16,-0.37434964200488474,16,0.02073602954093241,16,0.009509331589786112,16,-0.024461196691888173,16
action,3,7,-0.10581047504013863,16,-0.040203812395676414,16,-0.32114202200076397,16,-0.1723581559628555,16,-0.0380904849709564,16,-0.08672826510600606,16
action,3,8,0.35607013136916266,16,-0.007135650062355842,16,-0.05034733368062211,16,-0.09202012750241717,16,0.13474306269121156,16,-0.014703372628183784,16
action,3,9,0.017458578018805963,16,-0.0322072857316365,16,-0.2629079550758792,16,0.005581883242406743,16,0.11086374105598328,16,0.01253706189600559,16
action,3,10,0.19853272075243278,16,-0.01207257680610464,16,-0.33414088895836125,16,0.12057662334822947,16,0.016109339164776446,16,0.09682626503998792,16
action,3,11,-0.3277158260142876,16,-0.0050011409681409765,16,-0.17416892796786662,16,-0.04477006030227196,16,-0.03310927751994085,16,-0.04238574807571965,16
action,4,0,-0.27282372230232166,16,-0.08715928702976378,16,-0.4386535575291286,16,-0.11393826453956343,16,-0.12868310143938871,16,-0.10541784531747214,16
action,4,1,0.05124405406061422,16,-0.017802708244754138,16,0.0459302453129478,16,-0.1358360957017679,16,-0.17243542598582268,16,-0.10793718429277159,16
action,4,2,-0.03797689074214438,16,-0.07064165004178476,16,-0.17349291598600391,16,-0.11966528446438052,16,-0.06346917905856184,16,-0.08651379879163372,16
action,4,3,-0.6302600441261028,16,-0.0727390007601954,16,-0.20597198400520927,16,-0.27919727135155187,16,-0.14921355469426095,16,-0.18627013565164433,16
action,4,4,-0.21271325820916476,16,-0.16413984842818286,16,-0.6512843214549782,16,-0.2723015267297705,16,-0.08168261597383655,16,-0.047638508519248925,16
action,4,5,-0.24552654327814596,16,-0.06497021367193641,16,-0.32577252741721857,16,-0.04981021637406142,16,-0.11012549343760816,16,-0.18927672990032995,16
action,4,6,-0.37858473587973285,16,-0.02699225472983314,16,-0.47650544979305787,16,-0.06068583408832619,16,-0.03635065453231722,16,-0.18193986747330448,16
action,4,7,-0.08894112781739007,16,-0.021268742943301264,16,-0.5562270385599553,16,-0.21106247912103873,16,-0.13487125839114752,16,-0.05243659362317704,16
action,4,8,-0.13359721738681837,16,-0.016042709075882254,16,-0.18506461112121575,16,-0.13243734694306836,16,-0.2058122291518749,16,-0.11620556699503115,16
action,4,9,-0.13977068186431263,16,-0.020615232243174318,16,-0.4045878105596636,16,-0.25919221148093796,16,-0.19553582519483942,16,-0.11459691996403756,16
action,4,10,-0.12596181180184735,16,-0.03301013493810952,16,-0.24179012568789682,16,-0.18720624985661852,16,-0.17126881960518697,16,-0.23763951975511713,16
action,4,11,-0.23668000116483334,16,-0.02924318892864322,16,-0.21416353643272723,16,-0.19190634250756328,16,-0.05600003219704793,16,-0.05364392485750907,16
action,5,0,0.22950322972335593,16,-0.007204276260203977,16,-0.25695160140734613,16,-0.02915442308721179,16,0.061002124287244275,16,-0.13481708214459018,16
action,5,1,0.04999415580113809,16,-0.014615899093813518,16,-0.0980629547161998,16,-0.0706693859433245,16,-0.0119428111015406,16,-0.0493503022925182,16
action,5,2,0.05426457298503545,16,-0.051870118507888,16,-0.322926024974004,16,-0.09197051425670624,16,0.07140886389479888,16,-0.023070477205389496,16
action,5,3,-0.173206977202201,16,-0.006726624439206294,16,-0.16147905183750938,16,-0.1964729490332333,16,-0.2094008560909846,16,-0.15656293230651122,16
action,5,4,-0.07942491892156084,16,-0.19629117880232466,16,-0.6357733679949538,16,-0.18040010376859716,16,-0.07327934989591423,16,-0.03702672627358684,16
action,5,5,0.051925441096437264,16,-0.007938020929982711,16,-0.21760796281380357,16,-0.1329660492690381,16,-0.1446137150056103,16,-0.109853648946541,16
action,5,6,-0.121027808458224,16,-0.03579848029515947,16,-0.3094127326079176,16,-0.0646171038328309,16,-0.03594209327595282,16,0.02931081862273116,16
action,5,7,0.22899873266470036,16,-0.02060050277739187,16,-0.35726932370899656,16,0.010811037510702039,16,-0.07166291957199838,16,0.003667757874752424,16
action,5,8,-0.22051607657410482,16,-0.030336042245610276,16,-0.19670919941618895,16,-0.012299136704477642,16,-0.10031331503456888,16,0.009148300290894558,16
action,5,9,-0.3785066161270221,16,-0.008937017235060851,16,-0.18833737476029141,16,0.0042975873033530496,16,-0.23216996565326128,16,-0.07107188607848279,16
action,5,10,0.1443081482091752,16,-0.005827294420902981,16,-0.23502879782693198,16,-0.10851986722653492,16,0.03539854715430028,16,-0.015339527739986435,16
