layer,head,cphi_score_category_count,cphi_score_dominant_category,cphi_score_dominant_value,cphi_score_range,cphi_score_std,cphi_score_positive_fraction,cphi_score_absolute_entropy,age_js_score_category_count,age_js_score_dominant_category,age_js_score_dominant_value,age_js_score_range,age_js_score_std,age_js_score_positive_fraction,age_js_score_absolute_entropy,age_w1_score_category_count,age_w1_score_dominant_category,age_w1_score_dominant_value,age_w1_score_range,age_w1_score_std,age_w1_score_positive_fraction,age_w1_score_absolute_entropy
0,0,8,clean:21,0.0,0.0,0.0,0.0,0.0,8,clean:21,0.0,0.0,0.0,0.0,0.0,8,clean:21,0.0,0.0,0.0,0.0,0.0
0,1,8,clean:21,0.0,0.0,0.0,0.0,0.0,8,clean:21,0.0,0.0,0.0,0.0,0.0,8,clean:21,0.0,0.0,0.0,0.0,0.0
0,2,8,clean:21,0.0,0.0,0.0,0.0,0.0,8,clean:21,0.0,0.0,0.0,0.0,0.0,8,clean:21,0.0,0.0,0.0,0.0,0.0
0,3,8,clean:21,0.0,0.0,0.0,0.0,0.0,8,clean:21,0.0,0.0,0.0,0.0,0.0,8,clean:21,0.0,0.0,0.0,0.0,0.0
0,4,8,clean:21,0.0,0.0,0.0,0.0,0.0,8,clean:21,0.0,0.0,0.0,0.0,0.0,8,clean:21,0.0,0.0,0.0,0.0,0.0
0,5,8,clean:21,0.0,0.0,0.0,0.0,0.0,8,clean:21,0.0,0.0,0.0,0.0,0.0,8,clean:21,0.0,0.0,0.0,0.0,0.0
0,6,8,clean:21,0.0,0.0,0.0,0.0,0.0,8,clean:21,0.0,0.0,0.0,0.0,0.0,8,clean:21,0.0,0.0,0.0,0.0,0.0
0,7,8,clean:21,0.0,0.0,0.0,0.0,0.0,8,clean:21,0.0,0.0,0.0,0.0,0.0,8,clean:21,0.0,0.0,0.0,0.0,0.0
0,8,8,clean:21,0.0,0.0,0.0,0.0,0.0,8,clean:21,0.0,0.0,0.0,0.0,0.0,8,clean:21,0.0,0.0,0.0,0.0,0.0
0,9,8,clean:21,0.0,0.0,0.0,0.0,0.0,8,clean:21,0.0,0.0,0.0,0.0,0.0,8,clean:21,0.0,0.0,0.0,0.0,0.0
0,10,8,clean:21,0.0,0.0,0.0,0.0,0.0,8,clean:21,0.0,0.0,0.0,0.0,0.0,8,clean:21,0.0,0.0,0.0,0.0,0.0
0,11,8,clean:21,0.0,0.0,0.0,0.0,0.0,8,clean:21,0.0,0.0,0.0,0.0,0.0,8,clean:21,0.0,0.0,0.0,0.0,0.0
1,0,8,clean:21,-0.7569396843826266,0.47434935398895695,0.15222564223786508,0.0,0.97769187938983,8,clean:21,-0.1592115121691452,0.08950139634621432,0.028647068892761692,0.0,0.984789437166014,8,clean:21,-0.7015651398854793,0.34922081291938206,0.1230018262587317,0.0,0.9855834044446655
