clusters,feature_count,split_label_agreement,split_ari,discovery_silhouette,validation_silhouette,bootstrap_ari_median,bootstrap_ari_p10,minimum_cluster_fraction,boundary_fraction,passed
2,10,0.975,0.6111935484954781,0.652256232941073,0.5699362765475016,0.7889793696597766,0.1351706521836103,0.025,0.0,0
3,10,0.9638888888888889,0.9160301377754881,0.30575445362135617,0.2939553397571644,0.8775910009560741,0.6559910616703776,0.025,0.013888888888888888,0
4,10,0.8333333333333334,0.5581969381239393,0.21837856823979146,0.15628459518404586,0.7835660135159717,0.5368430353241045,0.025,0.05,0
5,10,0.8583333333333333,0.6692779562113902,0.17895875954244186,0.16356549461940606,0.5056539570721388,0.3861597755501972,0.022222222222222223,0.03333333333333333,0
6,10,0.8222222222222222,0.6287310889153229,0.18014784488367244,0.16218458796265336,0.5313887782507916,0.40498928345158347,0.019444444444444445,0.03611111111111111,0
