method,dynamic_degree,motion_smoothness,overall_consistency,imaging_quality,aesthetic_quality,quality_score,semantic_score,total_score
sf_native,43.28125,98.56680960980239,23.47230177872916,68.17180268308148,59.26617165251324,81.62032619529161,22.969581391874915,69.89017723460827
deep_forcing,55.52083333333333,98.26598724615813,23.81052356852403,68.36438327543438,60.151189326619104,82.2548639350818,22.9768490873266,70.39926096553076
rolling_forcing,34.583333333333336,98.80156686067848,24.074266734338988,71.05817152960226,60.902468358787395,82.0894182730603,23.027009319770166,70.27693648240228
longlive,41.979166666666664,98.69445426006557,24.14122902040011,69.31927392973255,61.089999002094075,82.15636204573505,23.22129986765,70.36934961011804
ours_prototype_retrieval_age24,61.71875,98.37775776702517,23.703482066096814,69.12690859703967,60.58169629580031,82.95063422506703,22.99478236965519,70.95946385398466
ours_confidence_recent,59.583333333333336,98.3890731799306,23.62209808849002,69.18193130676325,60.69011086753259,82.8235844902519,22.90065375946954,70.83899834409543
ours_prototype_retrieval_motion,59.947916666666664,98.31412489961934,23.77480168962696,69.0472538699396,60.81440419113885,82.75454846497303,23.065293184493882,70.81669740887719
ours_confidence_motion,62.18749999999999,98.3070881606603,23.69434945139801,69.13735308156659,60.65424965228885,82.88163115362164,22.892690622228443,70.88384304734299
