comparison,channel,axis,policy,target,control,metric,effect_definition,context,unit_count,prompt_count,mean_effect,median_effect,positive_fraction,prompt_bootstrap_mean_ci_low,prompt_bootstrap_mean_ci_high,seed_replicate_spearman
susceptibility:policy_contrast:top4>random6:target=0.01,susceptibility,policy,policy_contrast,0.01,random6,mean_raw_projected_relative_rms,paired_log_ratio,pooled,64,16,-0.016408235828121606,-0.014600605166183816,0.390625,-0.03504173721653663,0.00016236218937647968,0.4205882352941176
susceptibility:policy_contrast:top4>random7:target=0.01,susceptibility,policy,policy_contrast,0.01,random7,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,32,16,0.03251543163440358,0.023701218471027626,0.59375,0.013312201298634654,0.05272363314372883,0.1411764705882353
susceptibility:policy_contrast:top4>random7:target=0.01,susceptibility,policy,policy_contrast,0.01,random7,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,32,16,0.03571489213496154,0.02151125325334611,0.75,0.017899807626201372,0.05397625340728706,0.09117647058823529
susceptibility:policy_contrast:top4>random7:target=0.01,susceptibility,policy,policy_contrast,0.01,random7,mean_raw_projected_relative_rms,paired_log_ratio,pooled,64,16,0.03411516188468256,0.023302546395830667,0.671875,0.015813849633186827,0.05260315596005345,0.12058823529411765
susceptibility:policy_contrast:top4>random0:target=0.02,susceptibility,policy,policy_contrast,0.02,random0,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,32,16,0.0625252615264051,0.0722805735747366,0.8125,0.03998885313016619,0.08519567151229332,0.29705882352941176
susceptibility:policy_contrast:top4>random0:target=0.02,susceptibility,policy,policy_contrast,0.02,random0,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,32,16,0.08586388080058877,0.09176095479171772,0.96875,0.06882514117414555,0.10305839202126842,0.16176470588235295
susceptibility:policy_contrast:top4>random0:target=0.02,susceptibility,policy,policy_contrast,0.02,random0,mean_raw_projected_relative_rms,paired_log_ratio,pooled,64,16,0.07419457116349694,0.08216879097790862,0.890625,0.05420413808810495,0.09396059848591043,0.3764705882352941
susceptibility:policy_contrast:top4>random1:target=0.02,susceptibility,policy,policy_contrast,0.02,random1,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,32,16,0.07605083774652979,0.07340492942524877,0.9375,0.05611072245520174,0.09445960058564803,0.27058823529411763
susceptibility:policy_contrast:top4>random1:target=0.02,susceptibility,policy,policy_contrast,0.02,random1,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,32,16,0.07558797246832084,0.06969917706474688,0.90625,0.05424378541563381,0.09655128384077417,0.25
susceptibility:policy_contrast:top4>random1:target=0.02,susceptibility,policy,policy_contrast,0.02,random1,mean_raw_projected_relative_rms,paired_log_ratio,pooled,64,16,0.07581940510742533,0.07340492942524877,0.921875,0.05490724669654973,0.09494223176237844,0.31176470588235294
susceptibility:policy_contrast:top4>random2:target=0.02,susceptibility,policy,policy_contrast,0.02,random2,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,32,16,0.012018791866964813,0.004065411863608419,0.5625,-0.018169482041833624,0.04092348420147872,0.5764705882352941
susceptibility:policy_contrast:top4>random2:target=0.02,susceptibility,policy,policy_contrast,0.02,random2,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,32,16,0.05611652081152217,0.051465128481448685,0.78125,0.030046957449590246,0.08025861682154278,0.5
susceptibility:policy_contrast:top4>random2:target=0.02,susceptibility,policy,policy_contrast,0.02,random2,mean_raw_projected_relative_rms,paired_log_ratio,pooled,64,16,0.034067656339243496,0.03554691694965946,0.671875,0.005644223557801944,0.06010926781000869,0.4588235294117647
susceptibility:policy_contrast:top4>random3:target=0.02,susceptibility,policy,policy_contrast,0.02,random3,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,32,16,-0.0019316180446366832,-0.00044160876314066895,0.5,-0.020914366974525873,0.014731364675674213,0.35000000000000003
susceptibility:policy_contrast:top4>random3:target=0.02,susceptibility,policy,policy_contrast,0.02,random3,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,32,16,0.024506040259032066,0.014651640295973791,0.71875,0.011388434747298691,0.0372008649611996,0.29411764705882354
susceptibility:policy_contrast:top4>random3:target=0.02,susceptibility,policy,policy_contrast,0.02,random3,mean_raw_projected_relative_rms,paired_log_ratio,pooled,64,16,0.01128721110719769,0.008813196891005987,0.609375,-0.0047069234896384374,0.02619996358895045,0.34705882352941175
susceptibility:policy_contrast:top4>random4:target=0.02,susceptibility,policy,policy_contrast,0.02,random4,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,32,16,0.055250349102552915,0.04768716119394445,0.78125,0.025443757955989965,0.08274095538013991,0.03529411764705882
susceptibility:policy_contrast:top4>random4:target=0.02,susceptibility,policy,policy_contrast,0.02,random4,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,32,16,0.07886041810700173,0.08235004678156994,0.84375,0.05106749463386729,0.10686717163109216,0.22352941176470587
susceptibility:policy_contrast:top4>random4:target=0.02,susceptibility,policy,policy_contrast,0.02,random4,mean_raw_projected_relative_rms,paired_log_ratio,pooled,64,16,0.06705538360477734,0.06419788677927754,0.8125,0.03815711180338858,0.09395721346077625,0.21176470588235297
susceptibility:policy_contrast:top4>random5:target=0.02,susceptibility,policy,policy_contrast,0.02,random5,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,32,16,0.04928658771850125,0.043859811961632175,0.78125,0.027343489117838262,0.06905603462258478,0.06470588235294117
susceptibility:policy_contrast:top4>random5:target=0.02,susceptibility,policy,policy_contrast,0.02,random5,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,32,16,0.05451408376303584,0.058024700595378786,0.8125,0.03466777382709015,0.0733290487965383,0.0588235294117647
susceptibility:policy_contrast:top4>random5:target=0.02,susceptibility,policy,policy_contrast,0.02,random5,mean_raw_projected_relative_rms,paired_log_ratio,pooled,64,16,0.05190033574076855,0.04608797005929484,0.796875,0.03129584757434913,0.07074341679169463,-0.0411764705882353
susceptibility:policy_contrast:top4>random6:target=0.02,susceptibility,policy,policy_contrast,0.02,random6,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,32,16,-0.026516977406119215,-0.0244734582035982,0.3125,-0.04692644670940306,-0.0077490633510137906,0.4794117647058824
susceptibility:policy_contrast:top4>random6:target=0.02,susceptibility,policy,policy_contrast,0.02,random6,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,32,16,-0.0009520044307213347,0.001631892727969275,0.5,-0.017181808615134967,0.015193340700202809,0.5323529411764706
susceptibility:policy_contrast:top4>random6:target=0.02,susceptibility,policy,policy_contrast,0.02,random6,mean_raw_projected_relative_rms,paired_log_ratio,pooled,64,16,-0.013734490918420276,-0.012767300772091886,0.40625,-0.031877856593837475,0.003265830152316394,0.45
susceptibility:policy_contrast:top4>random7:target=0.02,susceptibility,policy,policy_contrast,0.02,random7,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,32,16,0.03606783540560603,0.026319087983723292,0.65625,0.016660673572781108,0.05602879375543157,0.0029411764705882353
susceptibility:policy_contrast:top4>random7:target=0.02,susceptibility,policy,policy_contrast,0.02,random7,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,32,16,0.03651790687699099,0.02593704815268455,0.75,0.02002098918758268,0.05324750593314556,0.05294117647058824
susceptibility:policy_contrast:top4>random7:target=0.02,susceptibility,policy,policy_contrast,0.02,random7,mean_raw_projected_relative_rms,paired_log_ratio,pooled,64,16,0.036292871141298505,0.02593704815268455,0.703125,0.01976652109972041,0.0538121390652164,0.06176470588235294
susceptibility:policy_contrast:top4>random0:target=0.05,susceptibility,policy,policy_contrast,0.05,random0,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,32,16,0.06898482370831821,0.06881997161075123,0.875,0.046846024062457706,0.09169885710869677,0.3382352941176471
susceptibility:policy_contrast:top4>random0:target=0.05,susceptibility,policy,policy_contrast,0.05,random0,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,32,16,0.08996489750149977,0.09796516535327532,1.0,0.07368071743386398,0.10519460788928733,0.27058823529411763
susceptibility:policy_contrast:top4>random0:target=0.05,susceptibility,policy,policy_contrast,0.05,random0,mean_raw_projected_relative_rms,paired_log_ratio,pooled,64,16,0.07947486060490899,0.08558526206998082,0.9375,0.060481180721371326,0.0974447516512805,0.3735294117647059
susceptibility:policy_contrast:top4>random1:target=0.05,susceptibility,policy,policy_contrast,0.05,random1,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,32,16,0.08929763542452332,0.08719790571515032,0.96875,0.07018913263458697,0.10662807155631279,0.03823529411764706
susceptibility:policy_contrast:top4>random1:target=0.05,susceptibility,policy,policy_contrast,0.05,random1,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,32,16,0.08309632171194396,0.0821163002157653,0.9375,0.06175010873977982,0.1027876597615231,0.22647058823529412
susceptibility:policy_contrast:top4>random1:target=0.05,susceptibility,policy,policy_contrast,0.05,random1,mean_raw_projected_relative_rms,paired_log_ratio,pooled,64,16,0.08619697856823365,0.0850611408146334,0.953125,0.06697483093915688,0.10463412036395289,0.12352941176470587
susceptibility:policy_contrast:top4>random2:target=0.05,susceptibility,policy,policy_contrast,0.05,random2,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,32,16,0.024415632423317474,0.016585490890573172,0.625,-0.005679686407058092,0.051098658264878354,0.5411764705882353
susceptibility:policy_contrast:top4>random2:target=0.05,susceptibility,policy,policy_contrast,0.05,random2,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,32,16,0.06484536010708009,0.06477574513660782,0.84375,0.0387945547833332,0.08877291251916572,0.45
susceptibility:policy_contrast:top4>random2:target=0.05,susceptibility,policy,policy_contrast,0.05,random2,mean_raw_projected_relative_rms,paired_log_ratio,pooled,64,16,0.04463049626519877,0.05119934964979671,0.734375,0.01577051892350184,0.07011516971771119,0.4294117647058823
susceptibility:policy_contrast:top4>random3:target=0.05,susceptibility,policy,policy_contrast,0.05,random3,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,32,16,0.008025506643243079,0.005522212429661219,0.53125,-0.009930497471164671,0.023762658277947168,0.21176470588235297
susceptibility:policy_contrast:top4>random3:target=0.05,susceptibility,policy,policy_contrast,0.05,random3,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,32,16,0.032617666313130095,0.02268561281800361,0.8125,0.020482570952620606,0.044870629361362095,0.25
susceptibility:policy_contrast:top4>random3:target=0.05,susceptibility,policy,policy_contrast,0.05,random3,mean_raw_projected_relative_rms,paired_log_ratio,pooled,64,16,0.020321586478186587,0.016338214176117624,0.671875,0.006020774219918708,0.03372703979482549,0.29411764705882354
susceptibility:policy_contrast:top4>random4:target=0.05,susceptibility,policy,policy_contrast,0.05,random4,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,32,16,0.06994574642863777,0.07199709143948546,0.84375,0.039479979320559806,0.09668334627805933,-0.044117647058823525
susceptibility:policy_contrast:top4>random4:target=0.05,susceptibility,policy,policy_contrast,0.05,random4,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,32,16,0.08781008940503714,0.09472279549416375,0.875,0.06087788736184362,0.11463450801707467,0.15294117647058825
susceptibility:policy_contrast:top4>random4:target=0.05,susceptibility,policy,policy_contrast,0.05,random4,mean_raw_projected_relative_rms,paired_log_ratio,pooled,64,16,0.07887791791683743,0.0766988955540832,0.859375,0.05013133101674262,0.10433748015558662,0.11470588235294117
susceptibility:policy_contrast:top4>random5:target=0.05,susceptibility,policy,policy_contrast,0.05,random5,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,32,16,0.05133349240514627,0.0537771067185278,0.78125,0.02821635233752728,0.07137461168822357,-0.02941176470588235
susceptibility:policy_contrast:top4>random5:target=0.05,susceptibility,policy,policy_contrast,0.05,random5,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,32,16,0.05399648046549185,0.05982194715385114,0.8125,0.033878392749915595,0.07233733143592008,-0.055882352941176466
susceptibility:policy_contrast:top4>random5:target=0.05,susceptibility,policy,policy_contrast,0.05,random5,mean_raw_projected_relative_rms,paired_log_ratio,pooled,64,16,0.05266498643531906,0.055161089657685305,0.796875,0.03134274132818591,0.07074870888869841,-0.0588235294117647
susceptibility:policy_contrast:top4>random6:target=0.05,susceptibility,policy,policy_contrast,0.05,random6,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,32,16,-0.015074070979386043,-0.015236052360097386,0.34375,-0.03501598332891312,0.0034825661659467675,0.5764705882352941
susceptibility:policy_contrast:top4>random6:target=0.05,susceptibility,policy,policy_contrast,0.05,random6,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,32,16,0.008023798886171588,0.006397196675954582,0.59375,-0.00814035586638754,0.024220705603913394,0.5441176470588236
susceptibility:policy_contrast:top4>random6:target=0.05,susceptibility,policy,policy_contrast,0.05,random6,mean_raw_projected_relative_rms,paired_log_ratio,pooled,64,16,-0.0035251360466072267,-0.00481988689348563,0.46875,-0.020729079337707467,0.012487974263266316,0.4558823529411765
susceptibility:policy_contrast:top4>random7:target=0.05,susceptibility,policy,policy_contrast,0.05,random7,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,32,16,0.05184263586344463,0.037444102827335526,0.875,0.03396166614961573,0.06870915874204418,-0.2911764705882353
susceptibility:policy_contrast:top4>random7:target=0.05,susceptibility,policy,policy_contrast,0.05,random7,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,32,16,0.045931922968061936,0.034359267251282855,0.78125,0.03074539876786727,0.0615688981980702,-0.1176470588235294
susceptibility:policy_contrast:top4>random7:target=0.05,susceptibility,policy,policy_contrast,0.05,random7,mean_raw_projected_relative_rms,paired_log_ratio,pooled,64,16,0.048887279415753285,0.034359267251282855,0.828125,0.03409586928977172,0.06461239154728668,-0.14411764705882352
leverage:policy_contrast:top4>random0:target=0.01,leverage,policy,policy_contrast,0.01,random0,x0_relative_rms,paired_log_ratio,noisy_t1000,32,16,0.11506764558066668,0.10226593226022687,0.78125,0.046359628618427594,0.19334970507988203,0.02058823529411765
leverage:policy_contrast:top4>random0:target=0.01,leverage,policy,policy_contrast,0.01,random0,x0_relative_rms,paired_log_ratio,noisy_t500,32,16,0.08685774946695529,0.053007329710145774,0.8125,0.03657808578000574,0.14141089497154818,0.3411764705882353
leverage:policy_contrast:top4>random0:target=0.01,leverage,policy,policy_contrast,0.01,random0,x0_relative_rms,paired_log_ratio,pooled,64,16,0.10096269752381096,0.0695863918192384,0.796875,0.0637274211111981,0.14093863373004187,0.03823529411764706
leverage:policy_contrast:top4>random1:target=0.01,leverage,policy,policy_contrast,0.01,random1,x0_relative_rms,paired_log_ratio,noisy_t1000,32,16,0.16089842086550388,0.17909320897100456,0.8125,0.08321166345986825,0.24574462096783514,0.1647058823529412
leverage:policy_contrast:top4>random1:target=0.01,leverage,policy,policy_contrast,0.01,random1,x0_relative_rms,paired_log_ratio,noisy_t500,32,16,0.08442789875677595,0.07821643624630786,0.75,0.05133704707658171,0.11868163985275583,-0.21470588235294116
leverage:policy_contrast:top4>random1:target=0.01,leverage,policy,policy_contrast,0.01,random1,x0_relative_rms,paired_log_ratio,pooled,64,16,0.1226631598111399,0.14283158239980098,0.78125,0.07980891124123213,0.16578859784610622,0.032352941176470584
leverage:policy_contrast:top4>random2:target=0.01,leverage,policy,policy_contrast,0.01,random2,x0_relative_rms,paired_log_ratio,noisy_t1000,32,16,0.214176990242228,0.2407606842342619,0.90625,0.11489471241180577,0.3069491135443712,0.19117647058823528
leverage:policy_contrast:top4>random2:target=0.01,leverage,policy,policy_contrast,0.01,random2,x0_relative_rms,paired_log_ratio,noisy_t500,32,16,0.08907774351653358,0.10394968736467927,0.875,0.05196554495867536,0.12202242657670825,-0.27941176470588236
leverage:policy_contrast:top4>random2:target=0.01,leverage,policy,policy_contrast,0.01,random2,x0_relative_rms,paired_log_ratio,pooled,64,16,0.1516273668793808,0.14424963176578176,0.890625,0.08871533608079286,0.200132883155537,-0.2647058823529412
leverage:policy_contrast:top4>random3:target=0.01,leverage,policy,policy_contrast,0.01,random3,x0_relative_rms,paired_log_ratio,noisy_t1000,32,16,0.16083704039726043,0.17327323733096628,0.8125,0.07283960327686448,0.24049142677744356,0.14411764705882352
leverage:policy_contrast:top4>random3:target=0.01,leverage,policy,policy_contrast,0.01,random3,x0_relative_rms,paired_log_ratio,noisy_t500,32,16,0.07546818685681066,0.060323769649423764,0.875,0.05068709417397298,0.10331753775780862,0.09999999999999999
leverage:policy_contrast:top4>random3:target=0.01,leverage,policy,policy_contrast,0.01,random3,x0_relative_rms,paired_log_ratio,pooled,64,16,0.11815261362703554,0.09478419131249709,0.84375,0.0691631522009299,0.164887065596079,0.37941176470588234
