probe_name,policy,rank_group,target,context,unit_count,calibrated_layer_count,calibration_clipped_count,calibration_degenerate_count,calibration_max_relative_error,calibration_scale_min,calibration_scale_max,target_consistent,policy_or_shift_valid,integrity_pass
policy_random3_policy_contrast_t050,policy_contrast,random3,0.05,noisy_t1000,32,960,0,0,0.006087198853492737,0.08503136038780212,12.54415512084961,1,1,1
policy_random3_policy_contrast_t050,policy_contrast,random3,0.05,noisy_t500,32,960,0,0,0.0069160014390945435,0.10730578750371933,9.36677360534668,1,1,1
policy_random4_policy_contrast_t010,policy_contrast,random4,0.01,noisy_t1000,32,960,0,0,0.03095734864473343,0.03429894521832466,1.6731668710708618,1,1,0
policy_random4_policy_contrast_t010,policy_contrast,random4,0.01,noisy_t500,32,960,0,0,0.033645424991846085,0.03173660859465599,1.964413046836853,1,1,0
policy_random4_policy_contrast_t020,policy_contrast,random4,0.02,noisy_t1000,32,960,0,0,0.01398799940943718,0.06887712329626083,3.1951375007629395,1,1,1
policy_random4_policy_contrast_t020,policy_contrast,random4,0.02,noisy_t500,32,960,0,0,0.01580221578478813,0.06361031532287598,3.978731632232666,1,1,1
policy_random4_policy_contrast_t050,policy_contrast,random4,0.05,noisy_t1000,32,960,0,0,0.006248578429222107,0.1748824119567871,7.90680456161499,1,1,1
policy_random4_policy_contrast_t050,policy_contrast,random4,0.05,noisy_t500,32,960,0,0,0.0067871809005737305,0.1606229692697525,9.560636520385742,1,1,1
policy_random5_policy_contrast_t010,policy_contrast,random5,0.01,noisy_t1000,32,960,0,0,0.03200611099600792,0.025928616523742676,2.390672445297241,1,1,0
policy_random5_policy_contrast_t010,policy_contrast,random5,0.01,noisy_t500,32,960,0,0,0.03125406801700592,0.024237580597400665,3.331252336502075,1,1,0
policy_random5_policy_contrast_t020,policy_contrast,random5,0.02,noisy_t1000,32,960,0,0,0.01624850556254387,0.052005086094141006,4.76747989654541,1,1,1
policy_random5_policy_contrast_t020,policy_contrast,random5,0.02,noisy_t500,32,960,0,0,0.01429729163646698,0.04867737740278244,6.681089878082275,1,1,1
policy_random5_policy_contrast_t050,policy_contrast,random5,0.05,noisy_t1000,32,960,0,0,0.008107870817184448,0.13122396171092987,11.806565284729004,1,1,1
policy_random5_policy_contrast_t050,policy_contrast,random5,0.05,noisy_t500,32,960,0,0,0.009526461362838745,0.12334392219781876,16.670774459838867,1,1,1
