comparison,channel,axis,policy,target,control,metric,effect_definition,context,unit_count,prompt_count,mean_effect,median_effect,positive_fraction,prompt_bootstrap_mean_ci_low,prompt_bootstrap_mean_ci_high,seed_replicate_spearman
susceptibility:policy_contrast:top4>bottom4:target=0.05,susceptibility,policy,policy_contrast,0.05,bottom4,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,32,16,0.30050358851080444,0.2989785189142684,1.0,0.25835145278961175,0.3398361697028,0.5235294117647059
susceptibility:policy_contrast:top4>bottom4:target=0.05,susceptibility,policy,policy_contrast,0.05,bottom4,mean_raw_projected_relative_rms,paired_log_ratio,pooled,64,16,0.26880465112602503,0.26714399053699145,1.0,0.2263890427941777,0.309867656516038,0.411764705882353
susceptibility:policy_contrast:top4>middle4:target=0.05,susceptibility,policy,policy_contrast,0.05,middle4,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,32,16,-0.01580496768703342,-0.013861160669524527,0.34375,-0.042264877835541836,0.009070354418981831,0.15882352941176472
susceptibility:policy_contrast:top4>middle4:target=0.05,susceptibility,policy,policy_contrast,0.05,middle4,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,32,16,0.005155942522124259,0.006255488858355255,0.5625,-0.016207648247200345,0.025842737601806602,0.0411764705882353
susceptibility:policy_contrast:top4>middle4:target=0.05,susceptibility,policy,policy_contrast,0.05,middle4,mean_raw_projected_relative_rms,paired_log_ratio,pooled,64,16,-0.005324512582454579,-0.0037122199257073156,0.453125,-0.028535257722095995,0.01607299854087579,0.023529411764705882
susceptibility:policy_contrast:top4>random_ensemble:target=0.05,susceptibility,policy,policy_contrast,0.05,random_ensemble,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t1000,32,16,0.04359642523965564,0.04625588231466771,0.84375,0.026082775952342763,0.06031433558184583,0.2058823529411765
susceptibility:policy_contrast:top4>random_ensemble:target=0.05,susceptibility,policy,policy_contrast,0.05,random_ensemble,mean_raw_projected_relative_rms,paired_log_ratio,noisy_t500,32,16,0.05828581716980201,0.05563140480675188,0.875,0.043548171279640814,0.07327863751729657,0.19411764705882353
susceptibility:policy_contrast:top4>random_ensemble:target=0.05,susceptibility,policy,policy_contrast,0.05,random_ensemble,mean_raw_projected_relative_rms,paired_log_ratio,pooled,64,16,0.05094112120472882,0.04981977313977293,0.859375,0.035033848312390085,0.06592604693807301,0.09117647058823529
leverage:policy_contrast:top4>bottom4:target=0.01,leverage,policy,policy_contrast,0.01,bottom4,x0_relative_rms,paired_log_ratio,noisy_t1000,32,16,0.13154925058712347,0.15529021361140255,0.6875,0.031501466675903346,0.2451117050077486,0.4323529411764706
leverage:policy_contrast:top4>bottom4:target=0.01,leverage,policy,policy_contrast,0.01,bottom4,x0_relative_rms,paired_log_ratio,noisy_t500,32,16,0.08432318391747638,0.0730396003550044,0.71875,0.03324543484391824,0.14448887310371689,0.5294117647058824
leverage:policy_contrast:top4>bottom4:target=0.01,leverage,policy,policy_contrast,0.01,bottom4,x0_relative_rms,paired_log_ratio,pooled,64,16,0.10793621725229993,0.10072417782857727,0.703125,0.04806290788915054,0.18128193092327732,0.38823529411764707
leverage:policy_contrast:top4>middle4:target=0.01,leverage,policy,policy_contrast,0.01,middle4,x0_relative_rms,paired_log_ratio,noisy_t1000,32,16,0.04504620220562664,0.09918730518381413,0.59375,-0.08616909436866703,0.1648419524538007,0.011764705882352941
leverage:policy_contrast:top4>middle4:target=0.01,leverage,policy,policy_contrast,0.01,middle4,x0_relative_rms,paired_log_ratio,noisy_t500,32,16,-0.07867678290088007,-0.06139837413126316,0.28125,-0.1656319948322767,-0.007852078592920543,0.3294117647058824
leverage:policy_contrast:top4>middle4:target=0.01,leverage,policy,policy_contrast,0.01,middle4,x0_relative_rms,paired_log_ratio,pooled,64,16,-0.016815290347626716,-0.03970915089317935,0.4375,-0.1270300709712609,0.06216458006931716,0.0588235294117647
leverage:policy_contrast:top4>random_ensemble:target=0.01,leverage,policy,policy_contrast,0.01,random_ensemble,x0_relative_rms,paired_log_ratio,noisy_t1000,32,16,0.11023208846515518,0.11860244599198189,0.78125,0.0378404538041194,0.1783937901449829,0.14411764705882352
leverage:policy_contrast:top4>random_ensemble:target=0.01,leverage,policy,policy_contrast,0.01,random_ensemble,x0_relative_rms,paired_log_ratio,noisy_t500,32,16,0.034865329401560785,0.034839992905543404,0.8125,0.008883375659204105,0.06439770368456313,-0.0588235294117647
leverage:policy_contrast:top4>random_ensemble:target=0.01,leverage,policy,policy_contrast,0.01,random_ensemble,x0_relative_rms,paired_log_ratio,pooled,64,16,0.07254870893335799,0.06345827763857326,0.796875,0.033836930943762965,0.1089996153948758,-0.03529411764705882
leverage:policy_contrast:top4>bottom4:target=0.02,leverage,policy,policy_contrast,0.02,bottom4,x0_relative_rms,paired_log_ratio,noisy_t1000,32,16,0.20416520389383752,0.24648660146814172,0.8125,0.10859490667107748,0.3162437403763675,0.10294117647058824
leverage:policy_contrast:top4>bottom4:target=0.02,leverage,policy,policy_contrast,0.02,bottom4,x0_relative_rms,paired_log_ratio,noisy_t500,32,16,0.13377144462737978,0.09925483531401413,0.90625,0.06860944631308356,0.20803255466254347,0.6
leverage:policy_contrast:top4>bottom4:target=0.02,leverage,policy,policy_contrast,0.02,bottom4,x0_relative_rms,paired_log_ratio,pooled,64,16,0.16896832426060865,0.13681982269001108,0.859375,0.10741224133801118,0.2507797542274437,0.15
leverage:policy_contrast:top4>middle4:target=0.02,leverage,policy,policy_contrast,0.02,middle4,x0_relative_rms,paired_log_ratio,noisy_t1000,32,16,0.06515869339262755,0.13216732305727977,0.5625,-0.09619532988823162,0.2036415490730342,0.049999999999999996
leverage:policy_contrast:top4>middle4:target=0.02,leverage,policy,policy_contrast,0.02,middle4,x0_relative_rms,paired_log_ratio,noisy_t500,32,16,-0.06923552025437443,-0.05287606389903864,0.3125,-0.17507013006145697,0.016707542257445234,0.4323529411764706
leverage:policy_contrast:top4>middle4:target=0.02,leverage,policy,policy_contrast,0.02,middle4,x0_relative_rms,paired_log_ratio,pooled,64,16,-0.002038413430873444,-0.023701998313983286,0.4375,-0.12088812205738544,0.09884891961887446,0.1323529411764706
leverage:policy_contrast:top4>random_ensemble:target=0.02,leverage,policy,policy_contrast,0.02,random_ensemble,x0_relative_rms,paired_log_ratio,noisy_t1000,32,16,0.14249450281885004,0.1637808040705333,0.78125,0.05499471299624971,0.22182940917961774,0.07647058823529412
leverage:policy_contrast:top4>random_ensemble:target=0.02,leverage,policy,policy_contrast,0.02,random_ensemble,x0_relative_rms,paired_log_ratio,noisy_t500,32,16,0.07760168608219477,0.0690085145415269,0.78125,0.041642733112840155,0.11353502592605862,0.11470588235294117
leverage:policy_contrast:top4>random_ensemble:target=0.02,leverage,policy,policy_contrast,0.02,random_ensemble,x0_relative_rms,paired_log_ratio,pooled,64,16,0.11004809445052241,0.09461556551970074,0.78125,0.06212482975604263,0.15452210415214343,0.09999999999999999
leverage:policy_contrast:top4>bottom4:target=0.05,leverage,policy,policy_contrast,0.05,bottom4,x0_relative_rms,paired_log_ratio,noisy_t1000,32,16,0.23550930337321685,0.23516257443181054,0.78125,0.13728645706228065,0.33225742244830886,0.27058823529411763
leverage:policy_contrast:top4>bottom4:target=0.05,leverage,policy,policy_contrast,0.05,bottom4,x0_relative_rms,paired_log_ratio,noisy_t500,32,16,0.16502147723102797,0.14836482639138981,0.90625,0.098032775634291,0.24659166638958885,0.5735294117647058
leverage:policy_contrast:top4>bottom4:target=0.05,leverage,policy,policy_contrast,0.05,bottom4,x0_relative_rms,paired_log_ratio,pooled,64,16,0.2002653903021224,0.16976490933805086,0.84375,0.13511712000525442,0.2738700111852,0.3382352941176471
leverage:policy_contrast:top4>middle4:target=0.05,leverage,policy,policy_contrast,0.05,middle4,x0_relative_rms,paired_log_ratio,noisy_t1000,32,16,-0.004182640340038721,0.07471571080144307,0.53125,-0.20423499088145852,0.167816904316585,0.16764705882352943
leverage:policy_contrast:top4>middle4:target=0.05,leverage,policy,policy_contrast,0.05,middle4,x0_relative_rms,paired_log_ratio,noisy_t500,32,16,-0.1397817101082072,-0.04697003274974652,0.375,-0.29525906161590565,0.0018287771648669421,0.5823529411764706
leverage:policy_contrast:top4>middle4:target=0.05,leverage,policy,policy_contrast,0.05,middle4,x0_relative_rms,paired_log_ratio,pooled,64,16,-0.07198217522412297,-0.04331662359944448,0.453125,-0.23982787327637609,0.08178998218365559,0.2029411764705882
leverage:policy_contrast:top4>random_ensemble:target=0.05,leverage,policy,policy_contrast,0.05,random_ensemble,x0_relative_rms,paired_log_ratio,noisy_t1000,32,16,0.1729726166872888,0.15233803876847607,0.78125,0.0657364776096296,0.26498714325496037,0.22058823529411767
leverage:policy_contrast:top4>random_ensemble:target=0.05,leverage,policy,policy_contrast,0.05,random_ensemble,x0_relative_rms,paired_log_ratio,noisy_t500,32,16,0.08309298211445569,0.10386924146544874,0.71875,0.031083596834031686,0.13572060995428173,0.4852941176470588
leverage:policy_contrast:top4>random_ensemble:target=0.05,leverage,policy,policy_contrast,0.05,random_ensemble,x0_relative_rms,paired_log_ratio,pooled,64,16,0.12803279940087225,0.13156963650778875,0.75,0.05892486478449876,0.19116990133178766,0.3323529411764706
