operator,call_index,layer,head,discovery_gain,validation_gain,validation_ci_lower,validation_ci_upper,validation_win_fraction,validation_sign_p,validation_bh_q,phase_contrast_discovery,phase_contrast_validation,phase_contrast_validation_ci_lower,phase_contrast_validation_ci_upper,phase_contrast_validation_win_fraction,full_budget_fraction,relative_reference_energy,compatible,phase_selective
landmark,0,0,0,-7.4600028798427065,-7.293566715436768,-7.585122837507995,-6.991276106716554,0.0,1.0,1.0,-0.06898132368363678,-0.07312119070060549,-0.11924808819753387,-0.023947309725157913,0.28125,0.013020833333333334,1.265043877654353,False,False
landmark,0,0,1,-7.495534295750647,-7.442993939004918,-7.587185335068856,-7.294380624381872,0.0,1.0,1.0,-0.5425894379119702,-0.5225773105737661,-0.5607732795933108,-0.4852731281219202,0.0,0.013020833333333334,3.2562618074192566,False,False
landmark,0,0,2,-2.243116579657745,-2.1550624763955804,-2.399393044018483,-1.882921720291208,0.0,1.0,1.0,-0.27461736849070617,-0.2850258255073821,-0.33238898487076746,-0.23562942239039364,0.03125,0.013020833333333334,0.6952488331827001,False,False
landmark,0,0,3,-2.5531513920870172,-2.501831215237633,-2.710296789262672,-2.2832952385494214,0.0,1.0,1.0,-0.22466844802420194,-0.23115041539690184,-0.26807546525276893,-0.19603842447274672,0.0,0.013020833333333334,0.5558870610797173,False,False
landmark,0,0,4,-4.185194703965381,-4.18268254511765,-4.294768795317471,-4.0665676626803435,0.0,1.0,1.0,-0.04197065038106877,0.003454021417254191,-0.050951038857510275,0.0590798940441044,0.46875,0.013020833333333334,1.9196245348924976,False,False
landmark,0,0,5,-5.79012744168181,-5.724803371154014,-5.878965346618977,-5.565041238541951,0.0,1.0,1.0,0.702922505583268,0.8169018386768552,0.6774729788712953,0.9749627751116465,1.0,0.013020833333333334,1.3880313718944937,False,False
landmark,0,0,6,-4.926653885921969,-4.923160737475474,-5.068503369401946,-4.750405220322647,0.0,1.0,1.0,-0.7602724129375731,-0.7609288614157159,-0.8139897961653753,-0.7070346972193773,0.0,0.013020833333333334,1.4428902286034488,False,False
landmark,0,0,7,-6.737260977850369,-6.816083757602006,-6.93736133633077,-6.685489639122672,0.0,1.0,1.0,-0.8097675286133752,-0.8431576662876116,-0.8766667477846131,-0.805852758354279,0.0,0.013020833333333334,0.4274836724528221,False,False
landmark,0,0,8,-2.5185095550769065,-2.380682254266559,-2.593461150801272,-2.1430242412466813,0.0,1.0,1.0,-0.22338432044033935,-0.21562972238596592,-0.2731954053106217,-0.15424005894817022,0.09375,0.013020833333333334,0.2578285617669717,False,False
landmark,0,0,9,-0.6975043587629142,-0.6981082318731565,-0.9370187776046038,-0.470296750569137,0.09375,0.9999998768325895,1.0,-0.07265094933396846,-0.07928123651088936,-0.12437594309503082,-0.02883937171092134,0.3125,0.013020833333333334,0.1972090703575616,False,False
