operator,factor,call_index,layer,head,discovery_gain,validation_gain,validation_ci_lower,validation_ci_upper,validation_win_fraction,full_budget_fraction,relative_reference_energy,selected
landmark,head_only,-1,0,0,-7.408266887079979,-7.238725822411314,-7.495967401966566,-6.923248593726677,0.0,0.013020833333333334,1.0040709824803098,False
landmark,head_only,-1,0,1,-7.08859221731667,-7.051060956074593,-7.2032175153066484,-6.88728346146776,0.0,0.013020833333333334,6.962962911048444,False
landmark,head_only,-1,0,2,-2.037153553289716,-1.9412931072650437,-2.2187483400144488,-1.6797381810000636,0.03125,0.013020833333333334,0.5403765480985284,False
landmark,head_only,-1,0,3,-2.384650056068866,-2.3284684036899566,-2.5523330151880605,-2.1162162078799587,0.0,0.013020833333333334,0.40750549319950263,False
landmark,head_only,-1,0,4,-4.15371671617958,-4.18527306118059,-4.297212811983942,-4.059059924387251,0.0,0.013020833333333334,2.5773845518141565,False
landmark,head_only,-1,0,5,-6.317319320869261,-6.3374797501616555,-6.50368222583165,-6.158252238243064,0.0,0.013020833333333334,3.3287480327634227,False
landmark,head_only,-1,0,6,-4.35644957621879,-4.352464091413687,-4.478067376616002,-4.205589385062454,0.0,0.013020833333333334,3.0014124988927917,False
landmark,head_only,-1,0,7,-6.129935331390337,-6.183715507886297,-6.307921329257848,-6.064003071210598,0.0,0.013020833333333334,0.9959290175196904,False
landmark,head_only,-1,0,8,-2.350971314746652,-2.218959962477085,-2.4192291600397087,-2.027651426099573,0.0,0.013020833333333334,0.19082029835055742,False
landmark,head_only,-1,0,9,-0.6430161467624379,-0.6386473044899894,-0.8698191651638314,-0.4078414186216749,0.09375,0.013020833333333334,0.14190862054046177,False
landmark,head_only,-1,0,10,7.27271228181565,7.172974001688559,6.913860450699385,7.4705883985437715,1.0,0.013020833333333334,0.4583238693683334,False
landmark,head_only,-1,0,11,-4.751807736781725,-4.718183019759196,-4.833527535891523,-4.604179422485763,0.0,0.013020833333333334,3.691592389101642,False
landmark,head_only,-1,1,0,-3.4963711338070818,-3.4346980594609997,-3.673413364754092,-3.1819483146159757,0.0,0.0546875,0.9858813144865906,False
landmark,head_only,-1,1,1,-6.611430050487423,-6.237684464845398,-6.83416758161117,-5.617278879544152,0.0,0.0546875,1.173982797280574,False
landmark,head_only,-1,1,2,-4.205682477646853,-4.164558642289929,-4.385708554459847,-3.9312762434721895,0.0,0.0546875,1.4504242550013906,False
landmark,head_only,-1,1,3,-2.811364014205812,-2.7214770386989304,-3.0455463330104577,-2.3955616196154867,0.0,0.0546875,0.8687152705017959,False
landmark,head_only,-1,1,4,-4.200997726827662,-4.2581072277946355,-4.514068825867236,-3.996588952582494,0.0,0.0546875,5.496574949183238,False
landmark,head_only,-1,1,5,-1.779616514564974,-1.6584788078505475,-1.8391417209084677,-1.4815921404800647,0.0,0.0546875,0.4594055944953009,False
landmark,head_only,-1,1,6,-0.4591893632857447,-0.558290592687186,-0.7282977005616866,-0.4134962529020372,0.03125,0.0546875,0.36464195927152737,False
landmark,head_only,-1,1,7,-2.6999659076003386,-2.6529221275547394,-2.9223237559333333,-2.3196977444018927,0.0,0.0546875,1.7074397909435424,False
landmark,head_only,-1,1,8,-4.94860567561403,-4.6150768274812,-5.013880452225981,-4.196449899822101,0.0,0.0546875,0.7908331180750099,False
landmark,head_only,-1,1,9,-4.238937646944036,-4.229546106416489,-4.381436095663844,-4.065727064810899,0.0,0.0546875,1.5312190493072737,False
landmark,head_only,-1,1,10,-0.9906934714958572,-0.9119457729049377,-1.028646322534292,-0.7913999552678275,0.0,0.0546875,1.0141186855134094,False
landmark,head_only,-1,1,11,-3.4009924594036263,-3.3636346806780995,-3.6723415143117695,-3.0660461744219534,0.0,0.0546875,0.5836995613061491,False
landmark,head_only,-1,2,0,-2.8442631385551507,-2.890273594881349,-3.050845007360256,-2.73740787972967,0.0,0.046875,1.081003638737605,False
landmark,head_only,-1,2,1,-2.735612982305394,-2.651311374443964,-2.8371254126849066,-2.4582695247279056,0.0,0.046875,0.5226864707116238,False
landmark,head_only,-1,2,2,-3.967586424756532,-3.515966816081188,-3.8151146182053544,-3.2172745101907037,0.0,0.046875,1.137692914701636,False
landmark,head_only,-1,2,3,-4.1314480515964,-4.053991751083188,-4.320906917332951,-3.8264556640946212,0.0,0.046875,4.077633722831965,False
landmark,head_only,-1,2,4,-12.46224430448654,-12.309965520386704,-12.582780815877474,-12.025234752652777,0.0,0.046875,3.0291648609807527,False
landmark,head_only,-1,2,5,-2.124694195627728,-1.9216745161037965,-2.146972191708993,-1.7209820572369026,0.0,0.046875,0.5662636116373942,False
landmark,head_only,-1,2,6,-1.4527047755305507,-1.5702699983961135,-1.8713198594641904,-1.2770751113383765,0.0,0.046875,0.873417535926788,False
landmark,head_only,-1,2,7,-2.2628492482863756,-2.0584432359183396,-2.270478547535978,-1.855081888331984,0.0,0.046875,1.0025082932828304,False
landmark,head_only,-1,2,8,-2.9283564025886424,-2.7438994148743365,-2.9757641607856793,-2.5280587389443308,0.0,0.046875,0.9974917067171695,False
landmark,head_only,-1,2,9,-0.33514833033192054,-0.21344458400002486,-0.5445844474205822,0.09389975751722031,0.625,0.046875,0.5030814839398949,False
landmark,head_only,-1,2,10,-0.8852665743439366,-0.8779362513214287,-1.0557459695319087,-0.723451297606469,0.0,0.046875,0.614165650261019,False
landmark,head_only,-1,2,11,-2.595540385875346,-2.379795750160032,-2.7090608226646045,-2.056891517399907,0.0,0.046875,4.495400956849334,False
landmark,head_only,-1,3,0,-4.9236921995438045,-5.211699781166638,-5.616558669410691,-4.763553112172837,0.0,0.21744791666666669,4.176535476121343,False
landmark,head_only,-1,3,1,-3.5356600776557663,-3.52251022792763,-3.7663724625026322,-3.3029506038912695,0.0,0.21744791666666669,0.6037119407012259,False
landmark,head_only,-1,3,2,-3.8005986984309157,-3.740057888366608,-4.0326449964575835,-3.4280222614319387,0.0,0.21744791666666669,1.001005860418474,False
landmark,head_only,-1,3,3,-1.6196624047643329,-1.6836401052773136,-1.969810804889053,-1.3944642568081178,0.0,0.21744791666666669,0.9563952184980876,False
landmark,head_only,-1,3,4,-2.4758891477577984,-2.500790782499914,-2.7046571414823157,-2.288657720114624,0.0,0.21744791666666669,2.9295159886114117,False
landmark,head_only,-1,3,5,-3.5081836609144776,-3.5925176261865337,-3.7676988899473702,-3.41882019452084,0.0,0.21744791666666669,1.9006202903633858,False
landmark,head_only,-1,3,6,-2.474161638047937,-2.5156678246264486,-2.7130441665881113,-2.339798510714784,0.0,0.21744791666666669,2.1629477217654665,False
landmark,head_only,-1,3,7,-0.6635283043523055,-0.80776958835809,-1.0864779404602742,-0.5415877871129099,0.125,0.21744791666666669,5.278085010343976,False
landmark,head_only,-1,3,8,-3.0330799108181594,-3.0189699046812386,-3.331906401183197,-2.7520037844491587,0.0,0.21744791666666669,0.881008274788871,False
landmark,head_only,-1,3,9,-1.7848605351109899,-1.8432667090887689,-2.0350058490187366,-1.6662428507760105,0.0,0.21744791666666669,0.8915253396820766,False
landmark,head_only,-1,3,10,-1.591149887281078,-1.6229412549143798,-1.8211377984061652,-1.4185241255147987,0.0,0.21744791666666669,0.89172900099587,False
landmark,head_only,-1,3,11,-2.814258565496055,-2.876808530208017,-3.1851824947367953,-2.5513948840746687,0.0,0.21744791666666669,0.9989941395815262,False
landmark,head_only,-1,4,0,-2.9009186037163506,-2.68731833385974,-2.8909398746865946,-2.4885166575529514,0.0,0.19661458333333334,0.8580634170003155,False
landmark,head_only,-1,4,1,-3.9081059709331596,-3.882891638793866,-4.126262179327054,-3.649679037196009,0.0,0.19661458333333334,2.2026014945119634,False
landmark,head_only,-1,4,2,-4.031822320151516,-3.7904986609097566,-4.082823397096023,-3.4771917842695363,0.0,0.19661458333333334,1.9359082563927545,False
landmark,head_only,-1,4,3,-3.6497864050097015,-3.344735919048899,-3.5852102655686244,-3.0883204485184033,0.0,0.19661458333333334,5.531995429660866,False
landmark,head_only,-1,4,4,-3.4755175825201965,-3.4500486916995934,-3.785224420750888,-3.090938989352203,0.0,0.19661458333333334,0.8718684267306915,False
landmark,head_only,-1,4,5,-1.6046835482408235,-1.4242144339480856,-1.7135590027603602,-1.1292728165921628,0.0625,0.19661458333333334,2.8723565126473107,False
landmark,head_only,-1,4,6,-2.5601385477257463,-2.537324184813332,-2.7445347212063598,-2.3152766233415605,0.0,0.19661458333333334,0.5603720878559263,False
landmark,head_only,-1,4,7,-3.022999195294064,-3.0196979542395628,-3.2902249156247265,-2.749731728443567,0.0,0.19661458333333334,1.1281315732693087,False
landmark,head_only,-1,4,8,-0.5294717988823846,-0.4760670715506322,-0.760704988323602,-0.20494420151560777,0.34375,0.19661458333333334,0.5639854280206302,False
landmark,head_only,-1,4,9,-1.2004543686836306,-1.3512307795288159,-1.750018597950225,-0.8995553717998818,0.15625,0.19661458333333334,0.37821625355701927,False
landmark,head_only,-1,4,10,-3.236960708963468,-3.2503684570218256,-3.5113311086261825,-2.9849880356929503,0.0,0.19661458333333334,0.548566270197008,False
landmark,head_only,-1,4,11,-2.5892160840700504,-2.6607236612753753,-2.90735545129762,-2.4113777158681478,0.0,0.19661458333333334,1.2173875978860904,False
landmark,head_only,-1,5,0,-6.6313409067585365,-6.444357452198725,-6.801421752386137,-6.0883448110828295,0.0,0.03515625,1.365692856827422,False
landmark,head_only,-1,5,1,-3.1001932575623847,-2.907964500248835,-3.2144116202959467,-2.597357676740801,0.0,0.03515625,1.6037838245089147,False
landmark,head_only,-1,5,2,-3.0421185211385646,-2.9167481878523307,-3.0822086493803655,-2.766806407805627,0.0,0.03515625,1.37814957382045,False
