variant,mode,current_frame,nominal_timestep,layer,head,discovery_query_shift,discovery_key_shift,discovery_value_shift,discovery_value_scale_shift,discovery_compatibility_loss,discovery_policy_shift,discovery_topology_normalized_entropy_shift,discovery_topology_diagonal_mass_shift,discovery_topology_expected_displacement_shift,discovery_topology_directional_coherence_shift,discovery_topology_top1_displacement_shift,validation_query_shift,validation_key_shift,validation_value_shift,validation_value_scale_shift,validation_compatibility_loss,validation_policy_shift,validation_topology_normalized_entropy_shift,validation_topology_diagonal_mass_shift,validation_topology_expected_displacement_shift,validation_topology_directional_coherence_shift,validation_topology_top1_displacement_shift
action,clean,63,0,0,0,0.017355352640151978,0.15365034341812134,0.6623939871788025,0.28486377000808716,-0.01996244490146637,0.13084695488214493,0.005615234375,0.002593994140625,0.027587890625,0.0537109375,0.060333251953125,0.015362560749053955,0.13498982787132263,0.6126830875873566,0.31779325008392334,0.009683266282081604,0.144817054271698,0.004150390625,0.002044677734375,0.0157470703125,0.0344696044921875,0.03448486328125
action,clean,63,0,0,1,0.02023664116859436,0.011091053485870361,0.6093418002128601,0.12245285138487816,0.011076360940933228,0.10131056606769562,0.0076904296875,0.00390625,0.0002353191375732422,0.1063232421875,0.0,0.018832296133041382,0.00893634557723999,0.4911384880542755,0.09362620487809181,0.00547182559967041,0.13431094586849213,0.00551605224609375,0.003173828125,6.818771362304688e-05,0.096923828125,0.0
action,clean,63,0,0,2,0.0205191969871521,0.5147388279438019,0.7002972960472107,0.27296192944049835,-0.014742136001586914,0.1572972685098648,0.004150390625,0.003875732421875,0.04052734375,0.05108642578125,0.2822265625,0.014667153358459473,0.3993034362792969,0.6185541152954102,0.31490369141101837,-0.07858786731958389,0.13609308749437332,0.00439453125,0.0045166015625,0.0277099609375,0.04498291015625,0.260498046875
action,clean,63,0,0,3,0.015021353960037231,0.5740736722946167,0.7468221187591553,0.3085572421550751,0.006055809557437897,0.17788860201835632,0.009033203125,0.0074462890625,0.0616455078125,0.0617828369140625,0.11474609375,0.014366865158081055,0.44944092631340027,0.6686046421527863,0.34376010298728943,-0.021302616223692894,0.1448027715086937,0.005126953125,0.0029144287109375,0.021240234375,0.0697784423828125,0.119384765625
action,clean,63,0,0,4,0.011895895004272461,0.0069446563720703125,0.5505426526069641,0.09634790569543839,-0.0015417933464050293,0.08658739924430847,0.004638671875,0.001953125,0.00020885467529296875,0.16998291015625,0.0,0.009418785572052002,0.0052841901779174805,0.48510193824768066,0.06784933805465698,0.0036457479000091553,0.1093367263674736,0.00301361083984375,0.00146484375,0.00018167495727539062,0.1275634765625,0.0
action,clean,63,0,0,5,0.020847022533416748,0.008054107427597046,0.6370372772216797,0.1258339136838913,-0.0002892613410949707,0.11232027783989906,0.016876220703125,0.010498046875,0.000286102294921875,0.056396484375,0.0,0.01792961359024048,0.006546825170516968,0.4952673017978668,0.0861310102045536,0.00015297532081604004,0.11776109039783478,0.0115203857421875,0.007080078125,0.00016355514526367188,0.0414886474609375,0.0
action,clean,63,0,0,6,0.10450279712677002,0.054376184940338135,0.6118031740188599,0.21675510704517365,0.008998662233352661,0.21777953952550888,0.05029296875,0.059814453125,0.00494384765625,0.0704193115234375,0.0,0.08186978101730347,0.04155075550079346,0.4400268495082855,0.16695185750722885,0.019538193941116333,0.31530800461769104,0.0308837890625,0.033935546875,0.0018157958984375,0.06959152221679688,0.0
action,clean,63,0,0,7,0.06079265475273132,0.048862189054489136,0.6653003096580505,0.24318287521600723,0.015690267086029053,0.08846565335988998,0.041259765625,0.039794921875,0.0059661865234375,0.0724945068359375,0.0,0.04719197750091553,0.04009082913398743,0.5046875476837158,0.2123633325099945,0.022878557443618774,0.1188381053507328,0.017822265625,0.009765625,0.00128173828125,0.0169677734375,0.0
action,clean,63,0,0,8,0.019865721464157104,0.4608902931213379,0.6937276721000671,0.3404133915901184,0.04333582520484924,0.14404172077775002,0.005859375,0.00506591796875,0.049072265625,0.055599212646484375,0.220458984375,0.019215404987335205,0.3735549747943878,0.5978254079818726,0.34725189208984375,0.016930706799030304,0.15969689190387726,0.00439453125,0.006439208984375,0.0546875,0.038677215576171875,0.14013671875
action,clean,63,0,0,9,0.017635047435760498,0.2997131645679474,0.7892757952213287,0.3732520192861557,-0.01589202880859375,0.08365866914391518,0.016357421875,0.010955810546875,0.09375,0.053985595703125,0.03668212890625,0.013878971338272095,0.2195051610469818,0.6931622624397278,0.38287651538848877,-0.014611572027206421,0.12409815192222595,0.00927734375,0.0037841796875,0.03076171875,0.055206298828125,0.053863525390625
