variant,measure,context_count,median_layer_residual_split_spearman,minimum_layer_residual_split_spearman,median_layer_residual_cross_context_spearman,minimum_layer_residual_cross_context_spearman,state_interpretation
paraphrase,topology_directional_coherence_shift,6,0.3084352298435292,0.2582258907480741,0.34225521631669603,0.20442345376361415,state_conditioned_or_unstable
paraphrase,topology_top1_displacement_shift,6,0.7729255980460031,0.7496221110678467,0.7500856712895968,0.6591798904170374,context_stable_candidate
paraphrase_excess_seed,query_shift,6,0.5892591763825337,0.2748164209085975,0.4711265776227697,0.11055795183604811,context_stable_candidate
paraphrase_excess_seed,key_shift,6,0.44526256632638617,0.36037032178746226,0.3180567236887116,0.3180567236887116,state_conditioned_or_unstable
paraphrase_excess_seed,value_shift,6,0.18233101078454822,0.15616581403663093,0.2799242278103998,0.2799242278103998,state_conditioned_or_unstable
paraphrase_excess_seed,value_scale_shift,6,0.06607741314876399,-0.005706834157670969,0.10997255637260575,0.10997255637260575,state_conditioned_or_unstable
paraphrase_excess_seed,compatibility_loss,6,0.07704341854489617,0.014534319966460645,0.04377374311015774,0.01108316164990985,state_conditioned_or_unstable
paraphrase_excess_seed,policy_shift,6,0.030284570096991488,-0.028994565287283596,-0.002743333924901684,-0.16313191717014278,state_conditioned_or_unstable
paraphrase_excess_seed,topology_normalized_entropy_shift,6,-0.015254271214191215,-0.07609143523829744,0.1303437769502091,-0.026856333987535074,state_conditioned_or_unstable
paraphrase_excess_seed,topology_diagonal_mass_shift,6,-0.0030173876124366173,-0.11550398353694227,0.09459582327071707,-0.018109999520955957,state_conditioned_or_unstable
paraphrase_excess_seed,topology_expected_displacement_shift,6,0.0235795356476581,-0.10772350156454401,0.053829018140067006,-0.09662063256038439,state_conditioned_or_unstable
paraphrase_excess_seed,topology_directional_coherence_shift,6,0.009825245653720878,-0.04403843679496461,0.08739965595132891,-0.04671333542011266,state_conditioned_or_unstable
paraphrase_excess_seed,topology_top1_displacement_shift,6,0.025323235631751248,-0.017419420696577242,0.03593861711835375,-0.05929334058780652,state_conditioned_or_unstable
scene,query_shift,6,0.9560594603353421,0.9137240417333385,0.863575336229446,0.7705233304075675,context_stable_candidate
scene,key_shift,6,0.9719345828285711,0.9698457035419511,0.9703752858175345,0.9703752858175345,context_stable_candidate
scene,value_shift,6,0.845243790461346,0.8373812040730766,0.8915675789679447,0.8915675789679447,context_stable_candidate
scene,value_scale_shift,6,0.7862048832681321,0.7709722554443578,0.8147717189175842,0.8147717189175842,context_stable_candidate
scene,compatibility_loss,6,0.7818033575361949,0.6363822251714905,0.7651198440317182,0.6336180577525032,context_stable_candidate
scene,policy_shift,6,0.59502606758797,0.5585575505983843,0.5968441114514772,0.46772377358878797,context_stable_candidate
