cluster,head_count,source__v136_temporal.middle_recent_margin,coordinate__v136_temporal.middle_recent_margin,source__v136_temporal.old_mass_excess,coordinate__v136_temporal.old_mass_excess,source__v136_temporal.spectral_peak_ratio,coordinate__v136_temporal.spectral_peak_ratio,source__v136_temporal.temporal_reach_ratio,coordinate__v136_temporal.temporal_reach_ratio,source__v138_cross.history_specificity,coordinate__v138_cross.history_specificity,source__v138_local.freeze_latest_relative_log,coordinate__v138_local.freeze_latest_relative_log,source__v138_local.phase_shift_relative_log,coordinate__v138_local.phase_shift_relative_log,source__v138_local.reverse_relative_log,coordinate__v138_local.reverse_relative_log,source__v138_local.value_mismatch_relative_log,coordinate__v138_local.value_mismatch_relative_log,source__v143_ab.policy_prompt_score,coordinate__v143_ab.policy_prompt_score,source__v143_ab.prompt_history_excess,coordinate__v143_ab.prompt_history_excess,source__v143_ab.stale_a_mass_B_visible,coordinate__v143_ab.stale_a_mass_B_visible,source__v143_natural.current_mass,coordinate__v143_natural.current_mass,source__v143_natural.history_mean_logit,coordinate__v143_natural.history_mean_logit,source__v143_natural.history_positive_rate,coordinate__v143_natural.history_positive_rate,source__v143_natural.last4_mass,coordinate__v143_natural.last4_mass,source__v143_natural.middle_mass,coordinate__v143_natural.middle_mass,source__v143_natural.oldest1_mass,coordinate__v143_natural.oldest1_mass,source__v143_natural.policy_need,coordinate__v143_natural.policy_need,source__v143_natural.recent4_mass,coordinate__v143_natural.recent4_mass,source__v143_natural.recent4_non_oldest_ratio,coordinate__v143_natural.recent4_non_oldest_ratio
0,20,-0.11659928690642118,-0.11659928690642118,-0.007471829652786255,-0.007471829652786255,0.5836468189954758,0.5836468189954758,0.4424227699637413,0.4424227699637413,-0.008560165762901306,-0.008560165762901306,0.000562992043763394,0.000562992043763394,-2.2757589918921735,-2.2757589918921735,-1.3660205869485076,-1.3660205869485076,-1.0017204509101596,-1.0017204509101596,0.403798217998953,0.403798217998953,0.022984430193901062,0.022984430193901062,0.9196851328015327,0.9196851328015327,0.489288330078125,0.489288330078125,0.5074897872077094,0.5074897872077094,0.8472222222222222,0.8472222222222222,0.565155029296875,0.565155029296875,0.2028350830078125,0.2028350830078125,0.038608551025390625,0.038608551025390625,0.13097693887539208,0.13097693887539208,0.1442718505859375,0.1442718505859375,0.157989501953125,0.157989501953125
1,191,-1.0575385689735413,-1.0575385689735413,-0.13512146472930908,-0.13512146472930908,0.558128148317337,0.558128148317337,0.32222433388233185,0.32222433388233185,-0.010398238897323608,-0.010398238897323608,-0.08324488874425708,-0.08324488874425708,-1.8773387690151475,-1.8773387690151475,-1.3756166475653837,-1.3756166475653837,-1.1147367440699736,-1.1147367440699736,0.5020688239682614,0.5020688239682614,0.014210104942321777,0.014210104942321777,0.8769867569208145,0.8769867569208145,0.763671875,0.763671875,0.4249539375305176,0.4249539375305176,0.6111111111111112,0.6111111111111112,0.85546875,0.85546875,0.0585479736328125,0.0585479736328125,0.01488494873046875,0.01488494873046875,0.023251561680808663,0.023251561680808663,0.117523193359375,0.117523193359375,0.12005615234375,0.12005615234375
2,149,-1.588907241821289,-1.588907241821289,-0.31539665162563324,-0.31539665162563324,0.4915076792240143,0.4915076792240143,0.2998296916484833,0.2998296916484833,0.062464773654937744,0.062464773654937744,-0.12022279583698198,-0.12022279583698198,-3.302825601497385,-3.302825601497385,-2.4819453092555017,-2.4819453092555017,-0.38874538190711333,-0.38874538190711333,0.5031155218927204,0.5031155218927204,0.07255903631448746,0.07255903631448746,0.7659840360283852,0.7659840360283852,0.454925537109375,0.454925537109375,2.0294664171006946,2.0294664171006946,1.0,1.0,0.590576171875,0.590576171875,0.1787567138671875,0.1787567138671875,0.015216827392578125,0.015216827392578125,0.019340667873620987,0.019340667873620987,0.25439453125,0.25439453125,0.26373291015625,0.26373291015625
