reference,ari,nmi,reference_classes
pf_official,0.2811439699432035,0.2247218380478773,3
legacy_v98,0.02041776644310187,0.04846488746920753,2
forcing_kv,0.15726727546736896,0.10824983931570356,2
head_forcing,0.06503373155594498,0.12422324483151417,3
dummy_forcing,0.08062957989929138,0.16606590024751558,2
